SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Tasajera La Playa_Caranx hippos_Mediano;6000;7000
Las Tenazas_Lutjanus griseus_Mediano;16695;17213
Las Tenazas_Scomberomorus brasiliensis_Mediano;19161;20024
Usaragá_Notarius troschelii_Revuelto;7000;7000
Usaragá_Scomberomorus sierra_Grande;8000;11200
Usaragá_Lutjanus jordani_Revuelto;12000;12000
Puerto Rico [Meta]_Brachyplatystoma vaillantii_Revuelto;12000;12000
Las Tenazas_Lobotes surinamensis_Grande;12000;12000
Puerto Bello_Prochilodus magdalenae_Mediano;4000;4000
Puerto Bello_Megaleporinus muyscorum_Revuelto;2000;2000
Las Tenazas_Lutjanus synagris_Pequeño;13071;14286
Puerto Rico [Meta]_Pseudoplatystoma orinocoense_Revuelto;14000;14000
Puerto Bello_Plagioscion magdalenae_Mediano;5000;5000
Puerto Bello_Prochilodus magdalenae_Pequeño;3000;3000
Puerto Amor_Prochilodus magdalenae_Pequeño;3828;5254
Puerto Amor_Megaleporinus muyscorum_Revuelto;2378;4766
Puerto Bello_Prochilodus magdalenae_Grande;6000;6000
Puerto Bello_Hoplias malabaricus_Revuelto;2000;2000
Jurubirá_Caranx caballus_Pequeño;7000;8000
Jurubirá_Hemiramphus saltator_Pequeño;8000;12000
Jurubirá_Selene brevoortii_Pequeño;7000;8000
El Ferry_Sorubim cuspicaudus_Grande;9917;12070
Puerto Montecristo_Triportheus magdalenae_Revuelto;3148;3395
Bocas de Seheve_Plagioscion magdalenae_Pequeño;2971;3046
Puerto Panseguita_Sorubim cuspicaudus_Grande;5000;6000
San José_Cyphocharax magdalenae_Revuelto;1042;1817
San José_Triportheus magdalenae_Revuelto;1226;2044
San José_Pimelodus yuma_Revuelto;2458;4615
San José_Hoplias malabaricus_Revuelto;2051;5668
Barrio Santa Lucía_Bairdiella ronchus_Pequeño;16000;16000
Barrio Santa Lucía_Menticirrhus americanus_Mediano;12400;15047
Barrio Santa Lucía_Bairdiella ronchus_Mediano;15429;20000
Puerto Panseguita_Prochilodus magdalenae_Mediano;6000;8000
Puerto Panseguita_Hoplias malabaricus_Grande;1173;1282
Puerto Panseguita_Prochilodus magdalenae_Grande;12000;14000
Barrio Santa Lucía_Sciades proops_Grande;8000;8000
San José_Megaleporinus muyscorum_Revuelto;1925;4848
Puerto Panseguita_Ageneiosus pardalis_Grande;10000;10000
Puerto Panseguita_Pseudoplatystoma magdaleniatum_Grande;6000;8000
Puerto Amor_Sorubim cuspicaudus_Revuelto;7895;8257
Puerto Amor_Pseudoplatystoma magdaleniatum_Pequeño;5989;8168
San José_Prochilodus magdalenae_Pequeño;5146;9172
San José_Cynopotamus magdalenae_Revuelto;1420;2553
Bocas de Seheve_Plagioscion magdalenae_Grande;5995;6015
San José_Prochilodus magdalenae_Mediano;8055;11061
San José_Plagioscion magdalenae_Pequeño;2976;3019
Puerto Amor_Hoplias malabaricus_Revuelto;2152;3937
Santa Clara_Plagioscion magdalenae_Pequeño;4000;4000
Puerto Montecristo_Megaleporinus muyscorum_Revuelto;999;1862
Bocas de Seheve_Ageneiosus pardalis_Pequeño;2984;3063
Bocas de Seheve_Cynopotamus magdalenae_Revuelto;1009;1480
Puerto Amor_Plagioscion magdalenae_Grande;7825;8273
Sempegua_Oreochromis niloticus_Grande;7407;8011
Sempegua_Sorubim cuspicaudus_Grande;8312;9023
Puerto Ciénaga de Paredes_Plagioscion magdalenae_Revuelto;7993;8017
Puerto Panseguita_Plagioscion magdalenae_Grande;6000;6000
Locadía_Cynoscion acoupa_Pequeño;8100;9900
Playa Pescadores - Capurganá_Ocyurus chrysurus_Grande;26000;26000
Playa Pescadores - Capurganá_Lutjanus analis_Grande;20000;20000
La Punta - Firme Cifuentes_Centropomus robalito_Grande;14000;14000
Locadía_Sciades proops_Revuelto;10000;10000
La Punta - Firme Cifuentes_Penaeus occidentalis_Langostino;33850;37000
Puerto (Orocué)_Pseudoplatystoma orinocoense_Revuelto;12000;12000
Puerto (Orocué)_Mylossoma albiscopum_Revuelto;8000;8000
Puerto (Orocué)_Piaractus orinoquensis_Revuelto;12000;12000
Puerto (Orocué)_Pygocentrus cariba_Revuelto;7000;7000
Puerto Abajo (Dibulla)_Bagre filamentosus_Grande;4000;4000
La Punta - Firme Cifuentes_Cynoscion phoxocephalus_Grande;14000;14000
Puerto Abajo (Dibulla)_Trachinotus carolinus_Grande;6000;6000
Champaché_Mugil liza_Grande;6978;6978
Champaché_Mugil curema_Grande;4846;6658
Champaché_Selene setapinnis_Grande;7847;10000
Champaché_Chloroscombrus chrysurus_Grande;9877;9877
Champaché_Mugil incilis_Mediano;2886;3114
Champaché_Megalops atlanticus_Mediano;6778;8778
San José_Pseudoplatystoma magdaleniatum_Grande;5000;9250
Loma - San Sebastián_Cyphocharax magdalenae_Pequeño;1442;2326
Loma - San Sebastián_Caquetaia kraussii_Pequeño;2341;3040
Loma - San Sebastián_Hoplias malabaricus_Pequeño;3015;4588
Champaché_Lutjanus purpureus_Mediano;7072;8916
Champaché_Caranx crysos_Mediano;6802;6949
Champaché_Caranx latus_Mediano;6000;6000
Puerto (Orocué)_Pseudoplatystoma metaense_Revuelto;12000;12000
Puerto (Orocué)_Colossoma macropomum_Revuelto;12000;12000
Puerto (Orocué)_Prochilodus mariae_Revuelto;8000;8000
San José_Caquetaia kraussii_Revuelto;1376;2085
Sempegua_Plagioscion magdalenae_Mediano;3894;4934
Puerto (Orocué)_Brycon amazonicus_Revuelto;8000;8000
Puerto (Orocué)_Ageneiosus inermis_Revuelto;10000;10000
La Casa del Pescador_Sphyraena ensis_Grande;10000;10000
La Casa del Pescador_Cynoscion phoxocephalus_Pequeño;10000;10000
La Casa del Pescador_Scomberomorus sierra_Mediano;6000;7000
La Casa del Pescador_Scomberomorus sierra_Pequeño;2000;3000
La Casa del Pescador_Tylosurus fodiator_Grande;2000;3000
La Casa del Pescador_Penaeus occidentalis_Grande;28000;32000
La Casa del Pescador_Scomberomorus sierra_Grande;10000;10000
Sempegua_Prochilodus magdalenae_Revuelto;5648;7652
Berlín_Ageneiosus pardalis_Grande;7985;10000
Sempegua_Megaleporinus muyscorum_Revuelto;2637;4167
Sempegua_Plagioscion magdalenae_Pequeño;1304;1665
La Casa del Pescador_Macrodon mordax_Pequeño;10000;10000
La Casa del Pescador_Cynoscion phoxocephalus_Grande;16000;16000
La Casa del Pescador_Lutjanus guttatus_Pequeño;10000;10000
Puerto Asure_Hoplias malabaricus_Revuelto;3000;3836
Loma - San Sebastián_Megaleporinus muyscorum_Pequeño;2535;4029
Cabo de la Vela_Archosargus rhomboidalis_Revuelto;7127;9175
Cabo de la Vela_Mycteroperca bonaci_Pequeño;9646;10042
Loma - San Sebastián_Caquetaia kraussii_Mediano;3329;5344
Loma - San Sebastián_Sorubim cuspicaudus_Pequeño;4084;8246
Loma - San Sebastián_Hoplias malabaricus_Mediano;3174;4401
Loma - San Sebastián_Prochilodus magdalenae_Pequeño;2704;4844
Loma - San Sebastián_Hoplias malabaricus_Grande;3012;5181
Poportín_Sparisoma chrysopterum_Grande;5000;5000
Poportín_Sparisoma rubripinne_Grande;5000;5000
Poportín_Balistes capriscus_Grande;5000;5000
Poportín_Haemulon plumieri_Revuelto;5000;5000
Poportín_Haemulon bonariense_Revuelto;5000;5000
Lamas_Prochilodus magdalenae_Grande;6299;9948
La Playa (El Banco)_Pimelodus grosskopfii_Grande;7932;10000
Puerto Antequera_Cyphocharax magdalenae_Revuelto;2981;3005
Puerto Amor_Prochilodus magdalenae_Grande;7663;13765
Villa Fátima_Selar crumenophthalmus_Revuelto;4989;4999
Villa Fátima_Lachnolaimus maximus_Revuelto;8054;9898
Villa Fátima_Priacanthus arenatus_Mediano;4141;4972
Villa Fátima_Haemulon bonariense_Revuelto;1709;2000
Pesquera Aspabab_Centropomus viridis_Grande;15577;18000
Pesquera Aspabab_Notarius troschelii_Grande;6000;7000
Pesquera Aspabab_Lobotes pacifica_Grande;10000;10000
Pesquera Aspabab_Bagre pinnimaculatus_Grande;8000;8200
La Playa (El Banco)_Pseudoplatystoma magdaleniatum_Pequeño;3002;3002
Lamas_Prochilodus magdalenae_Pequeño;10000;10000
Lamas_Hoplias malabaricus_Pequeño;3854;6072
Lamas_Caquetaia kraussii_Pequeño;2801;4582
El Pájaro_Lutjanus synagris_Revuelto;9068;11478
El Pájaro_Calamus calamus_Revuelto;2990;4000
Marralú_Prochilodus magdalenae_Pequeño;4200;7305
Marralú_Pseudoplatystoma magdaleniatum_Mediano;6000;6000
Marralú_Sorubim cuspicaudus_Grande;6000;6000
Marralú_Megaleporinus muyscorum_Revuelto;2243;4859
El Porvenir_Sphyraena guachancho_Mediano;14228;15950
El Porvenir_Scomberomorus cavalla_Pequeño;14765;20881
Caño Grande_Centropomus undecimalis_Mediano;15225;18000
Chapinero_Hypostomus hondae_Mediano;4732;7745
El Porvenir_Rachycentron canadum_Grande;15938;15989
Marralú_Cynopotamus magdalenae_Revuelto;1430;1765
Cupica_Haemulon flaviguttatum_Pequeño;16000;16000
Arquimedes_Mugil incilis_Pequeño;2130;2455
Arquimedes_Mugil incilis_Mediano;4968;5000
El Porvenir_Bairdiella ronchus_Mediano;15522;16073
Puerto El Waffe marino_Centropomus undecimalis_Revuelto;17976;18000
Guazo_Sorubim cuspicaudus_Mediano;5970;7000
Pizarro_Centropomus robalito_Revuelto;15000;24000
Pizarro_Centropomus medius_Revuelto;15000;24000
Pizarro_Cynoscion albus_Pequeño;24000;24000
Guazo_Ageneiosus pardalis_Revuelto;9971;10000
El Porvenir_Lutjanus synagris_Grande;16385;23306
Pizarro_Lobotes pacifica_Mediano;7000;8000
Pizarro_Polydactylus opercularis_Revuelto;8000;8800
Pizarro_Polydactylus approximans_Revuelto;8000;9000
Pizarro_Haemulopsis elongatus_Revuelto;8000;8000
Pizarro_Cynoscion phoxocephalus_Revuelto;8000;8000
Pizarro_Lutjanus guttatus_Revuelto;15450;17550
Pizarro_Haemulopsis leuciscus_Revuelto;8000;8850
Pizarro_Umbrina xanti_Revuelto;8000;9000
Pizarro_Caranx caninus_Pequeño;8000;9000
Pizarro_Notarius troschelii_Mediano;5200;10000
Pizarro_Nebris occidentalis_Revuelto;8000;8000
Pizarro_Penaeus occidentalis_Revuelto;40000;44000
Las Delicias_Albula vulpes_Pequeño;3000;3000
Santa Rosa_Archosargus rhomboidalis_Revuelto;7481;7869
Santa Rosa_Haemulon plumieri_Revuelto;3795;4000
Santa Rosa_Caranx crysos_Revuelto;9030;9877
Santa Rosa_Lutjanus analis_Revuelto;16667;19638
Santa Rosa_Lachnolaimus maximus_Revuelto;7548;7890
Santa Rosa_Diapterus auratus_Revuelto;7250;7954
Santa Rosa_Panulirus argus_Mediano;28173;29940
Santa Rosa_Lachnolaimus maximus_Mediano;7349;8000
Santa Rosa_Panulirus argus_Grande;34783;39837
Santa Rosa_Octopus vulgaris_Mediano;21776;25096
Santa Rosa_Mycteroperca rubra_Mediano;9064;9934
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Mediano;3872;5000
San Nicolás (Santa Cruz De Mompox)_Oreochromis niloticus_Revuelto;4944;6000
Las Balsas_Zungaro zungaro_Revuelto;16000;17000
Purricha_Scomberomorus sierra_Revuelto;5943;6000
Purricha_Larimus argenteus_Revuelto;6000;10000
Purricha_Haemulopsis axillaris_Grande;10000;11800
Casco urbano (Puerto Escondido)_Nebris microps_Revuelto;17544;20663
Casco urbano (Puerto Escondido)_Menticirrhus americanus_Revuelto;17130;20579
La T_Caranx crysos_Mediano;10710;10985
La T_Seriola zonata_Mediano;9000;9000
Casco urbano (Puerto Escondido)_Bairdiella ronchus_Revuelto;18284;20388
La T_Lutjanus analis_Mediano;16000;17000
La T_Haemulon aurolineatum_Pequeño;2125;2500
La T_Lutjanus synagris_Grande;20000;20000
La T_Calamus penna_Pequeño;9000;9000
Popoya Playa_Haemulon bonariense_Mediano;5833;7333
Popoya Playa_Lutjanus cyanopterus_Mediano;5714;8000
Popoya Playa_Lutjanus synagris_Mediano;12143;17217
Popoya Playa_Anisotremus virginicus_Mediano;7011;7500
Orpua_Scomberomorus sierra_Revuelto;10000;10000
Orpua_Bagre panamensis_Revuelto;10000;10000
Orpua_Caranx caninus_Revuelto;10000;10000
Popoya Playa_Lutjanus analis_Grande;18239;19018
Orpua_Caranx caballus_Pequeño;10000;10000
Purricha_Centropomus robalito_Revuelto;7600;12000
Punta Ardita_Caranx caballus_Mediano;16000;16000
Orpua_Sphyraena ensis_Revuelto;10000;10000
Punta Ardita_Kyphosus ocyurus_Mediano;16000;16000
Zapata_Nebris microps_Pequeño;21944;25000
Zapata_Penaeus schmitti_Mediano;44667;50000
Puerto Boquillas_Pseudoplatystoma magdaleniatum_Grande;5994;5994
Casino_Bagre filamentosus_Grande;11996;12002
Casino_Lutjanus synagris_Pequeño;10584;14073
La Punta_Trichiurus lepturus_Mediano;5742;6787
Purricha_Notarius troschelii_Mediano;10000;10000
Milagros de la Mar_Centropomus medius_Mediano;7000;7000
Milagros de la Mar_Otros menudo_Revuelto;5000;5000
Milagros de la Mar_Brycon meeki_Revuelto;6000;6000
La Punta_Ariopsis canteri_Grande;5530;5986
Curillo_Sorubim lima_Mediano;14000;14000
Curillo_Hemisorubim platyrhynchos_Mediano;14000;14000
Curillo_Ageneiosus inermis_Mediano;13636;14000
Curillo_Platynematichthys notatus_Mediano;14000;14000
Curillo_Piaractus brachypomus_Mediano;18000;18000
La Charca de Guarinocito_Prochilodus magdalenae_Revuelto;4062;4194
Usaragá_Lutjanus peru_Grande;11538;12000
La Charca de Guarinocito_Triportheus magdalenae_Revuelto;4069;4187
Comercializadores independientes (Guapi)_Cynoscion phoxocephalus_Revuelto;17000;17100
Comercializadores independientes (Guapi)_Scomberomorus sierra_Revuelto;14000;14000
Comercializadores independientes (Guapi)_Cynoscion albus_Revuelto;23000;23000
Puerto Abajo (Dibulla)_Micropogonias furnieri_Revuelto;5972;6000
Puerto Abajo (Dibulla)_Cathorops wayuu_Revuelto;2000;2000
Puerto Abajo (Dibulla)_Conodon nobilis_Revuelto;4879;5000
Lomita Arena_Elops smithi_Grande;7084;9199
Lomita Arena_Sphyraena guachancho_Revuelto;4910;6971
Lomita Arena_Mugil liza_Grande;8511;8511
Lomita Arena_Macrodon ancylodon_Revuelto;8265;8939
Dotenedó_Kyphosus elegans_Revuelto;5000;5000
Dotenedó_Notarius troschelii_Revuelto;8000;8000
Taganga_Lutjanus cyanopterus_Grande;15000;15000
Taganga_Caranx latus_Grande;6000;10000
Puerto de Bolombolo_Pimelodus grosskopfii_Revuelto;17923;18039
Taganga_Rhomboplites aurorubens_Mediano;24000;24000
Taganga_Lutjanus vivanus_Mediano;24000;24088
Puerto Chucha_Megalops atlanticus_Grande;12906;13083
Puerto Chucha_Lutjanus vivanus_Grande;20812;21862
Puerto de Bolombolo_Pseudopimelodus magnus_Pequeño;17737;18065
Taganga_Scomberomorus cavalla_Mediano;20000;24585
Puerto Chucha_Sciades proops_Grande;9718;10386
Puerto Chucha_Cathorops mapale_Revuelto;4459;4531
Puerto Chucha_Nebris microps_Revuelto;12317;13073
El Puente_Plagioscion magdalenae_Pequeño;2976;3022
Rincón del Mar_Caranx ruber_Pequeño;13344;14400
Puerto Real - Saloa_Prochilodus magdalenae_Pequeño;4800;5200
Puerto de Bolombolo_Megaleporinus muyscorum_Revuelto;17629;18086
Rincón del Mar_Panulirus guttatus_Pequeño;14912;16826
Robles_Caquetaia kraussii_Pequeño;2544;4503
Robles_Cyphocharax magdalenae_Pequeño;2255;3396
La Grande_Hoplias malabaricus_Grande;1370;1370
Robles_Hoplias malabaricus_Pequeño;2075;3888
La Grande_Caquetaia kraussii_Pequeño;2381;2381
Puerto de Bolombolo_Ichthyoelephas longirostris_Pequeño;17923;17923
Puerto de Bolombolo_Brycon moorei_Grande;20000;20041
Puerto de Bolombolo_Pseudopimelodus magnus_Grande;17908;18054
Taganga_Lutjanus synagris_Pequeño;10000;24000
Taganga_Priacanthus arenatus_Mediano;5048;5919
Taganga_Sphyraena guachancho_Pequeño;10000;10000
Taganga_Caranx latus_Pequeño;7000;7920
Uveros_Scomberomorus brasiliensis_Mediano;22000;22000
Cecilia_Ageneiosus pardalis_Grande;5931;6015
Bahía de Cispatá_Ariopsis canteri_Mediano;7330;7984
Bahía de Cispatá_Sphyraena guachancho_Revuelto;8675;8675
Bahía de Cispatá_Lutjanus griseus_Pequeño;8802;15153
Bahía de Cispatá_Lutjanus jocu_Pequeño;8619;12000
El Valle_Scomberomorus sierra_Varios tamaños;12200;14000
Bahía de Cispatá_Caranx hippos_Pequeño;6000;12000
Bahía de Cispatá_Lobotes surinamensis_Grande;7802;9986
Laguna Colorada_Pseudorinelepis genibarbis_Revuelto;2000;2000
Sapzurro_Lutjanus buccanella_Mediano;30000;30000
Laguna Colorada_Pseudoplatystoma metaense_Revuelto;7000;7000
Bahía de Cispatá_Chaetodipterus faber_Grande;7800;12000
Bahía de Cispatá_Lobotes surinamensis_Mediano;10000;10000
Playa Pescadores - Capurganá_Caranx latus_Pequeño;12000;12000
Playa Pescadores - Capurganá_Lutjanus synagris_Pequeño;26000;26000
Marriaga_Ageneiosus pardalis_Revuelto;11765;11765
Buchadó_Caquetaia kraussii_Revuelto;1704;1754
Barrio Arriba - Barbosa (Magangué)_Pimelodus yuma_Revuelto;2753;3728
Barrio Arriba - Barbosa (Magangué)_Hoplias malabaricus_Grande;1278;1663
Carrizal_Lachnolaimus maximus_Mediano;7000;7000
Santropel - San Sebastián_Prochilodus magdalenae_Pequeño;3370;8166
Buchadó_Hoplias malabaricus_Revuelto;6423;6500
Carrizal_Lachnolaimus maximus_Revuelto;7000;7000
Buchadó_Sternopygus aequilabiatus_Grande;1908;1975
Carrizal_Sparisoma rubripinne_Mediano;3000;3000
Buchadó_Caquetaia kraussii_Pequeño;1346;1567
Buchadó_Pseudopimelodus sp. 1_Pequeño;5833;5998
Buchadó_Rhamdia guatemalensis_Revuelto;1945;1981
Bahía de Cispatá_Cynoscion leiarchus_Pequeño;10000;11435
Bahía de Cispatá_Rachycentron canadum_Pequeño;10000;10000
Bahía de Cispatá_Ariopsis canteri_Revuelto;8000;8000
Bahía de Cispatá_Epinephelus itajara_Mediano;10000;10000
Bahía de Cispatá_Caranx crysos_Pequeño;12000;12000
Puerto Chaparro_Hoplias malabaricus_Revuelto;2956;4678
Bahía de Cispatá_Cathorops mapale_Revuelto;5704;6000
Bahía de Cispatá_Rachycentron canadum_Grande;10000;11400
Bahía de Cispatá_Sciades proops_Grande;9443;12000
Bahía de Cispatá_Lutjanus analis_Pequeño;11294;11294
Bahía de Cispatá_Trachinotus carolinus_Pequeño;8100;9900
Puerto La Candelaria_Pseudoplatystoma magdaleniatum_Mediano;7040;8037
Bazurto_Haemulon plumieri_Mediano;7907;9750
Bazurto_Lutjanus synagris_Mediano;12961;20581
Bazurto_Elops smithi_Mediano;7917;9963
Bazurto_Diapterus rhombeus_Pequeño;3856;5000
Sempegua_Pimelodus yuma_Revuelto;5779;6012
Sempegua_Cyphocharax magdalenae_Revuelto;1126;1584
Sempegua_Triportheus magdalenae_Revuelto;1126;1509
Bazurto_Trichiurus lepturus_Mediano;8000;10000
Bazurto_Sphyraena barracuda_Grande;12720;15972
Bazurto_Scomberomorus cavalla_Grande;20000;20000
Bazurto_Mugil incilis_Mediano;4578;6000
Bazurto_Megalops atlanticus_Grande;12090;13440
Puerto Chaparro_Cynopotamus magdalenae_Revuelto;1379;3172
El Porvenir_Rachycentron canadum_Mediano;15833;15942
Bazurto_Mugil curema_Pequeño;6000;6000
Bazurto_Trichiurus lepturus_Pequeño;5400;7090
Bazurto_Sphyraena barracuda_Mediano;12800;14161
Sempegua_Prochilodus magdalenae_Mediano;5997;7196
Sempegua_Prochilodus magdalenae_Pequeño;3974;6042
Arrimadero La Unión_Centropomus nigrescens_Grande;15200;16000
Bazurto_Scomberomorus regalis_Pequeño;11443;15000
Bazurto_Opisthonema oglinum_Pequeño;1934;2918
Sempegua_Plagioscion magdalenae_Grande;8677;9018
Puerto Chaparro_Curimata mivartii_Revuelto;1898;2877
Villa Venecia_Hoplias malabaricus_Mediano;3288;3473
Puerto Chaparro_Pseudoplatystoma magdaleniatum_Pequeño;2986;4000
Arrimadero La Unión_Centropomus viridis_Grande;16000;16000
Arrimadero La Unión_Bagre pinnimaculatus_Grande;12000;12000
Arrimadero La Unión_Epinephelus quinquefasciatus_Grande;12000;12000
Sempegua_Pseudoplatystoma magdaleniatum_Grande;8606;9062
Bazurto_Euthynnus alletteratus_Mediano;8000;8000
Arrimadero La Unión_Cynoponticus coniceps_Revuelto;4984;5000
Villa Venecia_Prochilodus magdalenae_Pequeño;4772;6341
Arrimadero La Unión_Hyporthodus acanthistius_Revuelto;12000;12000
Puerto La Candelaria_Oreochromis niloticus_Mediano;6441;6441
Arrimadero La Unión_Kyphosus ocyurus_Revuelto;14000;14000
Arrimadero La Unión_Caranx sexfasciatus_Revuelto;14000;14000
El Ferry_Pseudoplatystoma magdaleniatum_Mediano;9980;11996
Puerto Principal (Leticia)_Prochilodus rubrotaeniatus_Mediano;9615;12845
Puerto Principal (Leticia)_Hoplias malabaricus_Grande;9677;9677
Puerto Principal (Leticia)_Pterygoplichthys pardalis_Mediano;4348;4348
Palomino_Plagioscion magdalenae_Pequeño;5100;6000
Palomino_Plagioscion magdalenae_Mediano;6000;6000
Sicará_Cyphocharax magdalenae_Pequeño;2390;5080
Tribugá_Lutjanus guttatus_Pequeño;16000;16000
Arquimedes_Sciades proops_Revuelto;8425;8721
Las Tenazas_Sphyraena guachancho_Mediano;11720;12303
Tribugá_Lutjanus argentiventris_Mediano;16000;16000
Arquimedes_Sciades proops_Mediano;7818;8618
Sempegua_Hoplias malabaricus_Revuelto;2723;3317
Tribugá_Caranx caninus_Pequeño;14000;14000
Las Tenazas_Lutjanus griseus_Grande;21571;25000
Las Tenazas_Lutjanus synagris_Grande;21748;25080
Lamas_Hoplias malabaricus_Mediano;4172;6305
Tasajera La Playa_Trachinotus carolinus_Grande;5000;6800
Puerto Barrio El Progreso_Sorubim cuspicaudus_Revuelto;9986;11998
Puerto Barrio El Progreso_Ageneiosus pardalis_Revuelto;10935;12028
Puerto Barrio El Progreso_Pseudoplatystoma magdaleniatum_Revuelto;10096;12940
Tribugá_Lutjanus peru_Mediano;16000;16000
Tribugá_Caranx caballus_Pequeño;14000;14000
Tasajera La Playa_Panulirus argus_Mediano;45000;45000
Tasajera La Playa_Scomberomorus brasiliensis_Grande;12000;14400
Tasajera La Playa_Lutjanus synagris_Mediano;20000;20000
Tasajera La Playa_Holocentrus adscensionis_Mediano;5000;5000
Tasajera La Playa_Sciades herzbergii_Mediano;6000;6000
Tasajera La Playa_Balistes capriscus_Mediano;4000;4000
Tasajera La Playa_Balistes vetula_Grande;4000;4000
Sicará_Prochilodus magdalenae_Pequeño;4607;8562
Clarinetero_Prochilodus mariae_Grande;6000;6000
Clarinetero_Schizodon scotorhabdotus_Varios tamaños;2000;2000
Clarinetero_Mylossoma albiscopum_Varios tamaños;2100;2511
Clarinetero_Pygocentrus cariba_Varios tamaños;1483;1518
Tasajera La Playa_Caranx crysos_Mediano;8000;8000
Tasajera La Playa_Sphyraena guachancho_Mediano;5000;5900
Tasajera La Playa_Conodon nobilis_Mediano;5000;5000
Tasajera La Playa_Haemulon plumieri_Mediano;5150;6000
Tasajera La Playa_Umbrina coroides_Mediano;4000;4000
Tasajera La Playa_Euthynnus alletteratus_Mediano;5000;6000
San Nicolás (Santa Cruz De Mompox)_Megaleporinus muyscorum_Grande;1280;1280
La Peinada_Caquetaia kraussii_Mediano;2220;2549
Playa Necoclí_Scomberomorus brasiliensis_Mediano;19350;20000
La Punta_Eugerres plumieri_Mediano;8000;8000
Playa Necoclí_Micropogonias furnieri_Revuelto;10667;12000
La Playa (El Banco)_Brycon moorei_Mediano;7970;10000
Playa Necoclí_Menticirrhus americanus_Pequeño;8200;11800
Playa Necoclí_Centropomus undecimalis_Mediano;24897;27000
Nueva Colonia_Caranx hippos_Revuelto;12000;12000
Nueva Colonia_Sciades proops_Revuelto;12000;12000
Locadía_Elops smithi_Revuelto;10000;13432
Nueva Colonia_Trichiurus lepturus_Mediano;4984;5023
Paujil_Serrasalmus rhombeus_Revuelto;4820;6170
Paujil_Semaprochilodus laticeps_Revuelto;5510;5694
Paujil_Pterygoplichthys gibbiceps_Revuelto;4617;4885
Paujil_Pygocentrus cariba_Revuelto;4856;5815
Nueva Colonia_Mugil incilis_Revuelto;6000;8044
Nueva Colonia_Callinectes sapidus_Revuelto;4000;4000
Nueva Colonia_Eugerres plumieri_Revuelto;14000;14000
Playa de Arusí_Thunnus albacares_Pequeño;14000;14000
Playa de Arusí_Tylosurus pacificus_Grande;14000;14000
Puerto Asure_Pseudoplatystoma magdaleniatum_Revuelto;7172;8000
Doña Ana_Plagioscion magdalenae_Grande;5980;6011
Playa Totumo_Caranx hippos_Grande;12000;12000
Playa Totumo_Cynoscion spp._Revuelto;10000;12600
Champaché_Centropomus undecimalis_Grande;9090;14655
Champaché_Selene setapinnis_Mediano;6317;6985
Champaché_Mycteroperca bonaci_Grande;23810;23810
Doña Ana_Oreochromis niloticus_Pequeño;2987;3042
Doña Ana_Hoplias malabaricus_Revuelto;1182;1643
Playa Pescadores - Capurganá_Caranx crysos_Revuelto;14000;14000
Doña Ana_Plagioscion magdalenae_Pequeño;2985;3032
Nueva Colonia_Mugil incilis_Mediano;6000;6001
Doña Ana_Prochilodus magdalenae_Grande;10000;10000
Doña Ana_Pseudoplatystoma magdaleniatum_Grande;4969;5040
Tajamar Occidental_Centropomus undecimalis_Grande;21906;22986
Tajamar Occidental_Lobotes surinamensis_Mediano;9318;11729
Doña Ana_Prochilodus magdalenae_Mediano;5641;7391
Doña Ana_Megaleporinus muyscorum_Revuelto;1015;1699
Doña Ana_Sorubim cuspicaudus_Grande;5000;5057
Vida Tranquila_Plagioscion magdalenae_Revuelto;3972;6395
Bahía de Santa Marta_Sphyraena guachancho_Pequeño;6310;9091
Tajamar Occidental_Lobotes surinamensis_Pequeño;11364;11364
Bocas de Seheve_Sorubim cuspicaudus_Grande;5962;6039
Puerto Colorado_Pseudoplatystoma magdaleniatum_Grande;7967;8009
Puerto Colorado_Ageneiosus pardalis_Grande;14040;14040
Bahía de Santa Marta_Caranx hippos_Pequeño;9811;20253
Orpua_Cynoscion albus_Revuelto;16000;16000
Orpua_Lutjanus argentiventris_Revuelto;16000;16000
Orpua_Sciades dowii_Revuelto;10000;10000
Orpua_Diapterus brevirostris_Revuelto;10000;10000
Orpua_Menticirrhus panamensis_Revuelto;10000;10000
La Punta_Mugil incilis_Pequeño;2284;2298
La Punta_Micropogonias furnieri_Pequeño;3259;3314
Vida Tranquila_Sorubim cuspicaudus_Pequeño;4991;6300
Puerto Colorado_Sorubim cuspicaudus_Grande;13960;14015
Puerto Boquillas_Cyphocharax magdalenae_Revuelto;2986;2989
Puerto Boquillas_Caquetaia kraussii_Revuelto;2967;2999
Orpua_Bagre pinnimaculatus_Pequeño;10000;10000
Orpua_Centropomus armatus_Revuelto;16000;16000
Orpua_Lobotes pacifica_Pequeño;10000;10000
Orpua_Nebris occidentalis_Revuelto;10000;10000
La Punta_Centropomus undecimalis_Mediano;14765;16497
Puerto Colorado_Cynopotamus magdalenae_Revuelto;1952;2806
Puerto Colorado_Prochilodus magdalenae_Grande;10875;11566
Barrio La Unión_Panulirus argus_Mediano;39124;40000
Agropez_Lutjanus griseus_Grande;20673;22000
Agropez_Caranx hippos_Revuelto;14000;14000
Agropez_Lobotes surinamensis_Mediano;9148;11813
