SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat;Cuartil_sup_Precio_Esp_Cat
Los Tendales_Plagioscion magdalenae_Pequeño;5973;6029
Los Tendales_Oreochromis niloticus_Pequeño;3989;4047
Los Tendales_Hoplias malabaricus_Revuelto;2152;2736
Los Tendales_Ageneiosus pardalis_Pequeño;5836;6000
Santa Clara_Prochilodus magdalenae_Pequeño;4097;5460
Santa Clara_Hoplias malabaricus_Revuelto;2084;2953
Santa Clara_Sorubim cuspicaudus_Pequeño;5000;5000
Puerto del Cerrito_Prochilodus magdalenae_Mediano;5971;7892
Puerto del Cerrito_Plagioscion magdalenae_Pequeño;1905;2000
Los Tendales_Caquetaia kraussii_Revuelto;2132;2644
Puerto del Cerrito_Megaleporinus muyscorum_Pequeño;1852;2000
Guataquí_Pimelodus yuma_Revuelto;9034;13187
Santa Clara_Megaleporinus muyscorum_Revuelto;4154;4960
Santa Clara_Ageneiosus pardalis_Grande;6000;6000
Puerto del Cerrito_Sorubim cuspicaudus_Pequeño;7837;8000
Villanueva_Prochilodus magdalenae_Pequeño;5096;7143
Villanueva_Hoplias malabaricus_Revuelto;2807;3229
La Peinada_Cyphocharax magdalenae_Mediano;1667;2032
La Peinada_Oreochromis niloticus_Mediano;5442;7710
La Peinada_Prochilodus magdalenae_Pequeño;4530;8414
Villanueva_Caquetaia kraussii_Revuelto;1210;1858
Caño Grande_Prochilodus magdalenae_Mediano;7932;9005
Palanca_Prochilodus magdalenae_Pequeño;3733;4815
Belén (San Marcos)_Cyphocharax magdalenae_Revuelto;1089;1183
Belén (San Marcos)_Megaleporinus muyscorum_Revuelto;2632;3408
Barrio Abajo (Ciénaga)_Xiphopenaeus kroyeri_Pequeño;4890;5090
Barrio Abajo (Ciénaga)_Penaeus schmitti_Grande;25925;37350
Barrio Abajo (Ciénaga)_Penaeus schmitti_Revuelto;13333;16068
Belén (San Marcos)_Oreochromis niloticus_Grande;5993;6008
Belén (San Marcos)_Pimelodus yuma_Revuelto;3478;4733
Santa Clara_Sorubim cuspicaudus_Grande;9000;9000
Santa Clara_Prochilodus magdalenae_Mediano;5777;6771
Palanca_Sorubim cuspicaudus_Grande;7966;8321
San Antonio de Padua_Prochilodus magdalenae_Revuelto;1994;2000
San Antonio de Padua_Megaleporinus muyscorum_Revuelto;2431;2500
San Antonio de Padua_Sturisomatichthys panamensis_Mediano;1830;1987
La Peinada_Cyphocharax magdalenae_Pequeño;1618;2027
Belén (San Marcos)_Prochilodus magdalenae_Mediano;7505;9677
Betania (Montecristo)_Triportheus magdalenae_Revuelto;1166;1166
Betania (Montecristo)_Pimelodus yuma_Revuelto;2995;3011
Belén (San Marcos)_Sorubim cuspicaudus_Grande;5945;7989
Palanca_Prochilodus magdalenae_Grande;13938;14037
Palanca_Prochilodus magdalenae_Mediano;4965;9344
Punta de blanco_Cyphocharax magdalenae_Revuelto;909;1115
Punta de blanco_Pimelodus yuma_Revuelto;2462;3798
Belén (San Marcos)_Plagioscion magdalenae_Grande;5989;6030
Barrio Abajo (Ciénaga)_Centropomus pectinatus_Pequeño;11230;12292
Barrio Abajo (Ciénaga)_Micropogonias furnieri_Pequeño;5714;8571
Barrio Abajo (Ciénaga)_Larimus breviceps_Pequeño;7307;12617
Barrio Abajo (Ciénaga)_Scomberomorus brasiliensis_Pequeño;5559;7375
Barrio Abajo (Ciénaga)_Sphyraena guachancho_Grande;4615;5983
Puerto del Cerrito_Prochilodus magdalenae_Pequeño;3960;6000
Manaure Abajo_Haemulon plumieri_Revuelto;2000;3000
Betania (Montecristo)_Sorubim cuspicaudus_Grande;4948;5000
Barrio Abajo (Ciénaga)_Caranx hippos_Pequeño;5051;8000
Barrio Abajo (Ciénaga)_Elops smithi_Pequeño;5329;6110
Barrio Abajo (Ciénaga)_Cynoscion jamaicensis_Pequeño;5333;8427
Barrio Abajo (Ciénaga)_Sphyraena guachancho_Pequeño;5144;11153
Punta de blanco_Oreochromis niloticus_Pequeño;5965;6042
Palenquito_Prochilodus magdalenae_Mediano;3999;5005
Palenquito_Oreochromis niloticus_Mediano;3996;4014
Punta de blanco_Plagioscion magdalenae_Pequeño;5949;6030
Barrio Abajo (Ciénaga)_Trichiurus lepturus_Pequeño;1610;5476
Belén (San Marcos)_Prochilodus magdalenae_Grande;8065;9615
Belén (San Marcos)_Plagioscion magdalenae_Mediano;5945;6034
Belén (San Marcos)_Hoplias malabaricus_Revuelto;2728;4326
Palomino_Oreochromis niloticus_Revuelto;5000;5508
Manaure Abajo_Sphyraena barracuda_Grande;10000;10000
Barrio Abajo (Ciénaga)_Lobotes surinamensis_Grande;5306;6174
Barrio Abajo (Ciénaga)_Elops smithi_Grande;6000;7000
Betania (Montecristo)_Plagioscion magdalenae_Grande;4982;5000
Betania (Montecristo)_Hoplias malabaricus_Revuelto;1440;1912
Betania (Montecristo)_Curimata mivartii_Revuelto;2212;2325
Palomino_Prochilodus magdalenae_Mediano;8000;8000
Palomino_Prochilodus magdalenae_Pequeño;6000;6000
Palanca_Megaleporinus muyscorum_Revuelto;1454;3381
Santa Clara_Ageneiosus pardalis_Pequeño;4000;4000
Manaure Abajo_Rhomboplites aurorubens_Pequeño;3983;4000
El Malecón (Neiva)_Ichthyoelephas longirostris_Revuelto;12014;13093
El Malecón (Neiva)_Pimelodus grosskopfii_Revuelto;11931;13013
El Malecón (Neiva)_Megaleporinus muyscorum_Revuelto;11905;13031
El Malecón (Neiva)_Chaetostoma brevilabiatum_Revuelto;10965;12018
El Malecón (Neiva)_Lasiancistrus caucanus_Revuelto;10643;11527
El Malecón (Neiva)_Chaetostoma milesi_Revuelto;10536;12152
El Malecón (Neiva)_Hypostomus niceforoi_Revuelto;10970;11945
El Malecón (Neiva)_Prochilodus magdalenae_Revuelto;12000;13046
Palenquito_Hoplias malabaricus_Grande;931;1147
Barrio Abajo (Ciénaga)_Scomberomorus brasiliensis_Grande;15934;16000
El Malecón (Neiva)_Spatuloricaria gymnogaster_Revuelto;11028;12162
El Malecón (Neiva)_Pseudopimelodus magnus_Revuelto;9640;10150
Puerto del Cerrito_Prochilodus magdalenae_Grande;7997;8000
Puerto Antequera_Prochilodus magdalenae_Revuelto;7185;8000
Puerto Antequera_Pseudoplatystoma magdaleniatum_Mediano;10000;10000
Palenquito_Oreochromis niloticus_Grande;5000;5007
Palenquito_Hoplias malabaricus_Mediano;1033;1566
Punta de blanco_Oreochromis niloticus_Grande;5974;6048
Caño Grande_Prochilodus magdalenae_Revuelto;6987;8856
Puerto Maco/Puerto Momico_Oreochromis niloticus_Revuelto;5995;6199
Puerto Maco/Puerto Momico_Pimelodus grosskopfii_Revuelto;17975;18010
Campo alegre_Oreochromis niloticus_Revuelto;5987;6010
Campo alegre_Sorubim cuspicaudus_Pequeño;3878;4091
Campo alegre_Plagioscion magdalenae_Pequeño;3956;4057
Campo alegre_Hoplias malabaricus_Revuelto;1190;1881
Campo alegre_Caquetaia kraussii_Revuelto;952;1375
Puerto Maco/Puerto Momico_Oreochromis spp._Revuelto;5968;6194
Vida Tranquila_Prochilodus magdalenae_Mediano;5957;6983
Puerto Maco/Puerto Momico_Prochilodus magdalenae_Revuelto;15880;16069
Punta de blanco_Plagioscion magdalenae_Grande;5918;6007
Punta de blanco_Sorubim cuspicaudus_Grande;5926;6017
Manaure Centro_Haemulon plumieri_Revuelto;2500;3500
Puerto del Cerrito_Pseudoplatystoma magdaleniatum_Pequeño;7865;8000
Tribugá_Lutjanus argentiventris_Revuelto;16000;16000
Tribugá_Caranx caninus_Grande;14000;14000
Puerto Triunfo_Sorubim cuspicaudus_Revuelto;13022;14656
Palanca_Hoplias malabaricus_Revuelto;2444;2667
Tribugá_Lutjanus argentiventris_Pequeño;16000;16000
Tribugá_Epinephelus analogus_Mediano;14000;14000
Manaure Centro_Euthynnus alletteratus_Grande;2997;3000
Campo alegre_Sorubim cuspicaudus_Grande;4941;5000
Campo alegre_Megaleporinus muyscorum_Revuelto;1190;2107
Campo alegre_Pimelodus yuma_Revuelto;1765;2054
Santa Clara_Cynopotamus magdalenae_Revuelto;2581;3350
Campo alegre_Plagioscion magdalenae_Grande;4912;5022
Campo alegre_Prochilodus magdalenae_Pequeño;5897;6070
Punta de blanco_Sorubim cuspicaudus_Pequeño;5862;6087
Villanueva_Cyphocharax magdalenae_Revuelto;887;951
Campo alegre_Prochilodus magdalenae_Grande;9821;10000
Muelle Hong Kong_Prochilodus rubrotaeniatus_Revuelto;4735;7154
La Isla de los Palacios_Prochilodus magdalenae_Revuelto;1197;1800
La Isla de los Palacios_Megaleporinus muyscorum_Revuelto;2921;2982
Muelle Hong Kong_Calophysus macropterus_Revuelto;13616;15115
Muelle Hong Kong_Mylossoma albiscopum_Revuelto;4196;4732
Costilla_Plagioscion magdalenae_Revuelto;6422;8000
Costilla_Sorubim cuspicaudus_Revuelto;6947;8938
La Isla de los Palacios_Hoplias malabaricus_Mediano;1148;1750
Campo alegre_Prochilodus magdalenae_Mediano;7871;8043
Muelle Hong Kong_Sorubimichthys planiceps_Revuelto;13412;15750
Muelle Hong Kong_Pseudoplatystoma punctifer_Revuelto;15328;18000
Barrio Abajo (Ciénaga)_Centropomus pectinatus_Revuelto;11651;11986
Barrio Abajo (Ciénaga)_Trichiurus lepturus_Grande;2411;2495
Campo alegre_Pseudoplatystoma magdaleniatum_Grande;4934;5000
Barrio Abajo (Ciénaga)_Conodon nobilis_Pequeño;5293;9672
Costilla_Prochilodus magdalenae_Revuelto;6392;8000
Berlín_Prochilodus magdalenae_Mediano;6102;8564
Berlín_Megaleporinus muyscorum_Revuelto;1242;3846
Villanueva_Prochilodus magdalenae_Mediano;6793;9644
Villanueva_Plagioscion magdalenae_Pequeño;4926;5061
Barrio Santa Lucía_Lutjanus synagris_Mediano;15975;20000
Muelle Hong Kong_Brachyplatystoma platynemum_Revuelto;13583;15000
Costilla_Hoplias malabaricus_Revuelto;4000;4000
Barrio Abajo (Ciénaga)_Trachinotus goodei_Grande;9000;9000
Barrio Abajo (Ciénaga)_Scomberomorus cavalla_Grande;18500;20000
Barrio Santa Lucía_Caranx crysos_Mediano;12933;15000
Puerto del Cerrito_Cyphocharax magdalenae_Revuelto;795;800
Muelle Hong Kong_Brycon amazonicus_Revuelto;15000;15000
San José de la Calle_Ageneiosus pardalis_Mediano;15566;16000
San José de la Calle_Hoplias malabaricus_Mediano;7619;8000
San José de la Calle_Kronoheros umbrifer_Mediano;5603;6000
San José de la Calle_Caquetaia kraussii_Mediano;5385;6000
San José de la Calle_Prochilodus magdalenae_Mediano;5849;5995
San José de la Calle_Rhamdia guatemalensis_Mediano;6549;6961
Barrio Santa Lucía_Scomberomorus cavalla_Mediano;15069;18000
Barrio Abajo (Ciénaga)_Caranx hippos_Grande;8000;8000
San José de la Calle_Megaleporinus muyscorum_Mediano;8917;10000
Costilla_Megaleporinus muyscorum_Revuelto;2000;2000
Costilla_Pimelodus yuma_Revuelto;5999;7000
San José de la Calle_Prochilodus magdalenae_Revuelto;5988;6000
Miramar - Bahía Málaga_Caranx caballus_Varios tamaños;6000;6000
Miramar - Bahía Málaga_Lutjanus aratus_Platero (para pargos);16972;17000
Miramar - Bahía Málaga_Lutjanus argentiventris_Platero (para pargos);17000;17000
El Pedral_Prochilodus magdalenae_Revuelto;7004;14411
San José de la Calle_Brycon moorei_Mediano;13984;13984
Isla Fuerte_Octopus vulgaris_Revuelto;18656;30000
Isla Fuerte_Lobatus gigas_Revuelto;8214;30000
Santa Clara_Pseudoplatystoma magdaleniatum_Grande;6000;6000
Yaguará_Oreochromis niloticus_Grande;4402;5607
Yaguará_Oreochromis niloticus_Pequeño;2597;3002
Yaguará_Pimelodus grosskopfii_Revuelto;14811;17817
Yaguará_Prochilodus magdalenae_Revuelto;17685;19962
Miramar - Bahía Málaga_Centropomus medius_Mediano;16000;16000
Miramar - Bahía Málaga_Centropomus armatus_Mediano;16000;16000
San Miguel (Puerto Gaitán)_Brachyplatystoma vaillantii_Revuelto;8895;9400
San Miguel (Puerto Gaitán)_Pterodoras rivasi_Revuelto;2000;2000
San José de la Calle_Hoplias malabaricus_Revuelto;7979;8000
San José de la Calle_Dasyloricaria latuira_Mediano;5656;5972
San José de la Calle_Ageneiosus pardalis_Grande;16000;16000
Miramar - Bahía Málaga_Notarius troschelii_Varios tamaños;4000;4000
Miramar - Bahía Málaga_Bagre panamensis_Varios tamaños;6000;6000
Muelle Principal (Puerto Leguízamo)_Pseudoplatystoma punctifer_Revuelto;14194;19000
Muelle Principal (Puerto Leguízamo)_Leiarius marmoratus_Revuelto;13898;13998
La Isla de los Palacios_Hoplias malabaricus_Revuelto;1599;1796
Muelle Principal (Puerto Leguízamo)_Brycon amazonicus_Revuelto;15000;16000
Méjico_Prochilodus magdalenae_Grande;3986;8003
Méjico_Megaleporinus muyscorum_Revuelto;1757;2535
Isla Fuerte_Lobatus gigas_Mediano;23684;23684
Isla Fuerte_Sphyraena barracuda_Mediano;14572;17000
La Isla de los Palacios_Megaleporinus muyscorum_Mediano;2826;2830
Las Brisas_Plagioscion magdalenae_Grande;6968;7001
Las Brisas_Prochilodus magdalenae_Mediano;8147;10962
Las Brisas_Oreochromis niloticus_Grande;10000;10000
Las Brisas_Plagioscion magdalenae_Pequeño;3993;4023
Méjico_Prochilodus magdalenae_Mediano;1977;6000
Méjico_Ageneiosus pardalis_Grande;3973;4010
Buchadó_Prochilodus magdalenae_Revuelto;1972;2000
Buchadó_Megaleporinus muyscorum_Revuelto;4971;4996
Muelle Principal (Puerto Leguízamo)_Brycon melanopterus_Revuelto;12000;12000
Buchadó_Ageneiosus pardalis_Pequeño;5625;5791
Méjico_Pseudoplatystoma magdaleniatum_Mediano;1985;2014
Miramar - Bahía Málaga_Mugil cephalus_Varios tamaños;8000;8000
Miramar - Bahía Málaga_Lutjanus argentiventris_Pequeño;6000;13700
Miramar - Bahía Málaga_Sciades dowii_Pequeño;6000;6000
Miramar - Bahía Málaga_Eucinostomus currani_Varios tamaños;6000;6000
Buchadó_Pseudopimelodus sp. 1_Revuelto;5991;6000
Buchadó_Sternopygus aequilabiatus_Revuelto;1938;1989
Buchadó_Kronoheros umbrifer_Grande;1863;1984
Playa de Arusí_Hyporthodus acanthistius_Grande;11613;11613
Playa de Arusí_Hyporthodus acanthistius_Pequeño;8059;9124
El Roto_Centropomus undecimalis_Grande;17837;18959
El Roto_Sciades proops_Grande;4707;4981
El Roto_Sciades proops_Mediano;4001;4934
Miramar - Bahía Málaga_Ariopsis seemanni_Varios tamaños;6000;6000
Miramar - Bahía Málaga_Caranx caninus_Pequeño;6000;6000
Buchadó_Rhamdia guatemalensis_Mediano;1978;1999
Méjico_Cynopotamus magdalenae_Revuelto;545;747
Playa de Arusí_Cynoponticus coniceps_Pequeño;3050;3947
Playa de Arusí_Brotula clarkae_Revuelto;14000;19000
Playa de Arusí_Thunnus albacares_Revuelto;7962;14000
Méjico_Sorubim cuspicaudus_Grande;3973;4011
Playa de Arusí_Seriola rivoliana_Mediano;16000;17800
Playa de Arusí_Caranx caballus_Revuelto;12100;13900
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Pequeño;4797;5800
San Nicolás (Santa Cruz De Mompox)_Hoplias malabaricus_Mediano;1787;2130
Arroyito_Sphyraena guachancho_Pequeño;9967;9997
Méjico_Pseudoplatystoma magdaleniatum_Grande;3991;4005
San Nicolás (Santa Cruz De Mompox)_Hoplias malabaricus_Revuelto;1453;2071
Playa de Arusí_Lutjanus guttatus_Revuelto;13653;16000
Playa de Arusí_Lutjanus argentiventris_Mediano;13538;14000
Puerto Wilches_Sorubim cuspicaudus_Revuelto;11034;13000
Chapinero_Prochilodus magdalenae_Revuelto;7278;9528
Chapinero_Salminus affinis_Mediano;5685;10614
Chapinero_Megaleporinus muyscorum_Mediano;4865;7311
Chapinero_Centropomus undecimalis_Mediano;6640;12413
Chapinero_Hoplias malabaricus_Mediano;6173;6173
Chapinero_Sorubim cuspicaudus_Mediano;5556;15360
Puerto Wilches_Pseudoplatystoma magdaleniatum_Revuelto;11696;13000
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Pequeño;1995;2995
San Nicolás (Santa Cruz De Mompox)_Megaleporinus muyscorum_Revuelto;1415;2199
Puerto Wilches_Ageneiosus pardalis_Revuelto;11638;13000
Camarones_Seriola zonata_Revuelto;10000;10000
Camarones_Lutjanus analis_Grande;12142;14850
Camarones_Caranx hippos_Grande;6000;6000
Loma - San Sebastián_Prochilodus magdalenae_Mediano;4119;7843
Arroyito_Lutjanus synagris_Mediano;11941;11998
Chapinero_Prochilodus magdalenae_Mediano;7089;11202
Chapinero_Prochilodus magdalenae_Pequeño;7497;9309
Chapinero_Sorubim cuspicaudus_Revuelto;6504;7887
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Mediano;5720;8241
Puerto Wilches_Prochilodus magdalenae_Revuelto;5882;10524
Cooperativas - Pueblo Nuevo_Bagre panamensis_Revuelto;2500;2500
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Pescado especial;28000;28000
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Pequeño;13000;13000
Cooperativas - Pueblo Nuevo_Scomberomorus sierra_Pequeño;6500;7000
Cooperativas - Pueblo Nuevo_Scomberomorus sierra_Grande;13500;14000
Cooperativas - Pueblo Nuevo_Cynoscion phoxocephalus_Grande;18000;18000
Camarones_Centropomus undecimalis_Revuelto;12773;22000
Arroyito_Mugil incilis_Pequeño;5965;6000
Camarones_Lutjanus synagris_Revuelto;15100;19600
Camarones_Bagre filamentosus_Revuelto;4362;4489
Camarones_Calamus penna_Revuelto;8905;10804
San Nicolás (Santa Cruz De Mompox)_Sorubim cuspicaudus_Revuelto;5917;6017
San Nicolás (Santa Cruz De Mompox)_Plagioscion magdalenae_Pequeño;1993;3894
Arroyito_Bagre filamentosus_Mediano;4953;4991
Arroyito_Sciades proops_Mediano;7984;7984
Camarones_Lobotes surinamensis_Mediano;6963;6963
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Revuelto;4942;5635
San Nicolás (Santa Cruz De Mompox)_Sorubim cuspicaudus_Mediano;5591;6316
Desembarcadero (Supía)_Pimelodus grosskopfii_Revuelto;11981;12019
Desembarcadero (Supía)_Prochilodus magdalenae_Revuelto;11948;12038
San Nicolás (Santa Cruz De Mompox)_Colossoma macropomum_Revuelto;3977;4491
La Tranca_Prochilodus magdalenae_Mediano;5993;6004
La Tranca_Caquetaia kraussii_Revuelto;1020;1673
La Tranca_Megaleporinus muyscorum_Revuelto;852;1367
Desembarcadero (Supía)_Colossoma macropomum_Revuelto;11003;11003
Vida Tranquila_Prochilodus magdalenae_Grande;5976;6679
Vida Tranquila_Megaleporinus muyscorum_Grande;1978;2000
Desembarcadero (Supía)_Pseudopimelodus magnus_Revuelto;11962;12055
Caño Grande_Megalops atlanticus_Pequeño;9810;9810
La Tranca_Prochilodus magdalenae_Grande;7949;8000
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Revuelto;4072;5054
La Tranca_Prochilodus magdalenae_Pequeño;3990;4002
La Tranca_Hoplias malabaricus_Revuelto;1157;2104
La Tranca_Cyphocharax magdalenae_Revuelto;2149;2149
Vida Tranquila_Sorubim cuspicaudus_Grande;4989;7993
Honda_Pimelodus grosskopfii_Mediano;15000;17000
Honda_Sternopygus aequilabiatus_Revuelto;5000;5750
Pueblo Lindo o Caimanera_Cyphocharax magdalenae_Revuelto;1582;2089
Pueblo Lindo o Caimanera_Triportheus magdalenae_Revuelto;1433;1510
La Tranca_Pseudoplatystoma magdaleniatum_Mediano;3955;4027
La Tranca_Plagioscion magdalenae_Pequeño;1924;2042
Honda_Pimelodus grosskopfii_Pequeño;11000;12000
San Nicolás (Santa Cruz De Mompox)_Colossoma macropomum_Grande;4486;4486
Honda_Pimelodus yuma_Mediano;6000;6900
Pizarro_Centropomus viridis_Grande;16000;18000
Pizarro_Bagre pinnimaculatus_Grande;6000;7000
Pizarro_Scomberomorus sierra_Pequeño;5000;5000
Pizarro_Scomberomorus sierra_Grande;8000;8200
Pizarro_Notarius troschelii_Revuelto;5000;6200
Pizarro_Bagre panamensis_Revuelto;3000;4000
Pizarro_Larimus argenteus_Revuelto;8000;8000
Pizarro_Macrodon mordax_Revuelto;8000;8000
Pizarro_Lobotes pacifica_Grande;7000;8000
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Grande;7580;11002
Pizarro_Centropomus medius_Grande;16000;20850
Pizarro_Notarius troschelii_Grande;5000;6400
Pizarro_Cynoscion albus_Grande;16000;18000
Pizarro_Lobotes pacifica_Pequeño;7000;7850
Honda_Pimelodus yuma_Pequeño;4000;4500
Honda_Megaleporinus muyscorum_Revuelto;2000;3000
