SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Puerto Boca_Pimelodus grosskopfii_Mediano;4000;4000
Playa Pescadores - Capurganá_Euthynnus alletteratus_Pequeño;10000;10000
Camarones_Enchelycore nigricans_Revuelto;2992;3000
Camarones_Ocyurus chrysurus_Revuelto;22000;22000
Docordó_Notarius troschelii_Grande;5991;8000
Camarones_Scarus coeruleus_Revuelto;3150;7844
El Roto_Lobotes surinamensis_Grande;4550;4978
Popoya Playa_Sparisoma chrysopterum_Mediano;3571;5000
Popoya Playa_Haemulon bonariense_Mediano;5000;7333
Popoya Playa_Cathorops wayuu_Mediano;3640;6933
Playa Pescadores - Capurganá_Lutjanus vivanus_Revuelto;26000;26000
Popoya Playa_Seriola zonata_Grande;6667;6667
Popoya Playa_Caranx bartholomaei_Mediano;6666;11097
Popoya Playa_Lachnolaimus maximus_Mediano;5385;8000
Costilla_Plagioscion magdalenae_Revuelto;6000;8000
Puerto de Gamarra_Prochilodus magdalenae_Grande;10000;20000
Rincón_Caquetaia kraussii_Mediano;2426;3538
Puerto de Gamarra_Prochilodus magdalenae_Mediano;6000;8930
Puerto de Gamarra_Plagioscion magdalenae_Revuelto;6000;14000
Puerto de Gamarra_Prochilodus magdalenae_Pequeño;1758;5595
Puerto de Gamarra_Megaleporinus muyscorum_Pequeño;2000;4000
Sapzurro_Seriola dumerili_Grande;24000;26000
Sapzurro_Lutjanus purpureus_Pequeño;30000;30000
Sapzurro_Thunnus albacares_Mediano;18000;25100
Sapzurro_Coryphaena hippurus_Mediano;18000;18000
Puerto de Gamarra_Pimelodus yuma_Revuelto;2001;7000
Puerto de Gamarra_Triportheus magdalenae_Revuelto;2000;2000
Docordó_Centropomus armatus_Grande;14000;16000
Puerto Chucha_Euthynnus alletteratus_Grande;10241;10797
La Peinada_Prochilodus magdalenae_Pequeño;4350;9481
El Ferry_Pimelodus yuma_Revuelto;5882;6087
Puerto Chucha_Caranx crysos_Revuelto;9911;11121
Puerto Chucha_Centropomus undecimalis_Mediano;20266;22625
El Pájaro_Scomberomorus brasiliensis_Pequeño;6436;8000
El Pájaro_Scomberomorus cavalla_Pequeño;10000;12000
El Pájaro_Scomberomorus brasiliensis_Revuelto;7377;8186
Puerto El Waffe marino_Mugil incilis_Revuelto;5994;6000
Puerto El Waffe marino_Bagre filamentosus_Revuelto;4000;5000
Puerto El Waffe marino_Centropomus ensiferus_Revuelto;14000;15000
Puerto El Waffe marino_Bairdiella ronchus_Revuelto;10000;10000
Puerto El Waffe marino_Centropomus undecimalis_Revuelto;17000;18000
Puerto El Waffe marino_Caranx hippos_Revuelto;10000;12000
Desembarcadero (Supía)_Pimelodus grosskopfii_Revuelto;11000;12011
Desembarcadero (Supía)_Prochilodus magdalenae_Revuelto;10000;12016
Desembarcadero (Supía)_Pseudopimelodus magnus_Revuelto;10000;12023
Puerto El Waffe marino_Trichiurus lepturus_Revuelto;4000;5000
Puerto El Waffe marino_Callinectes bocourti_Revuelto;3000;4000
Las Delicias_Umbrina broussonnetii_Pequeño;5000;7000
Las Delicias_Haemulopsis corvinaeformis_Mediano;3000;5000
Las Delicias_Sphyraena guachancho_Mediano;5250;7750
El Pájaro_Scomberomorus brasiliensis_Mediano;6667;8000
La Peinada_Cyphocharax magdalenae_Pequeño;1602;2023
Las Delicias_Albula vulpes_Grande;3000;5000
Las Delicias_Seriola rivoliana_Mediano;7000;8000
Barrio Chino_Pseudoplatystoma magdaleniatum_Grande;3998;6011
Las Delicias_Haemulon plumieri_Grande;4000;8000
Las Delicias_Conodon nobilis_Grande;4600;7400
Las Delicias_Chloroscombrus chrysurus_Mediano;4000;5000
Las Delicias_Albula vulpes_Pequeño;3000;4000
Las Delicias_Haemulon steindachneri_Pequeño;1500;4000
Pomeño_Larimus argenteus_Pequeño;12000;12000
Pomeño_Lutjanus jordani_Revuelto;14000;14000
Pomeño_Notarius troschelii_Pequeño;10000;10000
Pomeño_Centropomus armatus_Pequeño;14000;15700
Puerto Principal (Puerto Lleras)_Pseudoplatystoma orinocoense_Revuelto;13958;16000
Puerto Principal (Puerto Lleras)_Sorubimichthys planiceps_Revuelto;14642;18380
Puerto Principal (Puerto Lleras)_Hydrolycus armatus_Revuelto;10000;12923
Puerto Principal (Puerto Lleras)_Zungaro zungaro_Revuelto;13983;15966
Puerto Principal (Puerto Lleras)_Brycon amazonicus_Revuelto;14767;15981
Casco Urbano (Arauca)_Prochilodus mariae_Revuelto;8000;10950
Casco Urbano (Arauca)_Hoplosternum littorale_Revuelto;2840;3500
Casco Urbano (Arauca)_Pseudoplatystoma orinocoense_Grande;10000;15729
Casco Urbano (Arauca)_Pseudoplatystoma orinocoense_Revuelto;10000;15400
Casco Urbano (Arauca)_Mylossoma albiscopum_Revuelto;3000;5000
Belén (San Marcos)_Oreochromis niloticus_Mediano;5970;7000
Belén (San Marcos)_Plagioscion magdalenae_Mediano;5933;6050
Belén (San Marcos)_Sorubim cuspicaudus_Grande;5968;8025
Milagros de la Mar_Otros menudo_Revuelto;4000;5000
Milagros de la Mar_Polydactylus approximans_Revuelto;5000;6000
Milagros de la Mar_Larimus argenteus_Revuelto;5000;6000
Milagros de la Mar_Macrodon mordax_Revuelto;7000;8000
Milagros de la Mar_Sphyraena ensis_Mediano;6000;7200
Milagros de la Mar_Caranx caballus_Revuelto;4000;6000
Belén (San Marcos)_Prochilodus magdalenae_Grande;8287;10349
Caño Grande_Prochilodus magdalenae_Revuelto;6983;8991
Barrio Arriba - Barbosa (Magangué)_Oreochromis niloticus_Mediano;4398;6064
Caño Grande_Megalops atlanticus_Mediano;4332;10996
Caño Grande_Hoplias malabaricus_Mediano;1963;3635
Barrio Arriba - Barbosa (Magangué)_Prochilodus magdalenae_Mediano;5525;7090
Vida Tranquila_Sorubim cuspicaudus_Revuelto;5168;7750
Barrio Arriba - Barbosa (Magangué)_Oreochromis niloticus_Grande;5552;7317
Barrio Arriba - Barbosa (Magangué)_Plagioscion magdalenae_Mediano;3532;5955
Barrio Arriba - Barbosa (Magangué)_Pseudoplatystoma magdaleniatum_Mediano;4615;6250
Barrio Arriba - Barbosa (Magangué)_Prochilodus magdalenae_Grande;9526;12069
San José de la Calle_Prochilodus magdalenae_Mediano;5812;6000
San José de la Calle_Rhamdia guatemalensis_Mediano;6578;7000
San José de la Calle_Kronoheros umbrifer_Mediano;5556;6000
San José de la Calle_Caquetaia kraussii_Mediano;5437;6000
San José de la Calle_Prochilodus magdalenae_Revuelto;5985;6000
San José de la Calle_Hoplias malabaricus_Revuelto;7973;8000
San José de la Calle_Sternopygus aequilabiatus_Mediano;5697;6000
San José de la Calle_Pimelodus punctatus_Mediano;6667;7000
San José de la Calle_Megaleporinus muyscorum_Mediano;10000;10000
Puente Chambacú - Río Jella_Lutjanus argentiventris_Varios tamaños;15000;24000
Puente Chambacú - Río Jella_Coryphaena hippurus_Mediano;7750;10000
Las Delicias_Euthynnus alletteratus_Pequeño;3300;6850
Las Delicias_Bagre filamentosus_Mediano;4000;5000
La Boquilla_Penaeus schmitti_Grande;30369;37021
La Boquilla_Conodon nobilis_Revuelto;4456;7040
La Boquilla_Centropomus undecimalis_Mediano;18732;23130
La Boquilla_Cynoscion acoupa_Revuelto;8095;11350
La Boquilla_Sciades proops_Mediano;8000;10959
La T_Scomberomorus cavalla_Mediano;22000;22000
La T_Euthynnus alletteratus_Grande;5000;6000
La T_Euthynnus alletteratus_Revuelto;7000;7200
La T_Haemulon plumieri_Revuelto;5000;6000
La T_Haemulon steindachneri_Pequeño;2000;3000
El Llanito_Sorubim cuspicaudus_Revuelto;9523;13056
Mayapo_Eucinostomus melanopterus_Revuelto;6973;12000
El Roto_Megalops atlanticus_Mediano;17302;19613
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Pequeño;3162;5939
San Nicolás (Santa Cruz De Mompox)_Hoplias malabaricus_Mediano;1685;2601
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Mediano;4572;8990
La Gloria_Prochilodus magdalenae_Mediano;3340;8000
La Gloria_Hoplias malabaricus_Revuelto;1598;2400
La Gloria_Prochilodus magdalenae_Pequeño;2180;4800
La Gloria_Plagioscion magdalenae_Revuelto;6000;8750
La Gloria_Pseudoplatystoma magdaleniatum_Pequeño;6400;10000
La Gloria_Sorubim cuspicaudus_Revuelto;6400;10000
La Gloria_Prochilodus magdalenae_Grande;8000;12000
La Gloria_Sternopygus aequilabiatus_Revuelto;900;1100
La Gloria_Pseudoplatystoma magdaleniatum_Grande;8000;12000
Puerto Montecristo_Caquetaia kraussii_Revuelto;740;971
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Revuelto;4597;6870
San Nicolás (Santa Cruz De Mompox)_Prochilodus magdalenae_Grande;6309;12000
San Nicolás (Santa Cruz De Mompox)_Sorubim cuspicaudus_Grande;5071;6995
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Grande;4862;10000
La Tagua_Pinirampus pirinampu_Pequeño;7405;10000
La Tagua_Ageneiosus inermis_Pequeño;7979;10278
Playa Totumo_Cathorops mapale_Revuelto;8000;8000
Playa Totumo_Lutjanus synagris_Revuelto;12000;12900
Playa Totumo_Larimus breviceps_Revuelto;12000;12000
Barrio Chino_Sorubim cuspicaudus_Pequeño;1987;5380
Caño Grande_Centropomus undecimalis_Mediano;15109;18000
La Punta_Mugil liza_Grande;8773;11000
La Punta_Trachinotus falcatus_Grande;8487;8940
La Punta_Mugil incilis_Revuelto;2817;5450
La Punta_Megalops atlanticus_Grande;9941;11778
La Punta_Bagre filamentosus_Grande;3844;5766
San Nicolás (Santa Cruz De Mompox)_Hoplias malabaricus_Grande;1122;2000
San Nicolás (Santa Cruz De Mompox)_Sorubim cuspicaudus_Mediano;4948;6982
San Nicolás (Santa Cruz De Mompox)_Pseudoplatystoma magdaleniatum_Mediano;3965;7000
Lomita Arena_Sciades proops_Grande;7549;9770
San Nicolás (Santa Cruz De Mompox)_Plagioscion magdalenae_Pequeño;1948;3933
Pueblo Lindo o Caimanera_Pseudoplatystoma magdaleniatum_Grande;10000;10000
Lomita Arena_Lobotes surinamensis_Mediano;7462;8513
Lomita Arena_Bagre bagre_Mediano;5931;6207
La Raya_Prochilodus magdalenae_Pequeño;3491;4010
La Raya_Cynopotamus magdalenae_Revuelto;1469;1765
La Raya_Ageneiosus pardalis_Grande;7951;8041
La Raya_Plagioscion magdalenae_Grande;7919;8059
La Raya_Curimata mivartii_Revuelto;1793;2071
La Raya_Megaleporinus muyscorum_Revuelto;1262;1585
La Raya_Sorubim cuspicaudus_Grande;5972;9012
La Raya_Ageneiosus pardalis_Pequeño;4455;4556
La Rampa (Barrancabermeja)_Triportheus magdalenae_Revuelto;2591;4007
Pueblo Lindo o Caimanera_Plagioscion magdalenae_Pequeño;8000;8000
El Muelle (Puerto López)_Prochilodus mariae_Revuelto;9000;11200
El Muelle (Puerto López)_Mylossoma albiscopum_Revuelto;7000;10000
La Casa del Pescador_Sphyraena ensis_Grande;9000;11000
La Casa del Pescador_Cynoscion phoxocephalus_Pequeño;9000;11000
La Rampa (Barrancabermeja)_Pseudoplatystoma magdaleniatum_Grande;8241;18450
La Rampa (Barrancabermeja)_Sorubim cuspicaudus_Revuelto;8000;11000
La Rampa (Barrancabermeja)_Pimelodus yuma_Revuelto;3303;5550
San Nicolás (Santa Cruz De Mompox)_Colossoma macropomum_Mediano;4816;4970
El Valle_Lutjanus novemfasciatus_Varios tamaños;9600;18000
La Casa del Pescador_Tylosurus fodiator_Grande;2000;3000
La Casa del Pescador_Cynoscion squamipinnis_Pequeño;10000;14500
La Casa del Pescador_Scomberomorus sierra_Pequeño;2000;3000
La Casa del Pescador_Macrodon mordax_Pequeño;9000;11000
Las Balsas_Pimelodus blochii_Revuelto;9800;11000
Riosucio_Prochilodus magdalenae_Revuelto;7996;8000
Riosucio_Hoplias malabaricus_Revuelto;5995;6010
Riosucio_Caquetaia kraussii_Revuelto;4989;5000
Riosucio_Megaleporinus muyscorum_Revuelto;6962;7000
Pueblo Lindo o Caimanera_Piaractus brachypomus_Pequeño;8000;8000
Riosucio_Ageneiosus pardalis_Revuelto;12971;13000
Rincón del Mar_Euthynnus alletteratus_Pequeño;8784;11774
Rincón del Mar_Caranx crysos_Pequeño;12579;14776
La Raya_Pseudoplatystoma magdaleniatum_Pequeño;1985;4522
Playa Totumo_Centropomus pectinatus_Revuelto;12000;12550
La Raya_Pseudoplatystoma magdaleniatum_Grande;3998;9005
Puerto Abajo (Dibulla)_Balistes capriscus_Revuelto;2991;3000
Puerto Abajo (Dibulla)_Haemulon plumieri_Revuelto;5000;6000
Puerto Abajo (Dibulla)_Panulirus argus_Grande;32933;45333
Honda_Megaleporinus muyscorum_Revuelto;2000;4000
Puerto Abajo (Dibulla)_Anisotremus surinamensis_Grande;4000;4000
Puerto Abajo (Dibulla)_Ariopsis canteri_Grande;6600;8000
Puerto Abajo (Dibulla)_Caranx hippos_Pequeño;7000;7000
Puerto Abajo (Dibulla)_Bagre filamentosus_Revuelto;4000;4557
Puerto Abajo (Dibulla)_Cathorops wayuu_Revuelto;2000;2000
Puerto Abajo (Dibulla)_Diapterus auratus_Grande;5050;5950
Taganga_Lachnolaimus maximus_Mediano;10000;10000
San Miguel (Puerto Gaitán)_Brachyplatystoma platynemum_Revuelto;12000;14000
San Nicolás (Nechí)_Pseudoplatystoma magdaleniatum_Grande;7970;8016
San Miguel (Puerto Gaitán)_Brachyplatystoma vaillantii_Revuelto;9000;10000
San Miguel (Puerto Gaitán)_Pseudoplatystoma orinocoense_Revuelto;11800;14000
San Miguel (Puerto Gaitán)_Ageneiosus inermis_Revuelto;6900;10000
San Nicolás (Nechí)_Prochilodus magdalenae_Mediano;6972;7016
San Nicolás (Nechí)_Curimata mivartii_Revuelto;1834;3444
San Nicolás (Nechí)_Hoplias malabaricus_Revuelto;2214;6143
San Nicolás (Nechí)_Sorubim cuspicaudus_Grande;5976;6027
San Nicolás (Nechí)_Pterygoplichthys pardalis_Revuelto;2679;4818
San Nicolás (Nechí)_Brycon moorei_Grande;5989;8020
San Nicolás (Nechí)_Prochilodus magdalenae_Grande;7964;8022
Carrizal_Sphyraena barracuda_Revuelto;8000;8950
San Nicolás (Nechí)_Sorubim cuspicaudus_Pequeño;4858;5000
San Nicolás (Nechí)_Ageneiosus pardalis_Grande;7963;8021
La Tranca_Prochilodus magdalenae_Pequeño;3985;4014
La Tranca_Megaleporinus muyscorum_Revuelto;820;1439
San Miguel (Puerto Gaitán)_Plagioscion squamosissimus_Revuelto;4000;4150
San Miguel (Puerto Gaitán)_Prochilodus mariae_Revuelto;6000;7000
San Miguel (Puerto Gaitán)_Pimelodus blochii_Revuelto;6000;6000
San Miguel (Puerto Gaitán)_Piaractus orinoquensis_Revuelto;12000;12000
San Nicolás (Nechí)_Megaleporinus muyscorum_Revuelto;1838;6000
Buchadó_Prochilodus magdalenae_Revuelto;1967;2000
Buchadó_Ageneiosus pardalis_Mediano;5920;6000
Buchadó_Megaleporinus muyscorum_Revuelto;3889;5000
Bazurto_Chloroscombrus chrysurus_Grande;6571;10000
Marralú_Pseudoplatystoma magdaleniatum_Grande;6000;9000
Virudó_Centropomus medius_Revuelto;12000;12000
Virudó_Lutjanus guttatus_Revuelto;12000;12000
Bazurto_Opisthonema oglinum_Pequeño;2000;3364
Buchadó_Ageneiosus pardalis_Pequeño;5552;5969
San Miguel (Puerto Gaitán)_Phractocephalus hemioliopterus_Revuelto;3200;5900
San Miguel (Puerto Gaitán)_Sorubimichthys planiceps_Revuelto;9000;10000
San Miguel (Puerto Gaitán)_Sorubim lima_Revuelto;4600;7400
San Miguel (Puerto Gaitán)_Pimelodina flavipinnis_Revuelto;6000;6000
San Miguel (Puerto Gaitán)_Leporinus agassizii_Revuelto;4000;4900
Buchadó_Hoplias malabaricus_Revuelto;6440;6500
Buchadó_Caquetaia kraussii_Revuelto;1309;1959
Virudó_Bagre pinnimaculatus_Revuelto;10000;12000
Damaquiel_Cathorops mapale_Ranfaña;3000;5000
Damaquiel_Conodon nobilis_Pequeño;5000;14000
Marralú_Pseudoplatystoma magdaleniatum_Mediano;6000;8000
Marralú_Sorubim cuspicaudus_Grande;6000;8000
Marralú_Sorubim cuspicaudus_Pequeño;3000;4000
Guacamayo_Cyphocharax magdalenae_Revuelto;2616;3050
Damaquiel_Cynoscion virescens_Mediano;18000;22000
San Nicolás (Nechí)_Ageneiosus pardalis_Pequeño;6897;7026
Virudó_Euthynnus lineatus_Revuelto;10000;12000
Virudó_Caranx caninus_Revuelto;12000;12000
Virudó_Scomberomorus sierra_Revuelto;10000;12000
Curillo_Pseudoplatystoma punctifer_Mediano;20000;20000
Curillo_Sorubimichthys planiceps_Mediano;16000;16000
Damaquiel_Caranx hippos_Pequeño;13000;16540
Damaquiel_Lutjanus synagris_Pequeño;15000;22000
Virudó_Caranx caballus_Revuelto;11973;12000
Villanueva_Oreochromis niloticus_Grande;7000;8004
Villanueva_Oreochromis niloticus_Pequeño;4966;5000
Villanueva_Pseudoplatystoma magdaleniatum_Grande;7000;8033
Virudó_Ariopsis seemanni_Revuelto;10000;12000
Virudó_Centropomus armatus_Revuelto;12000;12000
Champaché_Mugil incilis_Grande;4862;5023
Champaché_Mugil incilis_Mediano;2895;3173
Champaché_Mugil incilis_Pequeño;1927;3021
Nueva Estrella_Prochilodus magdalenae_Mediano;8020;10000
San Nicolás (Nechí)_Pseudoplatystoma magdaleniatum_Pequeño;5000;7075
La Punta - Firme Cifuentes_Epinephelus quinquefasciatus_Grande;12000;12000
Puerto La Candelaria_Sorubim cuspicaudus_Revuelto;5494;7982
Champaché_Caranx hippos_Grande;8045;9264
Champaché_Centropomus undecimalis_Mediano;7535;9000
Champaché_Chaetodipterus faber_Mediano;6386;7000
Champaché_Elops smithi_Grande;8374;9031
Las Tenazas_Conodon nobilis_Mediano;7584;8388
Champaché_Caranx latus_Mediano;5000;6159
Puerto Miraflores_Euthynnus lineatus_Revuelto;14000;14000
Puerto Miraflores_Scomberomorus sierra_Revuelto;14000;14000
Puerto Miraflores_Kyphosus ocyurus_Revuelto;14000;14000
Puerto Miraflores_Caranx caballus_Revuelto;14000;14000
Palomino_Plagioscion magdalenae_Pequeño;5000;6000
Jodedor_Centropomus undecimalis_Mediano;20000;22000
Jodedor_Micropogonias furnieri_Mediano;5836;8000
Chamuscado - Naya_Notarius troschelii_Grande;10000;10000
Chamuscado - Naya_Notarius troschelii_Mediano;10000;10000
Chamuscado - Naya_Centropomus armatus_Grande;13000;13000
Chamuscado - Naya_Lutjanus novemfasciatus_Mediano;13000;13000
Chamuscado - Naya_Cynoscion albus_Mediano;17000;17000
Jodedor_Micropogonias furnieri_Pequeño;3985;5000
Jodedor_Sciades proops_Mediano;6000;6963
Chamuscado - Naya_Centropomus armatus_Mediano;13000;13000
Muelle Las Flores_Notarius troschelii_Grande;5000;5000
Pueblo Lindo o Caimanera_Megaleporinus muyscorum_Revuelto;943;1927
Jodedor_Diapterus auratus_Revuelto;1463;1463
Jodedor_Cathorops wayuu_Revuelto;1219;1990
Chamuscado - Naya_Larimus argenteus_Mediano;5000;5000
Chamuscado - Naya_Ariopsis seemanni_Mediano;3500;3950
Nueva Estrella_Sternopygus aequilabiatus_Revuelto;1263;2088
Loma - San Sebastián_Prochilodus magdalenae_Pequeño;3034;7311
Loma - San Sebastián_Oreochromis niloticus_Pequeño;2882;6521
Pueblo Lindo o Caimanera_Triportheus magdalenae_Revuelto;1262;1967
Pueblo Lindo o Caimanera_Cyphocharax magdalenae_Revuelto;1502;2408
Pueblo Lindo o Caimanera_Pimelodus yuma_Revuelto;2897;4560
Jodedor_Seriola rivoliana_Mediano;11886;12000
Nueva Estrella_Megaleporinus muyscorum_Revuelto;1559;4194
Nueva Colonia_Scomberomorus cavalla_Mediano;20000;21600
Nueva Colonia_Lutjanus synagris_Revuelto;18800;22600
Jodedor_Mycteroperca bonaci_Grande;14977;17996
Jodedor_Seriola rivoliana_Grande;11867;12000
Jodedor_Rhomboplites aurorubens_Mediano;3932;17550
Loma - San Sebastián_Sorubim cuspicaudus_Pequeño;3894;7809
Nueva Estrella_Plagioscion magdalenae_Grande;6000;8258
Muelle Las Flores_Scomberomorus sierra_Pequeño;4600;6078
Tasajera La Playa_Holocentrus adscensionis_Mediano;5000;5000
Caño Grande_Hoplias malabaricus_Revuelto;2486;4591
Barrio Santa Lucía_Panulirus argus_Pequeño;27333;35000
Barrio Santa Lucía_Scomberomorus cavalla_Mediano;14400;18000
Barrio Santa Lucía_Caranx crysos_Mediano;12616;15000
Palanca_Prochilodus magdalenae_Mediano;5040;10223
Palanca_Hoplias malabaricus_Revuelto;2112;3815
Puerto Boyacá_Pimelodus yuma_Revuelto;10000;14000
Puerto Boyacá_Salminus affinis_Revuelto;19812;19999
Puerto Boyacá_Pseudoplatystoma magdaleniatum_Revuelto;15957;22000
Puerto Boyacá_Pimelodus grosskopfii_Revuelto;12000;20000
Puerto Boyacá_Sorubim cuspicaudus_Revuelto;12000;18000
Puerto Boyacá_Prochilodus magdalenae_Revuelto;12000;15007
El Ferry_Oreochromis niloticus_Revuelto;5994;8010
El Ferry_Plagioscion magdalenae_Grande;6943;11925
Usaragá_Ariopsis seemanni_Revuelto;6562;7000
Usaragá_Mugil cephalus_Revuelto;6815;6990
Uveros_Scomberomorus brasiliensis_Mediano;20000;24000
Uveros_Menticirrhus americanus_Pequeño;18000;20950
Uveros_Lutjanus synagris_Pequeño;20600;24000
Palanca_Pseudoplatystoma magdaleniatum_Grande;4000;9000
Caño Grande_Megalops atlanticus_Pequeño;2060;7776
Usaragá_Caranx caninus_Revuelto;7000;7661
Usaragá_Lutjanus argentiventris_Revuelto;11557;16000
Jurubirá_Acanthocybium solandri_Pequeño;12000;12000
Jurubirá_Euthynnus lineatus_Pequeño;4000;8000
El Ferry_Pseudoplatystoma magdaleniatum_Grande;8960;14008
Usaragá_Caranx caninus_Grande;6825;8000
Usaragá_Lutjanus jordani_Revuelto;12000;16000
Pomeño_Lutjanus argentiventris_Pequeño;14000;16000
Pomeño_Centropomus armatus_Mediano;14000;15700
Palanca_Megaleporinus muyscorum_Revuelto;1613;3934
Palanca_Cynopotamus magdalenae_Revuelto;1669;2592
Bahía de Santa Marta_Katsuwonus pelamis_Grande;5853;11531
Palanca_Sorubim cuspicaudus_Grande;4000;9006
Pomeño_Notarius spp._Grande;10000;10000
Jurubirá_Thunnus albacares_Mediano;7984;12000
Jurubirá_Tylosurus fodiator_Pequeño;12000;12000
Puerto Chucha_Mugil incilis_Mediano;5990;5990
Pomeño_Brycon meeki_Revuelto;14000;14000
Pomeño_Haemulopsis leuciscus_Pequeño;8000;12000
Bocas del Atrato_Epinephelus itajara_Mediano;8021;8919
Caño Lobo_Megalops atlanticus_Pequeño;4463;6000
Río San Miguel_Prochilodus rubrotaeniatus_Grande;13995;14000
Río San Miguel_Brycon hilarii_Grande;13972;16000
Río San Miguel_Salminus hilarii_Grande;11845;14833
Río San Miguel_Schizodon fasciatus_Grande;13881;13881
Palanca_Prochilodus magdalenae_Pequeño;3821;7274
Playa Nueva_Brotula clarkae_Grande;15000;17000
Playa Nueva_Centropomus medius_Grande;7000;14000
Playa Nueva_Cynoscion phoxocephalus_Grande;12000;14000
Palanca_Prochilodus magdalenae_Grande;7998;14032
Playa Nueva_Hyporthodus acanthistius_Grande;9000;9000
Playa Nueva_Brotula clarkae_Pequeño;5000;5000
Cabo de la Vela_Archosargus rhomboidalis_Revuelto;6975;9000
Tasajera La Playa_Euthynnus alletteratus_Mediano;5000;6000
Chapinero_Salminus affinis_Grande;8056;12551
Chapinero_Hypostomus hondae_Revuelto;5135;9066
Chapinero_Sorubim cuspicaudus_Grande;9772;19534
Cabo de la Vela_Lachnolaimus maximus_Revuelto;11660;12376
Plaza de mercado (La Dorada)_Pimelodus yuma_Grande;8437;13488
Bahía de Santa Marta_Auxis thazard_Pequeño;4373;8124
Puerto Pozuelo - La Rinconada_Cyphocharax magdalenae_Revuelto;1719;2273
El Pájaro_Lutjanus analis_Grande;6051;7742
El Pájaro_Sphyraena barracuda_Revuelto;3917;4000
Plaza de mercado (La Dorada)_Pseudoplatystoma magdaleniatum_Grande;18000;22900
Plaza de mercado (La Dorada)_Pseudoplatystoma magdaleniatum_Pequeño;16000;23508
Bahía de Santa Marta_Thunnus albacares_Pequeño;4961;4961
Puerto Pozuelo - La Rinconada_Caquetaia kraussii_Revuelto;1538;1981
Bocas del Atrato_Centropomus undecimalis_Mediano;17698;22000
Bahía de Santa Marta_Lutjanus synagris_Pequeño;14185;27889
Bahía de Santa Marta_Scomberomorus cavalla_Mediano;24000;37617
La Playa (El Banco)_Prochilodus magdalenae_Pequeño;2400;4000
La Playa (El Banco)_Curimata mivartii_Revuelto;1200;2000
Chapinero_Megaleporinus muyscorum_Mediano;4264;7543
Agropez_Caranx latus_Mediano;12000;14850
Agropez_Scomberomorus cavalla_Grande;20000;22000
Agropez_Micropogonias furnieri_Mediano;8500;12000
Agropez_Gerres cinereus_Pequeño;4000;4000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Revuelto;8500;18500
Puerto de Gamarra_Megaleporinus muyscorum_Grande;4830;6000
La Playa (El Banco)_Megaleporinus muyscorum_Pequeño;1000;2000
La Playa (El Banco)_Plagioscion magdalenae_Grande;6667;12000
Puerto Real - Saloa_Plagioscion magdalenae_Grande;4000;7200
Playa de Arusí_Hyporthodus niphobles_Pequeño;6780;11524
Poportín_Bagre filamentosus_Grande;5000;6500
Poportín_Haemulon bonariense_Mediano;5000;5000
Poportín_Sparisoma chrysopterum_Revuelto;5000;5250
Poportín_Caranx hippos_Mediano;12000;12000
Poportín_Mycteroperca bonaci_Revuelto;12000;12000
Poportín_Panulirus argus_Mediano;19700;25000
Puerto Real - Saloa_Plagioscion magdalenae_Mediano;2400;2960
Poportín_Mycteroperca bonaci_Grande;11994;12000
Poportín_Lutjanus purpureus_Mediano;11950;12000
Poportín_Archosargus rhomboidalis_Revuelto;5000;9550
Puerto Bello_Prochilodus magdalenae_Mediano;4000;4000
Puerto Rico [Meta]_Brachyplatystoma rousseauxii_Revuelto;20000;20000
Poportín_Sparisoma chrysopterum_Mediano;5000;5000
Poportín_Haemulon bonariense_Revuelto;5000;5000
Puerto Bello_Prochilodus magdalenae_Grande;6000;6000
Purricha_Epinephelus labriformis_Pequeño;8000;10000
Agropez_Caranx hippos_Mediano;12000;15000
Agropez_Haemulon flavolineatum_Mediano;9050;9950
Agropez_Bagre filamentosus_Pequeño;4000;4000
Playa de Arusí_Euthynnus lineatus_Mediano;8000;8000
Agropez_Caranx hippos_Revuelto;11957;15000
Agropez_Sphyraena guachancho_Mediano;9000;14000
Juanchaco_Lutjanus guttatus_Pequeño;5000;13800
Juanchaco_Lutjanus guttatus_Platero (para pargos);15140;25000
Puerto Bello_Prochilodus magdalenae_Pequeño;3000;3000
Puerto Bello_Oreochromis niloticus_Mediano;3000;4000
Puerto Bello_Plagioscion magdalenae_Mediano;4000;5000
Puerto Bello_Sorubim cuspicaudus_Mediano;4000;5000
Agropez_Haemulon flavolineatum_Pequeño;4000;6283
Agropez_Eugerres plumieri_Mediano;12000;12000
Juanchaco_Caranx vinctus_Pequeño;5050;5950
Juanchaco_Scomberomorus sierra_Grande;12000;14000
Juanchaco_Scomberomorus sierra_Pequeño;6100;7000
Juanchaco_Thunnus obesus_Grande;4000;6100
Puerto Bello_Pseudoplatystoma magdaleniatum_Mediano;4000;5000
Juanchaco_Seriola rivoliana_Grande;8000;10000
Orpua_Brycon meeki_Revuelto;10000;10000
