SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Puerto de los Jhonsons (Puerto Boyacá)_Chinchorro continental;3;5
Aparca_Atarraya;2;2
Puerto Colorado_Chinchorro continental;2;3
Puerto Serviez_Palangre calandrio;1;2
Puerto Serviez_Chinchorro continental;3;4
La Ceiba_Red de enmalle fija continental;1;2
La Ceiba_Atarraya;1;2
Caño Lobo_Arpón;1;1
Caño Lobo_Palangre o espinel de fondo;1;1
El Bijagual El Trébol_Red de enmalle fija continental ciénaga;1;2
El Bijagual El Trébol_Chinchorra;1;2
Manaure Centro_Red de enmalle de encierro marina;5;6
San Nicolás (Nechí)_Chinchorro continental;2;4
Puente Chambacú - Río Jella_Palangre o espinel de fondo;2;4
Puerto Pozuelo - La Rinconada_Red de enmalle fija continental;1;2
El Llanito_Atarraya;2;2
El Llanito_Palangre calandrio;2;2
Puerto Barrio Hachazo_Red de enmalle fija continental;2;2
Puerto Barrio El Progreso_Chinchorro continental;2;2
La Rampa (Barrancabermeja)_Atarraya;2;5
La Rampa (Barrancabermeja)_Chinchorro continental;3;6
El Bijagual El Trébol_Chinchorro continental;5;7
El Bijagual El Trébol_Nasas de Peces;2;3
La Rampa (Barrancabermeja)_Red de enmalle de deriva continental;3;5
Nueva Colonia_Flecha;2;2
La Playa (El Banco)_Nasas de Peces;3;4
La Playa (Turbo)_Red de enmalle fija marina;1;2
Real_Red de enmalle fija continental ciénaga;1;2
Real_Chinchorra;1;4
Puerto Boquillas_Red de enmalle fija continental;1;2
Puerto Barrio El Progreso_Atarraya;2;2
Manaure Centro_Red de enmalle de deriva marina;2;4
San Nicolás (Santa Cruz De Mompox)_Red de enmalle fija continental;1;2
Bahía de Santa Marta_Línea de mano;1;2
Bahía de Cispatá_Nasa de jaibas;1;1
Bahía de Santa Marta_Nasas de Peces;1;1
Desembarcadero (Juradó)_Red de enmalle fija marina;2;3
Bahía de Santa Marta_Línea de mano correteo curricán o trolling;1;2
Macurutú - Saloa_Red de enmalle fija continental ciénaga;1;2
Desembarcadero (Juradó)_Línea de mano;2;2
Macurutú - Saloa_Atarraya;2;2
La Mata_Nasas de Peces;1;2
La Mata_Red de enmalle fija continental ciénaga;1;2
Playa Necoclí_Red de enmalle camaronera;1;1
Bellavista_Chinchorro de jala playa;7;10
Bellavista_Línea de mano correteo curricán o trolling;1;2
Bahía de Santa Marta_Red de enmalle fija marina;2;3
Piedras Blancas_Buceo marino mixto;3;6
Jodedor_Red de enmalle fija marina;2;3
Jodedor_Red de enmalle de deriva marina;2;2
Villa Fátima_Red de enmalle de deriva marina;2;4
Villa Fátima_Red de enmalle de encierro marina;4;5
Jodedor_Línea de mano;2;3
El Riito_Red de enmalle de encierro marina;4;5
Los Cocos_Red de enmalle de encierro marina;4;5
La T_Red de enmalle de encierro marina;4;4
La T_Nasas de Peces;2;4
La Boquilla_Atarraya;1;1
Manaure Abajo_Red de enmalle de encierro marina;5;6
Manaure Abajo_Red de enmalle de deriva marina;3;4
Las Flores_Red de enmalle de deriva marina;5;6
El Uno_Red de enmalle fija marina;2;2
Manaure Abajo_Palangre o espinel de fondo;2;3
El Uno_Palangre o espinel de fondo;2;2
Morrosquillo_Línea de mano correteo curricán o trolling;1;2
Las Flores_Línea de mano cometa;1;1
Gaira_Palangre o espinel de fondo;1;2
Bocanegra_Atarraya;1;2
Arrimadero La Unión_Línea de mano;1;3
San Nicolás (Nechí)_Línea de mano;1;2
Puerto Arriba (Dibulla)_Red de enmalle de encierro marina;4;5
Puerto Arriba (Dibulla)_Chinchorro camaronero;5;6
Ica-Copipa_Línea de mano;1;2
Puerto Amor_Línea de mano;1;2
Puerto Arriba (Dibulla)_Nasas de Peces;2;4
Puerto Colorado_Línea de mano;1;2
Barrio Abajo (Ciénaga)_Red de enmalle de encierro marina;5;5
El Llanito_Red de enmalle fija continental;2;3
Buenavista (La Dorada)_Línea de mano;1;2
Jodedor_Red de enmalle de encierro marina;3;4
Bahía de Cispatá_Buceo de peces;2;4
Taganga_Ballestilla/Palangre parguera;5;5
Playa Pescadores - Capurganá_Línea de mano;1;3
Arrimadero La Unión_Red de enmalle fija marina;2;3
Puerto Arriba (Dibulla)_Red de enmalle fija marina;2;3
Puerto Chaparro_Línea de mano;1;2
Bahía de Santa Marta_Buceo de peces;1;1
Bellavista_Línea de mano;1;2
Barrio Abajo (Ciénaga)_Palangre o espinel de fondo;2;4
El Riito_Red de enmalle de deriva marina;2;4
El Puente_Nasas de Peces;1;2
Caño Grande_Palangre o espinel de fondo;1;1
Bahía de Santa Marta_Chinchorro de jala playa;5;10
Bellavista_Palangre o espinel de fondo;2;2
Jegua_Palangre calandrio;1;1
Puerto Playa - Capurganá_Línea de mano;1;2
Belén (San Marcos)_Red de encierro rastra;3;4
Tajamar Occidental_Red de enmalle de deriva marina;1;5
Puerto Chaparro_Nasas de Peces;1;3
Puente Chambacú - Río Jella_Línea de mano correteo curricán o trolling;2;3
La Playa (Turbo)_Arpón;2;5
Caño Lobo_Buceo de peces;1;1
Mamón_Atarraya;1;1
Zapata_Red de enmalle camaronera;2;3
Taganga_Línea de mano - Ballestilla;2;4
La Boquilla_Línea de mano;2;3
Puerto Asure_Nasas de Peces;1;2
Villa Fátima_Buceo marino mixto;2;2
Villanueva_Línea de mano correteo curricán o trolling;1;2
Villanueva_Red de enmalle fija marina;2;2
El Llanito_Red de enmalle de deriva continental;2;2
La Rampa (Barrancabermeja)_Palangre calandrio;2;3
Buenavista (La Dorada)_Chinchorro continental;3;4
La Rampa (Barrancabermeja)_Línea de mano;2;2
Piedras Blancas_Red de enmalle de encierro marina;4;5
Puerto Arango_Atarraya;2;2
El Riito_Palangre o espinel de fondo;3;4
Puerto Caracolí_Red de enmalle de deriva continental;3;3
El Puente_Red de enmalle fija continental;1;2
Tasajera La Playa_Red de enmalle de encierro marina;5;5
Gaira_Nasas de Peces;2;2
Puerto Asure_Atarraya;1;2
Palo Alto_Nasas de Peces;1;1
Puerto Arriba (Dibulla)_Palangre o espinel de fondo;2;3
Las Tenazas_Buceo marino mixto;1;3
Taganga_Nasas de Peces;3;6
Casino_Buceo de peces;1;1
La Ceiba_Palangre calandrio;1;1
Palo Alto_Red de encierro rastra;3;4
Villanueva_Arpón;2;2
Bahía de Cispatá_Red de arrastre artesanal o changa;2;2
Zapata_Arpón;2;3
Ica-Copipa_Arpón;2;3
Puerto Chaparro_Chinchorro continental;3;4
Caño Lobo_Red de enmalle de encierro marina;2;2
La T_Red de enmalle de deriva marina;2;2
El Puente_Palangre calandrio;2;2
Arroyito_Atarraya;1;1
Arroyito_Línea de mano;1;2
Arroyito_Línea de mano correteo curricán o trolling;1;2
Bocanegra_Red de enmalle fija continental;1;2
Arroyito_Palangre o espinel de fondo;1;3
Puerto Pozuelo - La Rinconada_Red de enmalle de deriva continental;1;1
