SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Yaguará_Red de enmalle fija continental;1;2
Yaguará_Atarraya;1;2
Yaguará_Chinchorro continental;1;3
Mulatos_Red de enmalle fija marina;2;3
Locadía_Atarraya;1;1
Locadía_Línea de mano;1;2
Codis_Red de enmalle fija marina;1;3
Codis_Línea de mano;1;2
San José_Chinchorra;3;9
Plaza de mercado (La Dorada)_Palangre calandrio;1;2
Puerto del Cerrito_Red de enmalle de deriva continental;2;2
Champaché_Red de enmalle fija marina;1;2
Champaché_Atarraya;2;2
Champaché_Línea de mano;1;2
La Punta_Red de enmalle fija marina;1;2
La Punta_Línea de mano;1;1
La Punta_Buceo de caracol;1;2
La Punta_Palangre o espinel de fondo;1;2
Puerto Chaparro_Red de enmalle de encierro continental;2;4
Belén (San Marcos)_Chinchorra;3;4
San Luis_Atarraya;1;1
Carrizal_Línea de mano;11;11
Marralú_Arpón;3;3
Mantequera_Red de enmalle de deriva continental;1;2
Pesquera Aspabab_Palangre o espinel de fondo;1;3
Pesquera Aspabab_Red de enmalle de deriva continental;2;2
El Malecón (Neiva)_Atarraya;2;2
Puerto Maco/Puerto Momico_Red de enmalle fija continental;1;2
Puerto Maco/Puerto Momico_Línea de mano;1;2
Puerto Maco/Puerto Momico_Atarraya;1;2
Mercado (Lorica)_Atarraya;1;2
Pizarro_Red de enmalle de deriva continental;1;2
Buenavista (La Dorada)_Red de enmalle de encierro continental;4;5
Puerto de las Canoas (Puerto Berrío)_Atarraya;1;8
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental;4;10
Plaza de mercado (La Dorada)_Atarraya;1;4
Mercado (Lorica)_Red de enmalle fija continental;1;4
Pizarro_Palangre o espinel de fondo;1;4
Honda_Atarraya;1;2
Honda_Línea de mano;1;1
Cispataca_Chinchorro continental;2;6
Villanueva_Chinchorro continental;2;5
La Gloria_Chinchorro continental;4;4
Palomar_Chinchorro continental;2;4
Mamón_Red de enmalle de encierro continental;2;2
Pizarro_Red de enmalle fija marina;2;3
Margento_Chinchorro continental;2;2
Margento_Atarraya;1;2
Margento_Línea de mano;1;2
Margento_Red de enmalle fija continental;1;2
Mercado (Lorica)_Buceo de peces;2;2
Mantequera_Chinchorro continental;2;4
Santa Clara_Flecha;2;3
Puerto de las Canoas (Puerto Berrío)_Palangre calandrio;1;4
La Gloria_Red de enmalle de encierro continental;2;4
La Gloria_Nasas de Peces;1;3
Vida Tranquila_Red de enmalle de deriva continental;2;2
Pizarro_Red de enmalle de deriva marina;1;3
Plaza de mercado (La Dorada)_Red de enmalle de deriva continental;3;4
Locadía_Red de enmalle fija marina;1;1
Vida Tranquila_Chinchorro continental;1;4
Pesquera Aspabab_Red de enmalle fija marina;1;3
La Gloria_Atarraya;2;4
Plaza de mercado (Puerto Boyacá)_Chinchorro continental;2;4
El Muelle (Barrancabermeja)_Red de enmalle de deriva continental;3;5
El Muelle (Barrancabermeja)_Atarraya;2;5
El Muelle (Barrancabermeja)_Palangre calandrio;2;4
Manaure Centro_Buceo marino mixto;3;3
Pesquera Aspabab_Red de enmalle camaronera;1;2
Pizarro_Red de enmalle camaronera;1;3
Yaguará_Arpón;1;2
La Mata_Chinchorro continental;5;7
Puerto del Cerrito_Nasas de Peces;2;2
Puerto Serviez_Red de enmalle fija continental;1;2
El Muelle (Barrancabermeja)_Chinchorro continental;3;6
El Valle_Línea de mano correteo curricán o trolling;1;1
Pesquera Aspabab_Red de enmalle de deriva marina;1;3
Guazo_Atarraya;1;2
Guazo_Chinchorro continental;2;6
Guazo_Línea de mano;1;1
Nueva Estrella_Chinchorro continental;4;4
Puerto de las Canoas (Puerto Berrío)_Chinchorra;3;10
Popoya Playa_Red de enmalle fija marina;2;2
Plaza de mercado (La Dorada)_Nasas de Peces;1;1
Puerto de las Canoas (Puerto Berrío)_Nasas de Peces;2;3
Mayapo_Red de enmalle de encierro marina;3;5
Desembarcadero (Supía)_Atarraya;1;1
Loma - San Sebastián_Red de encierro rastra;2;2
Cabo de la Vela_Nasas de Peces;2;4
Plaza de mercado (Puerto Boyacá)_Palangre calandrio;2;3
Mercado (Lorica)_Palangre calandrio;1;2
Mercado (Lorica)_Línea de mano;1;2
Agropez_Red de enmalle fija marina;2;2
Agropez_Atarraya;2;2
Concepción - Tacamocho_Palangre calandrio;1;2
Agropez_Línea de mano;2;3
Jodedor_Buceo de langosta;5;7
Honda_Nasas de Peces;1;1
Plaza de mercado (Puerto Boyacá)_Atarraya;1;2
Cabo de la Vela_Palangre o espinel de fondo;2;4
Honda_Cóngolo;1;1
Puerto de las Canoas (Puerto Berrío)_Red de enmalle de deriva continental;3;7
La Gloria_Palangre calandrio;1;2
La Gloria_Red de enmalle fija continental;1;2
Arquimedes_Red de enmalle fija marina;1;1
Bocas de Seheve_Palangre calandrio;1;2
Marralú_Flecha;3;3
Uveros_Red de enmalle camaronera;2;3
Damaquiel_Red de enmalle camaronera;2;3
Puerto Chaparro_Cóngolo;1;2
La Gloria_Línea de mano;1;4
Honda_Palangre calandrio;1;1
El Llanito_Arpón;2;2
Puerto Serviez_Atarraya rastra;3;4
Plaza de mercado (La Dorada)_Chinchorra;3;4
El Muelle (Barrancabermeja)_Chinchorra;3;6
El Muelle (Barrancabermeja)_Atarraya rastra;4;6
Puerto Serviez_Chinchorra;3;3
La Rampa (Barrancabermeja)_Chinchorra;4;6
Muelle Pescadores (Puerto Boyacá)_Chinchorra;2;4
Plaza de mercado (Puerto Boyacá)_Chinchorra;3;3
La Gloria_Chinchorra;4;4
Pantuuchitu_Red de enmalle fija marina;2;3
Pantuuchitu_Nasas de Peces;2;4
Buenavista (La Dorada)_Atarraya rastra;4;5
Puerto de los Jhonsons (Puerto Boyacá)_Chinchorra;2;4
Puerto de las Canoas (Puerto Berrío)_Atarraya rastra;5;8
Yaguará_Chinchorra;2;3
Lomita Arena_Palangre o espinel de fondo;2;5
Cecilia_Palangre calandrio;1;2
Carrizal_Nasa de langostas;3;6
La Gloria_Red de enmalle de deriva continental;2;4
La Mata_Atarraya;1;2
Buenavista (La Dorada)_Chinchorra;3;4
Mulatos_Palangre o espinel de fondo;2;2
El Roto_Palangre o espinel de fondo;2;2
Puerto Asure_Chinchorra;2;4
El Pájaro_Buceo marino mixto;2;3
Guazo_Red de enmalle de deriva continental;1;2
Puerto Amor_Chinchorra;2;3
Playa Necoclí_Línea de mano;2;3
Lomita Arena_Red de enmalle de deriva marina;3;3
El Valle_Palangre o espinel de superficie;2;3
Puerto de las Canoas (Puerto Berrío)_Red de enmalle de encierro continental;7;7
Puerto Maco/Puerto Momico_Palangre calandrio;1;1
Méjico_Línea de mano;1;2
Belén (El Banco)_Nasas de Peces;2;3
La Playa (El Banco)_Red de enmalle fija continental río;2;2
Mayapo_Nasas de Peces;2;3
Villanueva_Red de enmalle de encierro continental;4;5
Nueva Colonia_Buceo de peces;3;5
El Muelle (Barrancabermeja)_Línea de mano;3;3
Bocas del Atrato_Arpón;2;2
Bocas del Atrato_Atarraya;2;2
Margento_Red de enmalle de deriva continental;2;2
Puerto Amor_Gaviota;3;4
Cispataca_Red de enmalle de encierro continental;3;4
Pantuuchitu_Palangre o espinel de fondo;4;4
El Piñal_Red de enmalle camaronera;8;8
Pueblo Nuevo_Red de enmalle camaronera;2;2
Pueblo Nuevo_Red de enmalle de deriva marina;2;4
Manaure Centro_Palangre o espinel de fondo;3;3
Arrimadero La Unión_Línea de mano fija marina;1;3
Champaché_Línea de mano fija marina;1;2
El Valle_Línea de mano fija marina;1;3
Caño Lobo_Línea de mano fija marina;1;1
Arroyito_Línea de mano fija marina;1;2
Morrosquillo_Línea de mano fija marina;1;2
Bahía de Santa Marta_Línea de mano fija marina;1;2
Berrugas_Línea de mano fija marina;1;2
Arquimedes_Línea de mano fija marina;1;2
La Punta_Línea de mano fija marina;1;2
Buenavista (La Dorada)_Línea de mano fija continental;1;2
Locadía_Línea de mano fija marina;1;2
Casino_Línea de mano fija marina;1;3
Puente Chambacú - Río Jella_Línea de mano fija marina;2;3
Playa Pescadores - Capurganá_Línea de mano fija marina;1;3
Bellavista_Línea de mano fija marina;1;2
Agropez_Línea de mano fija marina;2;2
Codis_Línea de mano fija marina;1;2
Bocanegra_Red de enmalle de deriva marina;2;3
Bahía de Cispatá_Línea de mano fija marina;1;2
Rincón del Mar_Línea de mano fija marina;1;2
San José_Red de encierro rastra;2;3
Manaure Abajo_Red de enmalle fija marina;3;3
Guazo_Línea de mano fija continental;1;1
Manaure Centro_Red de enmalle fija marina;3;3
Puerto Playa - Capurganá_Línea de mano fija marina;1;3
Margento_Línea de mano fija continental;1;2
Puerto Colorado_Línea de mano fija continental;1;2
Méjico_Línea de mano fija continental;1;2
Chapundun_Línea de mano fija continental;1;2
Barrio Chino_Línea de mano fija continental;1;1
Palomar_Línea de mano fija continental;1;2
Loma - San Sebastián_Red de enmalle de encierro continental;1;2
Honda_Línea de mano fija continental;1;2
San Nicolás (Nechí)_Línea de mano fija continental;1;2
Las Tenazas_Línea de mano fija marina;1;2
Villa Fátima_Palangre o espinel de fondo;2;3
Puerto Miraflores_Línea de mano fija marina;1;2
Cangrejito_Red de enmalle fija marina;1;2
Cangrejito_Palangre o espinel de fondo;1;4
Mercado (Lorica)_Línea de mano fija continental;1;2
Candelaria (Chimichagua)_Red de enmalle fija continental ciénaga;1;2
Candelaria (Chimichagua)_Chinchorra;2;3
Barrio La Unión_Línea de mano fija marina;1;2
Palanca_Línea de mano fija continental;1;1
Berlín_Red de enmalle fija continental;1;2
Berlín_Chinchorro continental;3;5
Berlín_Red de enmalle de deriva continental;1;2
Pueblo Lindo o Caimanera_Atarraya;2;2
Berlín_Línea de mano fija continental;1;2
Pueblo Lindo o Caimanera_Red de enmalle fija continental;1;2
Taganga_Línea de mano fija marina;1;2
Puerto Arriba (Dibulla)_Línea de mano fija marina;2;5
Honda_Chinchorra;2;4
Berlín_Atarraya;1;2
Cangrejito_Línea de mano fija marina;1;2
Bazurto_Línea de mano fija marina;2;3
La Boquilla_Línea de mano fija marina;2;3
Mayapo_Línea de mano fija marina;2;4
Las Flores_Línea de mano fija marina;1;1
Puerto Franco_Red de enmalle fija continental;1;1
Puerto Franco_Atarraya;1;1
Puerto de Gamarra_Chinchorro continental;3;5
Jodedor_Línea de mano fija marina;2;3
Marralú_Palangre calandrio;1;2
El Puente_Chinchorra;4;5
Puerto Franco_Red de encierro rastra;2;7
Sempegua_Red de enmalle fija continental ciénaga;1;2
Sempegua_Chinchorro continental;6;8
Puerto ESSO_Red de enmalle de deriva continental;4;6
Puerto Wilches_Red de enmalle de deriva continental;4;6
Isla Fuerte_Línea de mano fija marina;1;3
Isla Fuerte_Línea de mano correteo curricán o trolling;1;3
Jurubirá_Palangre o espinel de fondo;2;3
Jurubirá_Línea de mano fija marina;1;2
Puerto Chaparro_Línea de mano fija continental;1;2
Puerto Abajo (Dibulla)_Línea de mano fija marina;1;3
Isla Fuerte_Buceo marino mixto;1;3
Playa de Arusí_Palangre o espinel de fondo;1;3
Playa de Arusí_Línea de mano fija marina;1;2
Playa Totumo_Línea de mano fija marina;2;2
Puerto Simití_Atarraya;2;2
Puerto Simití_Red de enmalle fija continental;2;2
Barrio La Unión_Línea de mano correteo curricán o trolling;2;3
Puerto del Pescado (San José Del Guaviare)_Red de enmalle fija continental;2;2
Puerto Principal (Leticia)_Red de enmalle fija continental;1;2
Mapiripán_Red de enmalle fija continental;2;2
Bodega AZAFRA_Palangre calandrio;5;5
Cabo Marzo_Palangre o espinel de fondo;3;4
Cabo Marzo_Línea de mano fija marina;2;3
Clarinetero_Atarraya;1;4
Puerto Rico [Meta]_Palangre calandrio;1;2
Puerto Rico [Meta]_Atarraya;1;2
Puerto Principal (Puerto Lleras)_Palangre calandrio;1;2
Puerto Principal (Puerto Lleras)_Atarraya;2;3
La Pedrera_Palangre calandrio;1;3
La Pedrera_Red de enmalle fija continental;1;3
La Pedrera_Red de enmalle de deriva continental;1;4
Paujil_Línea de mano fija continental;1;3
Puerto (Orocué)_Red de enmalle fija continental;1;2
La Tagua_Palangre calandrio;1;2
La Tagua_Red de enmalle fija continental;1;2
Muelle Principal (Puerto Leguízamo)_Red de enmalle fija continental;1;2
Muelle Hong Kong_Red de enmalle fija continental;1;2
Muelle La Esmeralda_Palangre calandrio;2;6
Puerto (Orocué)_Red de enmalle de deriva continental;1;3
Puerto (Orocué)_Atarraya;1;2
Puerto Principal (Puerto Lleras)_Arpón;1;1
Paujil_Arpón;1;4
Paujil_Red de enmalle fija continental;1;3
Puerto Principal (Puerto Lleras)_Línea de mano fija continental;1;2
Playa Necoclí_Línea de mano fija marina;1;4
Puerto Principal (Leticia)_Palangre calandrio;1;2
Puerto Principal (Leticia)_Flecha;2;2
Casco Urbano (Arauca)_Atarraya;2;4
Puerto Arriba (Dibulla)_Red de enmalle de deriva marina;3;3
Sempegua_Chinchorra;2;4
Palenquito_Palangre calandrio;1;2
Muelle Hong Kong_Red de enmalle de deriva continental;2;2
Clarinetero_Red de enmalle fija continental;1;4
Muelle Principal (Puerto Leguízamo)_Palangre calandrio;1;2
Cartagena del Chairá_Atarraya;1;2
Cartagena del Chairá_Palangre calandrio;1;2
Puerto (Orocué)_Palangre calandrio;1;2
Santuario_Red de enmalle de deriva continental;2;4
Puerto Arango_Red de enmalle fija continental;2;6
Santuario_Atarraya;2;4
Puerto Miraflores_Arpón;2;3
El Puerto (Puerto Carreño)_Chinchorro continental;3;5
El Puerto (Puerto Carreño)_Línea de mano fija continental;1;3
Muelle Hong Kong_Palangre calandrio;1;2
Puerto de Gamarra_Nasas de Peces;4;4
Puerto Cabuyaro_Chinchorro continental;2;4
Puerto Cabuyaro_Palangre calandrio;1;2
La Pedrera_Línea de mano fija continental;1;2
Malecón (Puerto Gaitán)_Palangre calandrio;1;3
Malecón (Puerto Gaitán)_Red de enmalle fija continental;1;3
Clarinetero_Chinchorro continental;3;8
Pesquera Aspabab_Línea de mano fija marina;1;3
La Boquilla_Red de enmalle de deriva marina;2;2
Puerto Ciénaga de Paredes_Palangre calandrio;2;2
Puerto Ciénaga de Paredes_Atarraya;2;2
El Puerto (Puerto Carreño)_Red de enmalle fija continental;1;2
El Muelle (Puerto López)_Chinchorro continental;2;3
El Muelle (Puerto López)_Red de enmalle de encierro continental;1;2
Pantuuchitu_Línea de mano fija marina;2;4
Casco urbano Roma_Red de enmalle zangarreo;2;2
Cabo de la Vela_Línea de mano fija marina;2;3
Doña Ana_Red de enmalle fija continental;1;2
Doña Ana_Red de enmalle zangarreo;2;3
Doña Ana_Atarraya;1;2
Lomita Arena_Línea de mano fija marina;2;4
Las Delicias_Línea de mano fija marina;1;4
Dorada_Red de enmalle fija continental;2;2
Punta de blanco_Atarraya;1;2
Punta de blanco_Red de enmalle fija continental;1;2
La Tranca_Red de enmalle zangarreo;2;3
La Tranca_Red de enmalle fija continental;1;2
Dorada_Atarraya;2;2
Punta de blanco_Red de enmalle de encierro continental;3;6
Puerto Real - Saloa_Red de enmalle fija continental ciénaga;1;2
Puerto Real - Saloa_Chinchorra;2;3
Doña Ana_Chinchorro continental;3;5
Puerto Real - Saloa_Atarraya;2;2
Palanca_Red de enmalle zangarreo;2;3
Orpua_Red de enmalle fija marina;2;2
Puerto Antequera_Red de enmalle fija continental ciénaga;1;2
Puerto Antequera_Chinchorro continental;3;7
Berlín_Palangre calandrio;1;2
Puerto Boca_Red de enmalle de deriva continental;2;3
Puerto Real - Saloa_Chinchorro continental;2;2
Puerto Boca_Línea de mano fija continental;1;1
Berrugas_Red de enmalle fija marina;1;2
Puerto Antequera_Atarraya;1;2
Orpua_Red de enmalle camaronera;2;2
Orejero_Red de enmalle zangarreo;2;3
Costilla_Red de enmalle fija continental;1;2
Costilla_Nasas de Peces;1;1
Costilla_Atarraya;1;2
La Raya_Red de enmalle fija continental;1;2
Desembarcadero (Juradó)_Línea de mano fija marina;1;3
Guineal_Red de enmalle fija marina;1;3
Guineal_Palangre o espinel de fondo;1;3
Guineal_Red de cerco;2;3
Desembarcadero (Juradó)_Palangre o espinel de superficie;2;2
Taburetera_Red de enmalle fija continental;1;2
Taburetera_Atarraya;2;2
Betania (Montecristo)_Red de enmalle fija continental;2;2
Usaragá_Línea de mano fija marina;1;2
Sivirú_Red de enmalle fija marina;1;3
Betania (Montecristo)_Atarraya;2;2
Desembarcadero (Juradó)_Palangre o espinel de fondo;2;3
Guineal_Red de enmalle de deriva marina;1;2
Sivirú_Red de enmalle camaronera;1;2
Doña Ana_Palangre calandrio;1;1
La Boquilla_Buceo marino mixto;1;3
Marralú_Chinchorro continental;3;4
El Puerto (Puerto Carreño)_Red de enmalle de deriva continental;2;2
La Raya_Atarraya;2;2
La Raya_Palangre calandrio;2;2
Santuario_Palangre calandrio;2;4
Puerto Ciénaga de Paredes_Nasas de Peces;1;2
Costilla_Palangre calandrio;1;2
Sivirú_Línea de mano fija marina;1;2
Guineal_Red de enmalle de encierro marina;2;3
La Gloria_Línea de mano fija continental;1;2
Guineal_Línea de mano fija marina;1;1
El Muelle (Puerto López)_Palangre calandrio;1;2
Plaza de mercado (La Dorada)_Línea de mano fija continental;1;4
Caño Mina_Red de enmalle fija continental;2;2
Muelle Hong Kong_Atarraya;1;2
Usaragá_Palangre o espinel de fondo;1;2
Usaragá_Red de enmalle fija marina;2;2
Puerto López_Palangre calandrio;1;2
Candelaria (Chimichagua)_Atarraya;2;2
Puerto Asure_Arpón;1;2
Cartagena del Chairá_Línea de mano fija continental;1;2
Puerto Principal (Puerto Lleras)_Red de enmalle fija continental;1;2
Clarinetero_Línea de mano fija continental;1;3
Costilla_Chinchorro continental;2;4
San Miguel (Puerto Gaitán)_Red de enmalle de deriva continental;2;3
Puerto ESSO_Línea de mano fija continental;4;5
El Muelle (Puerto López)_Red de enmalle fija continental;1;3
Puerto Rico [Meta]_Red de enmalle fija continental;1;2
Puerto Rico [Meta]_Línea de mano fija continental;1;2
Muelle La Esmeralda_Red de enmalle fija continental;1;2
Santuario_Red de enmalle fija continental;2;3
Puerto (Orocué)_Línea de mano fija continental;1;3
Las Balsas_Chinchorro continental;2;3
Puerto Barrio El Progreso_Red de enmalle de deriva continental;2;2
Desembarcadero (Juradó)_Arpón;2;2
El Pájaro_Línea de mano fija marina;2;4
Curillo_Línea de mano fija continental;1;2
Curillo_Palangre calandrio;1;2
Orpua_Línea de mano fija marina;1;2
Puerto del Pescado (San José Del Guaviare)_Palangre calandrio;2;2
Puerto del Pescado (San José Del Guaviare)_Red de enmalle de deriva continental;2;2
Curillo_Red de enmalle fija continental;1;2
Mapiripán_Palangre calandrio;1;3
Puerto Barrio El Progreso_Red de enmalle fija continental;2;2
La Pedrera_Arpón;1;3
El Puerto (Puerto Carreño)_Palangre calandrio;1;3
Muelle Principal (Puerto Leguízamo)_Línea de mano fija continental;1;2
Puerto de desembarco (Barrancominas)_Red de enmalle fija continental;1;2
Las Balsas_Red de enmalle fija continental;1;3
Bellavista_Nasas de Peces;1;4
Pueblo Nuevo (Barrancominas)_Red de enmalle fija continental;1;2
Muelle Hong Kong_Línea de mano fija continental;1;2
Riosucio_Red de enmalle fija continental;1;2
Desembarcadero (Murindó)_Red de enmalle fija continental;1;2
Montaño_Red de enmalle fija continental;1;2
La Grande_Red de enmalle fija continental;1;3
Puerto de desembarco (Mitú)_Línea de mano fija continental;1;1
Aparca_Palangre calandrio;2;2
Puerto ESSO_Chinchorra;4;5
Puerto Cabuyaro_Red de enmalle fija continental;1;2
San Antonio de Padua_Red de enmalle fija continental;1;2
La Rampa (Barrancabermeja)_Línea de mano fija continental;3;3
Puerto Wilches_Chinchorra;4;4
Santuario_Arpón;2;5
Puerto Principal (Puerto Lleras)_Red de enmalle de deriva continental;2;2
San Miguel (Puerto Gaitán)_Palangre calandrio;2;3
Laguna Colorada_Línea de mano fija continental;1;2
Laguna Colorada_Red de enmalle fija continental;1;2
Puerto Cabuyaro_Línea de mano fija continental;2;2
Monserrate_Línea de mano fija continental;1;2
San Miguel (Puerto Gaitán)_Línea de mano fija continental;2;2
Puerto Abajo (Dibulla)_Chinchorro marino;16;16
Casco Urbano (Arauca)_Línea de mano fija continental;1;3
La Isla de los Palacios_Red de enmalle fija continental;1;3
Muelle Don Antonio_Red de arrastre artesanal o changa;2;2
La Peinada_Buceo de peces;1;3
Puerto Kenedy_Red de enmalle fija continental;1;2
Puerto Kenedy_Línea de mano fija continental;2;2
Policía fluvial (Quibdó)_Red de enmalle fija continental;1;2
Policía fluvial (Quibdó)_Línea de mano fija continental;1;2
Pueblo Nuevo_Palangre o espinel de fondo;3;13
Muelle Hong Kong_Arpón;2;2
Pesquera Friopez_Red de enmalle fija marina;2;3
Pesquera Friopez_Palangre o espinel de fondo;4;4
Chamón_Red de enmalle fija marina;2;4
Chamón_Palangre o espinel de fondo;3;4
Comercializadora Anabel_Red de arrastre artesanal o changa;2;2
Juanchaco_Línea de mano fija marina;2;4
Betania - Naya_Red de enmalle de deriva marina;1;2
Tasajera La Playa_Red de enmalle langostera;3;4
Chamuscado - Naya_Red de enmalle de deriva marina;2;3
El Puente_Atarraya rastra;1;1
Santa Cruz - Naya_Red de enmalle de deriva marina;2;2
La Casa del Pescador_Red de enmalle camaronera;2;2
Bazán La Bocana_Red de enmalle camaronera;2;3
Bazán La Bocana_Red de enmalle de deriva marina;2;3
Miramar - Bahía Málaga_Red de enmalle de deriva marina;1;3
Miramar - Bahía Málaga_Red de enmalle fija marina;1;2
Pesquera Torres Mar_Red de arrastre artesanal o changa;2;2
Bazán La Bocana_Red de enmalle fija marina;2;2
Bazán La Bocana_Red de arrastre artesanal o changa;2;2
Puerto El Waffe marino_Palangre o espinel de fondo;2;2
Limones_Red de enmalle camaronera;2;2
Limones_Red de arrastre artesanal o changa;1;2
Punta Bonita_Chinchorro marino;8;17
Vigía_Red de enmalle camaronera;2;2
Vigía_Línea de mano fija marina;2;4
Muelle La Samaritana_Red de enmalle de encierro continental;2;2
La Casa del Pescador_Red de enmalle fija marina;2;2
Sempegua_Atarraya;2;2
Muelle Las Flores_Línea de mano fija marina;2;3
Muelle La Samaritana_Línea de mano fija marina;1;3
Berrugas_Palangre o espinel de superficie;1;1
Punta Bonita_Red de enmalle camaronera;2;4
Uldarico_Palangre o espinel de fondo;3;4
El 48_Palangre o espinel de fondo;3;5
Chicopez_Red de enmalle camaronera;2;3
Chicopez_Red de enmalle fija marina;2;2
Punta Bonita_Palangre o espinel de fondo;2;3
Orpua_Palangre o espinel de fondo;1;2
Candelillas de Mar_Recolección manual de piangua;2;4
La Plata - Bahía Málaga_Red de enmalle de deriva marina;2;2
Miramar - Bahía Málaga_Palangre o espinel de fondo;1;2
Mangaña - Bahía Málaga_Red de enmalle fija marina;1;2
Pueblo Nuevo (Barrancominas)_Línea de mano fija continental;1;2
Malecón (Puerto Gaitán)_Línea de mano fija continental;1;3
Vigía_Red de enmalle zangarreo;2;3
Mangaña - Bahía Málaga_Red de enmalle de deriva marina;1;1
Muelle Pescadores (Puerto Boyacá)_Atarraya rastra;3;3
La Plata - Bahía Málaga_Palangre o espinel de fondo;1;2
La Plata - Bahía Málaga_Red de enmalle fija marina;1;2
Limones_Red de enmalle fija marina;2;4
Comercializadora JLV_Red de cerco artesanal o ruche;8;8
Milagros de la Mar_Red de enmalle fija marina;1;3
Chontal_Red de enmalle fija marina;2;3
Chamuscado - Naya_Palangre o espinel de fondo;1;1
Monserrate_Atarraya;2;4
Milagros de la Mar_Palangre o espinel de fondo;2;4
Puerto de Gamarra_Chinchorra;4;4
Playa Nueva_Red de enmalle camaronera;2;2
Playa Nueva_Línea de mano fija marina;2;3
Marralú_Nasas de Peces;1;1
Pesquera Punta Reyes_Red de enmalle de deriva marina;2;3
Puerto de desembarco (Mitú)_Arpón;1;1
Agropesur_Red de arrastre artesanal o changa;2;2
Milagros de la Mar_Chinchorro marino;25;45
Usaragá_Red de enmalle de deriva marina;1;2
Pesquera Punta Reyes_Palangre o espinel de fondo;3;10
Casco Urbano (Arauca)_Red de enmalle fija continental;2;4
Timbiquí_Red de enmalle fija marina;2;2
Corozal_Red de enmalle fija marina;2;2
Mercado (Lorica)_Arpón;1;2
Mercado (Lorica)_Flecha;1;2
Palenquito_Red de enmalle de deriva continental;2;2
Puerto Montecristo_Flecha;2;2
Galería (Guapi)_Red de enmalle fija marina;2;3
Galería (Guapi)_Palangre o espinel de fondo;3;4
Punta Bonita_Red de enmalle fija marina;2;4
La Sierpe - Bahía Málaga_Red de enmalle fija marina;1;2
Pesquera Friopez_Palangre o espinel de superficie;3;3
La Sierpe - Bahía Málaga_Red de enmalle de deriva marina;1;1
Comercializadores independientes (Guapi)_Red de enmalle fija marina;2;2
Quiroga_Red de enmalle camaronera;2;2
Quiroga_Chinchorro camaronero;4;5
Las Balsas_Red de enmalle de encierro continental;1;2
Punta Bonita_Red de enmalle de deriva marina;2;4
Codis_Atarraya;2;2
Puerto de desembarco (Barrancominas)_Línea de mano fija continental;2;2
Puerto de desembarco (Mitú)_Palangre calandrio;1;1
Sivirú_Palangre o espinel de fondo;1;3
San Alejandro_Red de enmalle fija continental;1;2
Pesquera Punto JM_Red de enmalle camaronera;2;2
Chacón_Red de enmalle fija marina;1;2
Las Balsas_Palangre calandrio;1;2
Plaza de mercado (Tumaco)_Red de enmalle fija marina;2;3
Río San Miguel_Red de enmalle fija continental;1;2
Miramar - Bahía Málaga_Línea de mano fija marina;1;3
La Plata - Bahía Málaga_Línea de mano fija marina;1;2
Belén (San Marcos)_Atarraya rastra;1;1
San José de la Calle_Red de enmalle fija continental;1;2
Uldarico_Red de enmalle de deriva marina;2;2
Mapiripán_Línea de mano fija continental;1;2
Juanchaco_Línea de mano correteo curricán o trolling;2;3
Río San Miguel_Red de enmalle de deriva continental;1;2
Puerto ESSO_Chinchorra mallona;4;5
Puerto Wilches_Chinchorra mallona;4;4
Río San Miguel_Línea de mano fija continental;1;2
La Sierpe - Bahía Málaga_Línea de mano fija marina;1;2
Mangaña - Bahía Málaga_Palangre o espinel de fondo;1;2
Puerto de desembarco (Barrancominas)_Red de enmalle de deriva continental;2;2
Playa Nueva_Red de enmalle de encierro continental;2;2
Aparca_Arpón;1;6
Montaño_Línea de mano fija continental;2;2
Pueblo Nuevo_Línea de mano fija marina;3;4
Puerto Boca_Chinchorro continental;3;3
San Miguel (Puerto Gaitán)_Red de enmalle fija continental;2;3
Aparca_Línea de mano fija continental;2;2
Pueblo Nuevo (Barrancominas)_Red de enmalle de deriva continental;1;2
Laguna Colorada_Red de enmalle de deriva continental;1;2
La Sierpe - Bahía Málaga_Palangre o espinel de fondo;1;2
Pesquera Punta Reyes_Red de cerco artesanal o ruche;10;12
Pueblo Nuevo (Barrancominas)_Palangre calandrio;1;1
Muelle Las Flores_Red de enmalle de encierro continental;2;2
El 48_Red de cerco artesanal o ruche;10;11
Uldarico_Red de cerco artesanal o ruche;10;10
Caño Mina_Red de enmalle de deriva continental;2;2
Río San Miguel_Arpón;1;3
Mapiripán_Red de enmalle de deriva continental;2;2
El 48_Red de enmalle de deriva marina;2;2
Malecón (Puerto Gaitán)_Red de enmalle de deriva continental;1;3
La Rampa (Barrancabermeja)_Atarraya rastra;4;4
Isla Fuerte_Red de enmalle fija marina;1;2
La Gloria_Gaviota;3;4
La Raya_Red de enmalle de deriva continental;1;2
San Miguel (Puerto Gaitán)_Atarraya;2;3
Puerto La Candelaria_Atarraya rastra;1;2
Barrio La Unión_Nasa de jaibas;1;2
Macurutú - Saloa_Flecha;1;2
Puerto ESSO_Chinchorra nicurera;4;5
Puerto Boquillas_Red de enmalle de deriva continental;2;2
Bocas de Seheve_Chinchorro continental;4;6
