SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_horas_trab_hist;Cuartil_sup_horas_trab_hist;Cuartil_inf_profundidad_hist;Cuartil_sup_profundidad_hist
Santa Clara_Red de enmalle de deriva continental;4;8,5;4;6
Taganga_Nasas de Peces;11;611;14;14
Cangrejito_Palangre o espinel de fondo;7,874999905;19,5;5;90
Cangrejito_Línea de mano fija marina;6,400000095;10,57999992;4;10
Santa Clara_Atarraya;3,5;6,517000008;2;2
Puerto López_Red de enmalle fija continental;15,84349995;18,32999992;2;4
Villanueva_Red de enmalle de encierro continental;5,170000076;14,61749992;4;5
Nueva Estrella_Red de enmalle fija continental;16,75;20,5;2;3
Nueva Estrella_Atarraya;3,579999924;10,96000004;2;5
Nueva Estrella_Palangre calandrio;12,58500004;21,03999996;2;3
Nueva Estrella_Red de enmalle de deriva continental;4,984000015;10,09799995;4;6
Pesquera Punta Reyes_Red de enmalle de deriva marina;14,24100008;90,54400024;19;35
Uldarico_Red de enmalle de deriva marina;15,97000027;15,97000027;32;32
Pesquera Punta Reyes_Palangre o espinel de fondo;14,5380002;105,3855003;34;108
Nueva Estrella_Red de enmalle de encierro continental;7,880999947;12,5;2;5
El Puerto (Puerto Carreño)_Palangre calandrio;12,73600006;117,9;3;20
Guacamayo_Palangre calandrio;14;16,66250019;2;4
Guacamayo_Red de enmalle fija continental;16,67000008;21,37999916;1;2
Santa Clara_Palangre calandrio;16,28599997;20,09350004;2;2
La Rampa (Barrancabermeja)_Nasas de Peces;15,83550005;19;2;6
La Rampa (Barrancabermeja)_Red de enmalle de deriva continental;14,8;21,86399994;3;6
Miramar - Bahía Málaga_Palangre o espinel de fondo;11,6;25;6;30
Puerto de desembarco (Mitú)_Palangre calandrio;9,042500401;17,19500003;10;12
Puerto Cabuyaro_Red de enmalle fija continental;10,55;28,98200035;4;7
Puerto de desembarco (Mitú)_Línea de mano fija continental;6,67300005;12,25;10;12
Puerto de desembarco (Mitú)_Arpón;3,338499928;21,45;12;12
Pesquera Torres Mar_Red de arrastre artesanal o changa;8,093499947;9,988000011;27;32
Comercializadora Anabel_Red de arrastre artesanal o changa;8,170000076;9,705999947;28;32
Guineal_Línea de mano fija marina;3,332499933;7,971000004;2;7
Plaza de mercado (La Dorada)_Atarraya rastra;10,08500004;11,75250006;3;4
Puerto de las Canoas (Puerto Berrío)_Red de enmalle de deriva continental;7,474000025;92,8;2;10
Puerto del Pescado (San José Del Guaviare)_Palangre calandrio;2,55;17,54899998;5;15
Honda_Línea de mano fija continental;5;13;3;6
Usaragá_Línea de mano fija marina;2;7,071000004;7;18
Guazo_Palangre calandrio;15,59250021;21,40499973;3;6
Marralú_Red de enmalle fija continental;15;19,75;1;4
La Tranca_Red de enmalle fija continental;14,77999973;18,62999916;2;3
Buenavista (La Dorada)_Línea de mano fija continental;10,83299999;22,17000008;1;3
Montaño_Red de enmalle fija continental;15,82999992;25,29500008;3;4
El Muelle (Puerto López)_Palangre calandrio;19,8;97,4;2;3
Pueblo Nuevo_Red de enmalle de deriva marina;80,10499954;240,2050018;6;40
El Pájaro_Red de enmalle fija marina;6,5;15,5;4;10
Puerto Serviez_Atarraya rastra;6,3;12,525;5;8
Puerto Miraflores_Red de enmalle fija marina;1,169999957;14,8125;8;18
Puerto Amor_Atarraya;0,860500011;5,30800004;2;4
Puerto Miraflores_Línea de mano fija marina;10,51400032;20,05100002;18;32
Santuario_Arpón;5,125;14,74749994;3;6
Méjico_Palangre calandrio;12,53499985;16,76000023;2;3
Méjico_Red de enmalle fija continental;13;18,27000046;2;3
Morrosquillo_Buceo de peces;1,449000013;4,15;9;13
Puerto Ciénaga de Paredes_Nasas de Peces;13,07999992;16,90499973;3;5
Paujil_Arpón;9,35;37,45;1;19
Las Balsas_Palangre calandrio;23,32449999;74;2;3
Guazo_Chinchorro continental;5,525;12,429;3;6
La Gloria_Nasas de Peces;18,17800007;21,746;2;4
Orpua_Red de enmalle camaronera;5,670000076;11,77000046;10;13
Honda_Nasas de Peces;6;12,5;3;6
Juanchaco_Línea de mano fija marina;8,510000038;13,5;11;68
Puerto Colorado_Chinchorro continental;2,329999924;5,5;2;2
Margento_Línea de mano fija continental;14,73250008;15,92000008;1;2
La Punta_Palangre o espinel de fondo;13,12899985;17,72500029;4;28
Puerto Principal (Puerto Lleras)_Atarraya;1,85;8,3;2;5
Puerto Principal (Puerto Lleras)_Red de enmalle de deriva continental;2;8;4;6
Palomar_Palangre calandrio;14,225;18;2;2
Cartagena del Chairá_Palangre calandrio;13;39,5;3;5
Barrio La Unión_Nasa de jaibas;5,575;6,925;1;1
Bahía de Santa Marta_Chinchorro de jala playa;4,78000021;9,549999952;18;35
Berrugas_Línea de mano fija marina;4,25;10,14999962;7;9
Morrosquillo_Línea de mano correteo curricán o trolling;3,146000099;6,329999924;7;17
Jodedor_Red de enmalle fija marina;4,670000076;17,67000008;6;30
Milagros de la Mar_Red de enmalle fija marina;5,5;18,78400002;5;56
Puerto de Gamarra_Atarraya;10,53400002;23;3;4
Puerto de Gamarra_Línea de mano fija continental;11,475;24,41700001;2;4
Puerto de Gamarra_Red de enmalle fija continental;11,32999992;25;3;4
Betania - Naya_Red de enmalle de deriva marina;6,302500105;10,93750014;3;5
Las Delicias_Red de enmalle de deriva marina;13,7625;13,9875;11;13
Codis_Línea de mano fija marina;5,297999954;9,170000076;6;17
Pesquera Aspabab_Red de enmalle fija marina;8,135999966;23,73000011;5;11
Galería (Guapi)_Palangre o espinel de fondo;13,55;33,8;13;48
La Sierpe - Bahía Málaga_Línea de mano fija marina;3;9;7;19
Chamón_Palangre o espinel de fondo;34,225;184,6;32;122
Timbiquí_Red de enmalle fija marina;7,420000076;11,28199997;8;11
Chacón_Red de enmalle fija marina;7,746000004;11,82999992;8;10
Aparca_Atarraya;7;12,32999992;2;6
La Sierpe - Bahía Málaga_Red de enmalle de deriva marina;3,1;6,7;6;9
La Sierpe - Bahía Málaga_Palangre o espinel de fondo;14,75;19,75;8;30
La Sierpe - Bahía Málaga_Red de enmalle fija marina;4;15;3;10
Chamuscado - Naya_Red de enmalle de deriva marina;4,526000023;10,77000046;3;4
La Plata - Bahía Málaga_Red de enmalle de deriva marina;3,4;7,6;4;10
Mangaña - Bahía Málaga_Red de enmalle de deriva marina;6;6;3;3
Santa Cruz - Naya_Red de enmalle de deriva marina;6,70299983;10,20000029;3;4
Puerto Serviez_Red de enmalle fija continental;9,05;44,85;5;7
Paujil_Palangre calandrio;11,35;111,45;1;15
La Rampa (Barrancabermeja)_Atarraya;16,16100006;47,18599854;2;5
Agropesur_Red de arrastre artesanal o changa;10,33849993;10,4915;27;27
La Rampa (Barrancabermeja)_Chinchorra;12,8744997;44,57700119;1;6
Puerto Cabuyaro_Atarraya;6;23;3;7
Belén (San Marcos)_Chinchorra;8,25;10,67000008;2;2
Río San Miguel_Red de enmalle fija continental;5,016499996;14,63650007;2;12
Río San Miguel_Línea de mano fija continental;1;13;2;12
Palanca_Línea de mano fija continental;3;5,202000046;1;2
Macurutú - Saloa_Atarraya;6,191999817;10,28799992;2;3
Malecón (Puerto Gaitán)_Red de enmalle fija continental;17,5;119,8;5;9
Berrugas_Palangre o espinel de superficie;5,892999935;11,47449999;1;10
Malecón (Puerto Gaitán)_Red de enmalle de deriva continental;18;95;3;9
Tasajera La Playa_Red de enmalle de encierro marina;6;12;11;36
Puerto Rico [Meta]_Red de enmalle fija continental;11,3;15,125;6;8
Malecón (Puerto Gaitán)_Palangre calandrio;19;138,875;3;10
Casco Urbano (Arauca)_Red de enmalle fija continental;8,429999924;115,9019989;6;10
Monserrate_Atarraya;7,22699995;51,41999817;4;10
Puerto (Orocué)_Palangre calandrio;24,7750001;61,375;5;10
Buenavista (La Dorada)_Red de enmalle de deriva continental;2,329999924;13,88200011;2;4
Buenavista (La Dorada)_Atarraya;2,38499999;9,940000057;2;4
Puerto Colorado_Red de enmalle de deriva continental;3,25;5,829999924;4;4
Guazo_Línea de mano fija continental;3,2;8,080000305;3;9
Clarinetero_Red de enmalle de deriva continental;16,17800007;18,42800007;4;4
Muelle Las Flores_Red de enmalle de encierro continental;11;11;7;7
Muelle La Samaritana_Línea de mano fija marina;4,95;19,675;8;68
Muelle Las Flores_Línea de mano fija marina;6,125;13;8;105
Puerto Rico [Meta]_Red de enmalle de deriva continental;5,5;15;6;9
Casco Urbano (Arauca)_Atarraya;7,2;87,73000183;4;10
Pesquera Aspabab_Línea de mano fija marina;5,025;45,22799835;5;14
Pesquera Aspabab_Palangre o espinel de fondo;3,777499974;22,26750021;5;18
Cartagena del Chairá_Atarraya;14,55;40;1;3
San José_Chinchorra;6;10;2;2
Sivirú_Palangre o espinel de fondo;1,964999974;10,06500006;1;2
Muelle Pescadores (Puerto Boyacá)_Atarraya;12;24;2;3
Puerto de los Jhonsons (Puerto Boyacá)_Atarraya;13,70200005;21,3;2;3
Paujil_Red de enmalle fija continental;9,7;114,8;2;20
Monserrate_Línea de mano fija continental;4,117499924;18,25499992;6;10
Puerto (Orocué)_Línea de mano fija continental;19,375;84,3125;5;5
Guazo_Atarraya;2,464000034;8,268999958;3;20
Río San Miguel_Arpón;3;25,11599979;2;8
Pantuuchitu_Nasas de Peces;14,17999992;49,25;6;8
Punta Bonita_Red de cerco;6,4625;11,5;10;12
La Boquilla_Red de enmalle fija marina;9,5;15,5;2;14
La Boquilla_Línea de mano fija marina;5;14,25;13;38
Puerto La Candelaria_Red de enmalle de deriva continental;1,539999986;17,46999931;3;4
Berrugas_Red de enmalle fija marina;6,2;12,74499989;4;6
La Boquilla_Chinchorro marino;2,75;8;6;6
Puerto Wilches_Chinchorra nicurera;21,29399996;23,17000008;4;5
Bazán La Bocana_Red de enmalle fija marina;6,21449995;40,35;8;10
Muelle Pescadores (Puerto Boyacá)_Palangre calandrio;11,45799999;16,43600006;2;3
Puerto de los Jhonsons (Puerto Boyacá)_Chinchorra;13,81800003;18,06800003;2;3
Sempegua_Chinchorro continental;7,75;15,5;2;2
Bocas del Atrato_Flecha;9,569999695;11,79750013;2;3
Doña Ana_Palangre calandrio;12,41750002;15,25;2;2
Margento_Red de enmalle de deriva continental;3,004999924;6,205999947;4;4
Pizarro_Palangre o espinel de fondo;4,673000073;236,525;5;217
Puerto Rico [Meta]_Atarraya;4;12,875;6;6
Las Delicias_Palangre o espinel de fondo;10,22000027;18,24399967;14;72
Puerto Asure_Palangre calandrio;14,90599976;71,43000183;2;8
Jodedor_Línea de mano fija marina;13;40,99150009;25;60
Pesquera Friopez_Red de cerco artesanal o ruche;10,90999985;13,25;9;16
Muelle Hong Kong_Atarraya;2;6,329999924;2;2
Juanchaco_Red de enmalle de deriva marina;13,3739996;15,19200001;11;29
Monserrate_Red de enmalle fija continental;8,458500004;58,35749817;6;10
Las Flores_Atarraya;7,863999939;34,7;2;3
Monserrate_Chinchorro continental;10,4375;71,2875;6;8
La Pedrera_Arpón;11,32000008;73,17600098;2;8
Policía fluvial (Quibdó)_Red de enmalle fija continental;15,02799997;19,82999992;6;9
Casco Urbano (Arauca)_Palangre calandrio;14,17000008;207,8980011;6;8
Casco Urbano (Arauca)_Línea de mano fija continental;3,968000031;103,3519989;4;10
Puerto Boquillas_Chinchorro continental;4,45;17,44849997;2;4
Puerto Montecristo_Flecha;10,5;10,5;2;2
Rincón del Mar_Nasa de langostas;123,7925014;243,6349983;16;35
San Alejandro_Red de enmalle fija continental;15,82999992;27,5;4;12
Muelle Hong Kong_Palangre calandrio;3,411000061;75,0150032;2;2
Corozal_Red de enmalle fija marina;7,967499924;11,65649996;8;10
La Mata_Chinchorra;12,92000008;16,94750071;2;4
Lamas_Red de enmalle de encierro continental;4,656499958;9,170000076;1;2
Pueblo Nuevo_Palangre o espinel de fondo;169,6480011;346,7;58;180
Playa Necoclí_Red de enmalle de encierro marina;3,6;36,4;4;5
Robles_Red de enmalle de encierro continental;4,686000061;9,170000076;1;1
La Mata_Chinchorro continental;13;16,29749928;2;4
Casco Urbano (Arauca)_Chinchorro continental;12,42999992;157,0419998;4;8
Playa de Arusí_Arpón;6,506499791;7,163499808;10;16
Mapiripán_Chinchorro continental;4,186000061;16,98399925;5;11
Playa de Arusí_Red de enmalle fija marina;2,396999967;4,50299989;6;7
Milagros de la Mar_Chinchorro marino;5,420000076;7,686000061;11;56
Bazán La Bocana_Red de enmalle de deriva marina;28,125;219,25;7;15
Malecón (Puerto Gaitán)_Atarraya;13,125;90,27900009;4;12
Guacamayo_Chinchorro continental;5;12;1;4
Puerto del Pescado (San José Del Guaviare)_Red de enmalle fija continental;2,004999989;15,32349997;8;16
Berlín_Palangre calandrio;14,32999992;16,75;1;4
Puerto del Pescado (San José Del Guaviare)_Línea de mano fija continental;1,913500041;12,4165;6;8
Villa Venecia_Red de enmalle de encierro continental;5,5;8,880999947;1;2
La Plata - Bahía Málaga_Línea de mano fija marina;2,35;5,65;10;26
Mangaña - Bahía Málaga_Palangre o espinel de fondo;14,9;21,4;2;34
Doña Ana_Red de enmalle de encierro continental;4;15,2;2;2
Costilla_Chinchorro continental;9,417500019;15,32999992;2;2
Puerto Franco_Red de encierro rastra;11;17,69400005;2;2
Piedras Blancas_Nasas de Peces;8,005000019;8,184999847;13;14
La Charca de Guarinocito_Chinchorra;4,074000072;5,230000019;2;2
Nueva Estrella_Chinchorro continental;8,5;12,83849993;2;2
Mercado (Lorica)_Palangre calandrio;13,29699993;16,38300037;2;2
Pesquera Luz Mar_Red de enmalle fija marina;20,09499979;94,725;9;15
Palanca_Chinchorro continental;1,825;6,35;2;2
Galería (Guapi)_Red de enmalle fija marina;39,2;99,16600037;8;40
Puerto Asure_Chinchorra;7;48,91799927;1;2
Bahía de Cispatá_Nasa de jaibas;4,5;7,5;1;2
Miramar - Bahía Málaga_Línea de mano fija marina;4;9;7;20
Puerto Boquillas_Red de enmalle de deriva continental;3,5;3,5;15;15
Puerto Principal (Leticia)_Línea de mano fija continental;8,2;16,9;4;4
Rincón_Red de enmalle de encierro continental;5,238000011;8,25;1;2
La Plata - Bahía Málaga_Palangre o espinel de fondo;4,5;17,7;5;23
Mangaña - Bahía Málaga_Red de enmalle fija marina;2;11,15;4;9
Mangaña - Bahía Málaga_Línea de mano fija marina;3,2;6,8;15;20
Puerto Barrio El Progreso_Red de enmalle de deriva continental mallona;9,5;13,5;4;7
Las Tenazas_Línea de mano fija marina;4;6,480000019;9;15
Bazurto_Línea de mano fija marina;13,25;17,85000038;10;20
Bazurto_Red de enmalle fija marina;13,17000008;17,89999962;10;27
Mamón_Red de enmalle de encierro continental;6,690000057;9;1;1
Doña Ana_Chinchorro continental;12,5;14,475;2;4
Puerto Colorado_Atarraya;1,998000026;4,218000031;2;2
La Gloria_Red de enmalle de encierro continental;5,71449995;15,025;2;2
Puerto Abajo (Dibulla)_Línea de mano fija marina;4,329999924;14,95050001;3;14
Pesquera Friopez_Red de enmalle fija marina;16,71800003;49,4650013;9;16
Palanca_Red de enmalle zangarreo;6,15;8,85;2;2
Las Flores_Red de enmalle fija marina;8;19;11;50
Taburetera_Atarraya;2;6;2;2
Vida Tranquila_Red de enmalle de deriva continental;2,242000008;18,55;2;6
Punta de blanco_Red de enmalle de encierro continental;7,461999893;14,38599968;2;2
Palenquito_Red de enmalle fija continental;13,67000008;18,67000008;2;4
Palenquito_Palangre calandrio;14,60249996;18,89750004;2;10
Casco urbano Roma_Atarraya;2;6,25;2;2
Honda_Chinchorra;11;20,875;4;6
Mantequera_Red de enmalle de deriva continental;1,830000043;13,53849993;2;4
Nueva Colonia_Flecha;9,329999924;16,61900005;2;2
La Tranca_Red de enmalle zangarreo;5;11,17300014;1;2
San Nicolás (Santa Cruz De Mompox)_Chinchorro continental;8,477499962;11,04500008;2;2
Muelle Pescadores (Puerto Boyacá)_Atarraya chile;12,0625;24;2;3
El Puerto (Puerto Carreño)_Red de enmalle fija continental;13,29799995;89,53000183;4;15
Taganga_Ballestilla/Palangre parguera;72,3;356,85;70;185
Juanchaco_Línea de mano correteo curricán o trolling;8,020000076;10,76599998;11;34
Puerto Amor_Chinchorra;2,299999952;33,10800018;1;3
Clarinetero_Chinchorro continental;15,17000008;41,04499817;3;4
Puerto del Cerrito_Chinchorro continental;7,397999954;23;2;3
Yaguará_Arpón;6,2625;6,4875;3;3
Puerto Chaparro_Palangre calandrio;14,82999992;19,5;2;3
Plaza de mercado (Tumaco)_Red de enmalle fija marina;17,37750006;35,25999832;7;18
Casino_Red de enmalle fija marina;13,08999996;114,4;10;42
La Boquilla_Atarraya;3,25;6,75;1;2
La Boquilla_Palangre o espinel de fondo;9;17;2;11
Puerto Principal (Puerto Lleras)_Red de enmalle fija continental;13;17;4;7
San Miguel (Puerto Gaitán)_Palangre calandrio;12,25;46,00200119;5;9
Chamón_Red de enmalle fija marina;60,93949976;194,1;18;98
Playa Nueva_Línea de mano fija marina;4,428000021;31,66400032;31;155
La Plata - Bahía Málaga_Red de enmalle fija marina;4;16;3;9
Corozal_Red de enmalle de encierro continental;8,539999962;11,50250006;9;10
Orpua_Red de cerco;3,102000046;5,781999969;3;5
Río San Miguel_Red de enmalle de deriva continental;1;8;2;8
Puerto Asure_Atarraya;1,258999997;5,649000072;2;5
Milagros de la Mar_Red de enmalle de encierro continental;3,5375;4,2125;12;18
Punta de blanco_Atarraya;4,42700007;10,54249992;2;2
Pueblo Nuevo_Línea de mano fija marina;101;101;20;20
Timbiquí_Red de enmalle de encierro continental;8,085000038;11,35500002;8;10
Buenavista (La Dorada)_Red de enmalle de encierro continental;5,945999956;9,781999969;3;5
La Gloria_Chinchorro continental;11,975;22,83000002;3;5
Puerto Franco_Atarraya;4,170000076;8,5;1;2
Puerto Amor_Palangre calandrio;5,943999863;72,64399872;2;12
Quiroga_Red de enmalle fija marina;10,8099997;15,84999919;5;5
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental;13,67999992;69,63200073;2;4
Guacamayo_Red de enmalle de deriva continental;6,2;14,25;2;4
Pesquera Friopez_Palangre o espinel de fondo;150,25;150,25;20;20
Betania (Montecristo)_Atarraya;6,924999952;10,10000038;1;2
San José_Red de encierro rastra;5,588999939;9,170000076;2;2
Puerto López_Chinchorro continental;6;9,170000076;1;1
Puerto Boquillas_Atarraya;2,25;12,95499992;2;3
Puerto López_Palangre calandrio;15,68650007;15,9835;1;1
Playa Nueva_Red de enmalle de encierro continental;6,827999878;9,065999985;14;21
Las Delicias_Buceo de langosta;4,999000001;10,27150044;4;16
Clarinetero_Línea de mano fija continental;2,670000076;14,31850004;4;6
Puerto Arriba (Dibulla)_Palangre o espinel de fondo;6,420000076;9,079999924;7;30
Vida Tranquila_Palangre calandrio;7,234500027;22,30199995;2;4
Isla Fuerte_Nasas de Peces;5,943999863;26,6;13;100
Marralú_Red de enmalle de encierro continental;5,05;11,975;3;4
Puerto (Orocué)_Red de enmalle de deriva continental;18,25;55,375;5;6
Chacón_Red de enmalle de encierro continental;8,242000008;11,31899996;7;10
Bocanegra_Chinchorro marino;2;8,5;5;6
Vida Tranquila_Red de enmalle fija continental;15,17800007;20,67000008;2;6
Caño Mina_Palangre calandrio;2,084499931;2,165500069;4;7
El Puerto (Puerto Carreño)_Línea de mano fija continental;41,87350082;118,9830002;4;10
El Muelle (Barrancabermeja)_Palangre calandrio;16,23750067;25,93250084;1;5
La Gloria_Atarraya;8,829999924;10,80600014;2;3
Puerto Miraflores_Palangre o espinel de fondo;2,244000006;75,84900055;17;56
Loma - San Sebastián_Atarraya;3,670000076;9,670000076;2;4
Pueblo Nuevo_Red de cerco;9,929999924;11,23400002;10;10
Pesquera Luz Mar_Red de cerco artesanal o ruche;12,75;12,75;8;8
Puerto Antequera_Chinchorro continental;7,878999877;13,11399989;1;1
Orpua_Línea de mano fija marina;1,49799999;10,8;4;8
Puerto Real - Saloa_Chinchorra;8,119999599;13,34000053;1;2
Pueblo Nuevo_Nasa de jaibas;50;50;1;1
Puerto ESSO_Chinchorra mallona;22,32999992;46,66999817;4;5
La Rampa (Barrancabermeja)_Atarraya rastra;21,17000008;21,17000008;4;4
Mantequera_Red de enmalle fija continental;15,25;21,42000008;2;6
Damaquiel_Palangre o espinel de fondo;14,4125;21,825;6;18
Mayapo_Buceo marino mixto;4,920000076;7,920000076;6;13
El Puerto (Puerto Carreño)_Chinchorro continental;37,86649971;47,70349998;1;1
Cispataca_Red de enmalle de encierro continental;5,948999977;17,20100002;2;2
Aparca_Arpón;8,5;29,5;3;5
Santuario_Palangre calandrio;4,15;51,84449844;2;4
Plaza de mercado (La Dorada)_Línea de mano fija continental;8,8;24,49699993;3;4
Bazán La Bocana_Red de enmalle camaronera;8;142,2545036;7;15
Puerto Wilches_Chinchorra mallona;21,32999992;46,41999817;4;5
Puerto Chaparro_Cóngolo;7,7625;7,9875;2;2
Puerto Bello_Chinchorro continental;14,175;18,20100002;2;2
Puerto Barrio El Progreso_Atarraya;6,5;14,5;3;5
Puerto Cabuyaro_Línea de mano fija continental;15,5;21,875;5;6
Puerto Amor_Red de enmalle de encierro continental;6;6;2;2
Bahía de Santa Marta_Buceo de peces;1,382000017;5,259999943;18;23
Muelle La Esmeralda_Línea de mano fija continental;5,022999978;5,076999927;2;2
Limones_Red de enmalle camaronera;8,329999924;13,2;2;13
Quiroga_Red de enmalle camaronera;8,829999924;13,5;2;4
Mapiripán_Red de enmalle fija continental;8,530000401;14,35200028;9;16
Puerto Barrio El Progreso_Chinchorra;13,5;15,5;4;7
La Playa (El Banco)_Nasas de Peces;15;18,5;3;6
Puerto de Gamarra_Palangre calandrio;13,16499996;24;2;4
Puerto Barrio El Progreso_Línea de mano fija continental;13,9;15,5;4;6
Pesquera Ricuras del Mar_Red de enmalle fija marina;29,67000008;29,67000008;12;12
San Nicolás (Santa Cruz De Mompox)_Palangre calandrio;14;17,43649998;2;4
Mercado (Lorica)_Buceo de peces;3,839999914;7,125;2;2
Puerto Boca_Atarraya;5,968000031;12,44899998;1;3
Chapundun_Red de enmalle fija continental;12;16,5;2;6
Santuario_Red de enmalle fija continental;10,62750006;17,62249994;3;4
Puerto de desembarco (Barrancominas)_Red de enmalle de deriva continental;5,5;16,5;7;11
Zapata_Red de enmalle camaronera;5,482999992;32,03300018;5;11
Puerto Asure_Red de enmalle de encierro continental;7;18,5;1;2
Pesquera Punta Reyes_Red de enmalle camaronera;8,757500029;14,95549955;5;10
Uldarico_Palangre o espinel de fondo;45,74300079;113,5849983;56;72
El 48_Red de cerco artesanal o ruche;11,19999981;11,19999981;80;80
Puerto ESSO_Línea de mano fija continental;21,67000008;46,79499817;4;6
San Miguel (Puerto Gaitán)_Red de enmalle fija continental;7,329999924;63,08000183;3;7
El Pedral_Red de enmalle de deriva continental;2,429000068;12,55100002;2;3
El Pedral_Atarraya;2;7;2;3
Chontal_Red de enmalle fija marina;1;7,45;3;9
Puerto Asure_Nasas de Peces;14,24749994;19,53399973;3;8
Casco Urbano (San Juan de Urabá)_Red de enmalle fija marina;8,5;31,375;4;23
Sapzurro_Línea de mano fija marina;2,298999953;13,80150018;13;200
Puerto Triunfo_Atarraya;3,725500023;14,81299977;4;5
Puerto Triunfo_Atarraya rastra;9,572000027;10,81400013;5;8
Puerto Triunfo_Palangre calandrio;5,25;21,26500006;1;3
Nueva Colonia_Buceo de peces;5,815499973;9,329999924;6;8
Jurubirá_Línea de mano fija marina;3,186000061;10,23400002;8;40
Sapzurro_Red de enmalle fija marina;9,596999931;24,05499992;13;15
Jurubirá_Palangre o espinel de fondo;3,824999928;9,829999924;15;80
Marriaga_Red de enmalle fija continental;14,22999954;19,01200027;2;8
Ciénaga del Totumo_Atarraya;5,21999979;9,850000381;2;3
La Coquerita_Línea de mano fija marina;4,218000031;9,820000267;8;18
Primera Ensenada_Atarraya;1,129999995;1,129999995;2;2
Primera Ensenada_Palangre o espinel de fondo;5,260999966;16,51100025;10;20
Primera Ensenada_Línea de mano fija marina;4,461499906;21,2715003;8;40
Ciénaga del Totumo_Buceo de peces;3,510999942;6,618000126;1;5
El Pedral_Cóngolo;3,856499982;5,413499999;2;2
El Puerto (Puerto Carreño)_Red de enmalle de deriva continental;10,82999992;10,82999992;14;14
Uveros_Red de enmalle camaronera;6,2375;13;2;10
Mantequera_Palangre calandrio;15,675;23,32999992;2;4
Puerto Triunfo_Red de enmalle de deriva continental;16,23299961;19,65300064;3;3
Sapzurro_Línea de mano correteo curricán o trolling;1,751500016;4,581999922;13;25
Damaquiel_Red de enmalle camaronera;7,5;13;4;13
El Pedral_Línea de mano fija continental;2,21449995;14,72699995;2;3
Lomita Arena_Línea de mano fija marina;3,282999969;7,963000107;20;100
Uldarico_Red de enmalle camaronera;7,912999988;9,515499878;5;8
El 48_Red de enmalle camaronera;7,803500199;8,22650001;6;6
Cabo Marzo_Línea de mano fija marina;49,91600037;169,4199982;31;38
Puerto (Arauquita)_Atarraya;3,202000046;11;2;6
Cabo Marzo_Palangre o espinel de fondo;101,9300018;251,8180054;60;98
Lomita Arena_Chinchorro marino;3,304999948;8,342000389;4;10
Playa Nueva_Red de enmalle camaronera;5,453999901;9,369999695;4;39
Puerto Triunfo_Chinchorra;6,842000008;39,98250141;1;3
Puerto de desembarco (Barrancominas)_Red de enmalle fija continental;5,59250021;65,9224987;7;10
Docordó_Red de enmalle fija marina;8;18,5;3;36
Chapinero_Red de enmalle fija continental;13,5;17,82199993;2;4
Costilla_Nasas de Peces;13,254;16,42000008;2;3
Sapzurro_Buceo de peces;2,377000046;5,996999836;6;13
Pesquera Punta Reyes_Red de cerco artesanal o ruche;8,744999981;11,10349989;7;19
Docordó_Red de enmalle de deriva marina;4,715000033;11,0474998;4;54
Docordó_Palangre o espinel de fondo;7,2125;63,925;8;270
Casco urbano Roma_Flecha;2,5;9,625;2;2
Chontal_Recolección manual de piangua;3;3;2;2
Chontal_Palangre o espinel de superficie;1,3875;5,343500042;4;24
Chontal_Red de enmalle camaronera;2,016499996;2,313499928;21;34
Chontal_Red de arrastre;1,5875;6,65;3;20
Chontal_Palangre o espinel de fondo;1,769000024;4,964000034;4;6
Chontal_Red de enmalle de encierro continental;2;2;5;8
Chontal_Red de cerco artesanal o ruche;2;4,982999992;5;6
Chontal_Chinchorro marino;3;3;15;15
Quiroga_Chinchorro camaronero;6,725;10,83049994;1;5
Chontal_Línea de mano correteo curricán o trolling;2,425;6,25;4;5
Agropesur_Palangre o espinel de fondo;7,5;7,5;25;25
Chontal_Línea de mano fija marina;2,525;2,975;3;5
Tribugá_Red de enmalle fija marina;3;14,94249978;3;3
Tribugá_Línea de mano fija marina;3;12,17500038;6;10
San Antonio de Padua_Red de enmalle de deriva continental;1,139499986;11,03749976;2;6
Puerto Arango_Red de enmalle fija continental;4,670000076;4,670000076;5;5
Barrio La Unión_Línea de mano fija marina;3,170000076;7,329999924;5;9
Docordó_Línea de mano;10,1;11,2;13;17
Lomita Arena_Red de enmalle de encierro marina;3,080000043;7,785000086;7;14
Arrimadero La Unión_Red de enmalle marina de fondo;12,14599986;15,58999991;6;12
Playa Totumo_Palangre o espinel de fondo;34,9;78;6;50
Casco Urbano (San Juan de Urabá)_Red de enmalle camaronera;8,765999985;16,4;2;4
Puerto Miraflores_Red de enmalle marina de fondo;1,031500024;4;5;15
El Muelle (Barrancabermeja)_Línea de mano fija continental;15,01100006;18,45799999;3;5
La Gloria_Línea de mano fija continental;18;22,5;3;5
Bahía de Santa Marta_Palangre o espinel de fondo;1,932000017;5,704000092;28;35
Pueblo Nuevo (Barrancominas)_Línea de mano fija continental;4,093499947;10,43250027;1;11
Monserrate_Palangre calandrio;19,75;19,75;8;8
Ciénaga de Mesolandia_Red de enmalle fija continental;13;15,17000008;2;3
Pueblo Nuevo (Barrancominas)_Palangre calandrio;6,170500064;19,79199991;1;17
