SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Gaira_Red de enmalle - Red de enmalle fija marina_Caranx hippos;0,61;8,06
Gaira_Red de enmalle - Red de enmalle fija marina_Elops smithi;0,33;36,9
Gaira_Red de enmalle - Red de enmalle fija marina_Seriola fasciata;0,49;2,65
Piedras Blancas_Red de enmalle - Red de enmalle de encierro marina_Caranx ruber;18;18
Gaira_Línea de mano - Línea de mano_Seriola fasciata;0,17;1,24
Taganga_Chinchorro marino - Chinchorro velao_Thunnus alalunga;2,16;659,4
Bellavista_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus griseus;0,83;3,12
Bellavista_Chinchorro marino - Chinchorro de jala playa_Trichiurus lepturus;0,3;13,29
Bellavista_Chinchorro marino - Chinchorro de jala playa_Rhomboplites aurorubens;1,1;1,1
Bellavista_Línea de mano - Línea de mano_Caranx hippos;0,25;8,42
Puerto Caracolí_Cóngolo/Barredera - Cóngolo_Megaleporinus muyscorum;0,26;0,49
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,5;2,5
Puerto López_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;1;3
Jegua_Atarraya - Atarraya_Ageneiosus pardalis;0,5;1
Palenquito_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;1;6,78
Taganga_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;4,62;122,75
Taganga_Chinchorro marino - Chinchorro velao_Decapterus macarellus;7,63;249,32
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;0,5;1,5
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;0,5;2,5
Taganga_Línea de mano - Línea de mano - Ballestilla_Caranx hippos;2,31;19,62
Taganga_Línea de mano - Línea de mano - Ballestilla_Hyporthodus niveatus;2,9;97,04
Puerto Playa - Capurganá_Línea de mano - Línea de mano_Caranx latus;0,99;27,05
Taganga_Línea de mano - Línea de mano - Ballestilla_Carcharhinus porosus;2;20,15
Puerto Playa - Capurganá_Línea de mano - Línea de mano_Caranx crysos;1,5;57,6
Playa Pescadores - Capurganá_Línea de mano - Línea de mano_Sphyraena barracuda;1,91;22,3
Casino_Línea de mano - Línea de mano_Menticirrhus americanus;0,14;0,44
La Rampa (Barrancabermeja)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;7,01;34,75
El Bijagual El Trébol_Red de enmalle - Red de enmalle fija continental ciénaga_Pimelodus yuma;4,5;19,25
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;0,24;3,04
Bocanegra_Chinchorro marino - Chinchorro marino_Penaeus monodon;0,12;4
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;0,53;3,83
Belén (San Marcos)_Atarraya - Atarraya_Pimelodus yuma;1;10
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Pseudoplatystoma magdaleniatum;0,72;2,42
Bazurto_Red de enmalle - Red de enmalle fija marina_Chaetodipterus faber;0,5;10
Bazurto_Línea de mano - Línea de mano_Sphyraena guachancho;2;28,08
Bazurto_Línea de mano - Línea de mano_Cynoscion acoupa;1,25;11,2
Bazurto_Línea de mano - Línea de mano_Rhomboplites aurorubens;0,88;12,75
Bazurto_Red de enmalle - Red de enmalle fija marina_Cynoscion acoupa;1;20,6
Bazurto_Línea de mano - Línea de mano_Caranx hippos;1,01;8,95
Buenavista (La Dorada)_Atarraya - Atarraya_Sorubim cuspicaudus;1;4,5
Buenavista (La Dorada)_Línea de mano - Línea de mano_Pseudoplatystoma magdaleniatum;2;14,4
Nueva Colonia_Flecha - Flecha_Centropomus undecimalis;2;24
Caño Grande_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,27;3,81
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;3,5;40
Real_Red de enmalle - Red de enmalle fija continental ciénaga_Triportheus magdalenae;1;2,78
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;2,65;20
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;1,35;59
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Ocyurus chrysurus;1;1
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Caranx crysos;1,5;1,5
Nueva Colonia_Flecha - Flecha_Eugerres plumieri;1;12,15
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Piaractus brachypomus;0,75;16,2
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Centropomus nigrescens;7,7;47,8
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Trachinotus rhodopus;3,45;33,2
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Nebris microps;1,25;15,16
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Caranx bartholomaei;0,56;23,7
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;0,76;24,98
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Rachycentron canadum;0,56;5,75
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Hypanus americanus;1,72;11,9
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Caranx bartholomaei;0,5;15
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Rhizoprionodon porosus;1;7,47
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Rhizoprionodon porosus;1,95;30,3
Manaure Centro_Red de enmalle - Red de enmalle de deriva marina_Priacanthus arenatus;5,2;19,6
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Caranx hippos;30;2869,25
Playa Necoclí_Red de enmalle - Red de enmalle de encierro marina_Caranx crysos;2,8;22
Jegua_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,5;3
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Piaractus brachypomus;0,74;7,6
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;0,46;9,8
El Llanito_Atarraya - Atarraya_Megaleporinus muyscorum;0,3;199,82
La Mata_Red de enmalle - Red de enmalle fija continental ciénaga_Sorubim cuspicaudus;0,25;2
Puerto Amor_Línea de mano - Línea de mano_Pseudoplatystoma magdaleniatum;0,55;5,95
Bahía de Santa Marta_Línea de mano - Línea de mano_Chloroscombrus chrysurus;0,12;1,91
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,5;2,5
Bahía de Santa Marta_Línea de mano - Línea de mano_Lutjanus analis;0,63;9,15
Bahía de Santa Marta_Línea de mano - Línea de mano_Lutjanus purpureus;0,24;46,12
Puerto Asure_Atarraya - Atarraya_Megaleporinus muyscorum;0,69;27,88
Bahía de Santa Marta_Chinchorro marino - Chinchorro de jala playa_Caranx crysos;0,79;79,79
Bahía de Santa Marta_Chinchorro marino - Chinchorro de jala playa_Scomberomorus brasiliensis;0,67;2,29
Bahía de Santa Marta_Chinchorro marino - Chinchorro de jala playa_Lutjanus analis;0,48;1,51
Bahía de Santa Marta_Chinchorro marino - Chinchorro de jala playa_Elops smithi;0,62;61
Bahía de Santa Marta_Chinchorro marino - Chinchorro de jala playa_Caranx latus;0,4;1,87
Bahía de Santa Marta_Línea de mano - Línea de mano_Peprilus paru;0,13;0,6
Manaure Abajo_Red de enmalle - Red de enmalle de deriva marina_Opisthonema oglinum;14,8;80,7
Piedras Blancas_Red de enmalle - Red de enmalle de encierro marina_Priacanthus arenatus;23;23
Palo Alto_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;0,85;2
Palo Alto_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;6;12,45
Taganga_Chinchorro marino - Chinchorro velao_Caranx hippos;1,32;3378,75
Taganga_Línea de mano - Línea de mano_Caranx ruber;0,39;2,42
Tasajera La Playa_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;8;135,5
Rincón_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,26;4,03
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;3;120
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;7;176,5
Las Tenazas_Línea de mano - Línea de mano_Scomberomorus brasiliensis;0,52;19
Las Tenazas_Línea de mano - Línea de mano_Conodon nobilis;0,3;6,07
Las Tenazas_Línea de mano - Línea de mano_Tylosurus spp.;0,2;2,4
Muelle Pescadores (Puerto Boyacá)_Palangre o Espinel - Palangre calandrio_Piaractus brachypomus;4,5;4,5
Bahía de Santa Marta_Línea de mano - Línea de mano_Trachinotus goodei;0,18;3,03
Puerto Arango_Atarraya - Atarraya_Schizodon fasciatus;4;4
Bahía de Santa Marta_Línea de mano - Línea de mano_Ocyurus chrysurus;1,57;5
Bahía de Santa Marta_Línea de mano - Línea de mano_Lutjanus vivanus;0,34;11,8
Bahía de Santa Marta_Línea de mano - Línea de mano_Alectis ciliaris;0,91;5
Bellavista_Chinchorro marino - Chinchorro de jala playa_Caranx latus;0,18;5,7
Gaira_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;0,64;4,82
El Riito_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;6,2;69,6
El Riito_Red de enmalle - Red de enmalle de deriva marina_Conodon nobilis;1,1;2,9
Villa Fátima_Red de enmalle - Red de enmalle de deriva marina_Bagre filamentosus;1,35;12,81
Puerto Miraflores_Línea de mano - Línea de mano_Brotula clarkae;3,26;120,58
Belén (San Marcos)_Atarraya - Atarraya_Caquetaia kraussii;1;10
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Panulirus argus;18,6;48,9
Puerto Miraflores_Línea de mano - Línea de mano_Euthynnus lineatus;1,5;15,25
Villa Fátima_Red de enmalle - Red de enmalle de deriva marina_Rhinoptera bonasus;40;40
Villa Fátima_Red de enmalle - Red de enmalle de deriva marina_Rachycentron canadum;4;4
Puerto Miraflores_Línea de mano - Línea de mano_Hyporthodus niphobles;6,6;23,6
Palotal_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3,5;7
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Conodon nobilis;1;12,55
Bellavista_Línea de mano - Línea de mano_Pristipomoides aquilonaris;2,45;2,45
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Micropogonias furnieri;2;15
Gaira_Línea de mano - Línea de mano_Scomberomorus brasiliensis;0,25;7,08
Gaira_Línea de mano - Línea de mano_Trichiurus lepturus;0,52;3,58
Gaira_Línea de mano - Línea de mano_Selar crumenophthalmus;0,35;21,8
Casino_Línea de mano - Línea de mano_Rachycentron canadum;1,08;5,53
Gaira_Línea de mano - Línea de mano_Elops smithi;0,48;2,47
Gaira_Línea de mano - Línea de mano_Macrodon ancylodon;1,5;1,5
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;6,68;110,65
Puerto Arriba (Dibulla)_Trampas o Nasas - Nasas de Peces_Micropogonias furnieri;60;60
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus synagris;1;20
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Caranx hippos;6,58;8,35
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus analis;1,5;13,5
Puerto Arriba (Dibulla)_Palangre o Espinel - Palangre o espinel de fondo_Rhomboplites aurorubens;2;17,35
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;0,5;4,85
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;0,5;5
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;0,5;1
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;1;2,3
El Riito_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus brasiliensis;1;7
El Riito_Red de enmalle - Red de enmalle de encierro marina_Rhinoptera bonasus;17,7;264,3
El Riito_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;1,9;13,95
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;0,5;2,78
El Riito_Red de enmalle - Red de enmalle de encierro marina_Seriola dumerili;1;1
El Riito_Red de enmalle - Red de enmalle de encierro marina_Hypanus guttatus;6;6
Las Tenazas_Línea de mano - Línea de mano_Albula vulpes;0,23;0,59
Puerto Arango_Atarraya - Atarraya_Zungaro zungaro;7,1;26,9
Caño Lobo_Buceo - Recolección manual de ostra_Melongena melongena;1,7;5
Puerto Arango_Atarraya - Atarraya_Hypostomus niceforoi;1,62;4,5
La Boquilla_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1;24,62
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Thunnus spp.;16,2;49
Caño Lobo_Buceo - Buceo de peces_Mugil incilis;0,5;5,05
Caño Lobo_Buceo - Buceo de peces_Epinephelus adscensionis;1;4,68
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Trachinotus falcatus;0,25;4,7
Ica-Copipa_Línea de mano - Línea de mano_Lutjanus synagris;5;10,88
Bahía de Santa Marta_Línea de mano - Línea de mano_Priacanthus arenatus;0,26;3,13
Morrosquillo_Atarraya - Atarraya_Lutjanus synagris;0,11;3,7
Morrosquillo_Buceo - Buceo de peces_Caranx hippos;0,66;2,79
Las Tenazas_Línea de mano - Línea de mano_Haemulon parra;0,2;4,76
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus;0,25;2,01
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;0,4;3,1
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Mugil liza;0,73;3,1
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Sphyrna lewini;7,25;12,75
Las Tenazas_Buceo - Buceo marino mixto_Octopus vulgaris;1,25;3,66
Las Tenazas_Buceo - Buceo marino mixto_Panulirus argus;0,53;0,98
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Seriola peruana;14;50,9
Bocanegra_Chinchorro marino - Chinchorro marino_Cynoscion virescens;0,54;49,5
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Albula vulpes;0,6;0,6
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Caranx crysos;1;1
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Sphyraena guachancho;1,2;1,2
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;4,38;15,97
El Puente_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,61;4
El Puente_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;0,4;2
Bocanegra_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;0,36;6,6
Bazurto_Red de enmalle - Red de enmalle fija marina_Rhomboplites aurorubens;4,1;5,9
Taganga_Red de enmalle - Red de enmalle fija marina_Caranx lugubris;0,4;11,06
Taganga_Trampas o Nasas - Nasas de Peces_Lutjanus griseus;0,66;2,79
Taganga_Chinchorro marino - Chinchorro velao_Istiophorus platypterus;11,5;32,67
La Boquilla_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;1;10
Tasajera La Playa_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;8;97
Tasajera La Playa_Red de enmalle - Red de enmalle de encierro marina_Caranx crysos;11;106
Las Tenazas_Línea de mano - Línea de mano_Chloroscombrus chrysurus;0,1;3,12
Las Tenazas_Línea de mano - Línea de mano_Haemulon plumieri;0,3;2
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Pterois volitans;0,5;1,5
Taganga_Línea de mano - Línea de mano_Rhomboplites aurorubens;0,79;12,5
Puerto Miraflores_Palangre o Espinel - Palangre o espinel de fondo_Scomberomorus sierra;3,28;35,4
Puerto Chucha_Atarraya - Atarraya_Prochilodus magdalenae;4,65;6,43
Puerto Chucha_Atarraya - Atarraya_Hoplias malabaricus;0,83;7,62
Puerto Chucha_Atarraya - Atarraya_Caquetaia kraussii;0,5;0,5
Puerto Chucha_Atarraya - Atarraya_Megaleporinus muyscorum;0,36;2,39
Pasacaballos_Atarraya - Atarraya_Opisthonema oglinum;0,07;2,21
Pasacaballos_Atarraya - Atarraya_Gerres cinereus;0,3;3,65
Puerto Chucha_Red de enmalle - Red de enmalle de encierro marina_Nebris microps;1,5;14,78
La Ceiba_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;0,5;3,1
La Boquilla_Red de enmalle - Red de enmalle fija marina_Thunnus alalunga;5,12;7,38
La Boquilla_Línea de mano - Línea de mano_Thunnus alalunga;5;5
La Boquilla_Línea de mano - Línea de mano_Chloroscombrus chrysurus;2,2;2,2
La Boquilla_Línea de mano - Línea de mano_Pterois volitans;1;1
La Boquilla_Chinchorro marino - Chinchorro marino_Conodon nobilis;1,5;20
La Boquilla_Chinchorro marino - Chinchorro marino_Scomberomorus brasiliensis;0,62;15,24
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;0,5;4,15
La Ceiba_Atarraya - Atarraya_Ctenolucius hujeta;1,05;1,95
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Harengula clupeola;15;15
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Diplodus caudimacula;20;20
Palo Alto_Atarraya - Atarraya_Sorubim cuspicaudus;1;1
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;0,23;7,67
Jegua_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;1;1
Jegua_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;1;2,78
Jegua_Palangre o Espinel - Palangre calandrio_Pimelodus yuma;0,5;0,5
Las Tenazas_Palangre o Espinel - Palangre o espinel de fondo_Aetobatus narinari;7;7
El Llanito_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;0,32;3,05
El Llanito_Red de enmalle - Red de enmalle de deriva continental_Salminus affinis;0,31;3,45
Bellavista_Chinchorro marino - Chinchorro de jala playa_Priacanthus arenatus;0,2;9,88
Bellavista_Chinchorro marino - Chinchorro de jala playa_Tylosurus spp.;0,37;0,37
Bellavista_Línea de mano - Línea de mano_Alectis ciliaris;3,5;3,5
Bellavista_Línea de mano - Línea de mano_Lutjanus mahogoni;0,38;1,5
La T_Red de enmalle - Red de enmalle de encierro marina_Selene vomer;9,45;163,3
La T_Red de enmalle - Red de enmalle de encierro marina_Archosargus rhomboidalis;2,5;131,4
La T_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus cavalla;3,3;218,4
La T_Red de enmalle - Red de enmalle de encierro marina_Epinephelus itajara;2;40,2
Los Cocos_Red de enmalle - Red de enmalle de encierro marina_Archosargus rhomboidalis;3;3
Los Cocos_Red de enmalle - Red de enmalle de encierro marina_Rhinoptera bonasus;237;237
Los Cocos_Red de enmalle - Red de enmalle de encierro marina_Haemulon parra;35;35
Gaira_Red de enmalle - Red de enmalle fija marina_Pseudupeneus maculatus;0,79;0,79
Gaira_Red de enmalle - Red de enmalle fija marina_Sparisoma chrysopterum;0,7;0,7
Gaira_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus;0,32;0,34
Gaira_Chinchorro marino - Chinchorro de jala playa_Tylosurus acus;1,7;1,7
Gaira_Chinchorro marino - Chinchorro de jala playa_Scomberomorus brasiliensis;0,3;5,11
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Elagatis bipinnulata;1,45;14,93
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Alectis ciliaris;4,5;20,75
Bellavista_Chinchorro marino - Chinchorro de jala playa_Lutjanus griseus;0,23;3,11
Bellavista_Chinchorro marino - Chinchorro de jala playa_Scomberomorus cavalla;1,03;24,48
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Caranx latus;0,3;10,34
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Sphyraena barracuda;1,21;14,85
Desembarcadero (Juradó)_Línea de mano - Línea de mano_Hemiramphus saltator;2,1;3
Taganga_Red de enmalle - Red de enmalle fija marina_Alectis ciliaris;0,5;6,19
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Epinephelus itajara;25;25
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Etelis oculatus;7,4;94,4
Taganga_Red de enmalle - Red de enmalle fija marina_Carcharhinus porosus;1,1;10,85
Taganga_Línea de mano - Línea de mano_Ocyurus chrysurus;0,56;2,06
Taganga_Línea de mano - Línea de mano_Lutjanus synagris;0,42;3,8
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;0,38;4,5
Villanueva_Línea de mano - Línea de mano correteo curricán o trolling_Caranx hippos;5;5
Morrosquillo_Atarraya - Atarraya_Cathorops mapale;0,12;6
La Boquilla_Chinchorro marino - Chinchorro marino_Selene setapinnis;2,5;49,5
La Boquilla_Chinchorro marino - Chinchorro marino_Larimus breviceps;1;21,62
Bahía de Cispatá_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;0,75;9,32
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;1;24
Zapata_Red de enmalle - Red de enmalle camaronera_Menticirrhus americanus;1,5;22,7
Zapata_Red de enmalle - Red de enmalle fija marina_Penaeus schmitti;0,12;8
Zapata_Red de enmalle - Red de enmalle fija marina_Caranx hippos;2;74,4
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;0,5;20
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;0,2;2,1
Pasacaballos_Atarraya - Atarraya_Micropogonias furnieri;0,27;1,07
Pasacaballos_Atarraya - Atarraya_Haemulon plumieri;0,68;3,72
Las Tenazas_Línea de mano - Línea de mano_Oligoplites saurus;0,2;2
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Conodon nobilis;2;14,86
Casino_Buceo - Buceo de peces_Centropomus undecimalis;1,43;22
Bocanegra_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;0,5;7,62
El Puente_Red de enmalle - Red de encierro chuchaca_Curimata mivartii;2;2
La T_Red de enmalle - Red de enmalle de encierro marina_Selene setapinnis;4,85;168,9
El Riito_Red de enmalle - Red de enmalle de encierro marina_Selene vomer;472;472
El Puente_Red de enmalle - Red de encierro rastra_Pimelodus yuma;1;15,2
Caño Lobo_Atarraya - Atarraya_Trichiurus lepturus;1,4;5,9
Caño Lobo_Línea de mano - Línea de mano_Ariopsis canteri;1,5;7,5
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Alopias pelagicus;15,75;214,1
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;5,13;263,5
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus peru;8;228,3
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Seriola rivoliana;5,3;51,6
Real_Red de enmalle - Red de enmalle fija continental ciénaga_Ageneiosus pardalis;0,38;1,5
Bazurto_Línea de mano - Línea de mano_Selene setapinnis;0,74;2,47
Bahía de Cispatá_Arpón - Arpón_Lutjanus purpureus;0,36;2,78
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Selene peruviana;2,35;29,1
Puente Chambacú - Río Jella_Línea de mano - Línea de mano correteo curricán o trolling_Lutjanus novemfasciatus;3;27
Puente Chambacú - Río Jella_Línea de mano - Línea de mano correteo curricán o trolling_Caranx sexfasciatus;3,65;39,05
Puente Chambacú - Río Jella_Línea de mano - Línea de mano correteo curricán o trolling_Seriola peruana;4,5;38,3
La Ceiba_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;0,88;7,62
La Ceiba_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;3;3
Cerro del Rosario_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;2,5
Belén (San Marcos)_Atarraya - Atarraya_Triportheus magdalenae;2,08;26,51
Bahía de Cispatá_Línea de mano - Línea de mano_Scomberomorus brasiliensis;0,9;16,8
Macurutú - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Ageneiosus pardalis;0,25;1
Puerto Playa - Capurganá_Línea de mano - Línea de mano_Scomberomorus brasiliensis;0,5;4
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Lutjanus synagris;0,5;10
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;1;85,13
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Lutjanus purpureus;0,5;6,95
Bazurto_Red de enmalle - Red de enmalle fija marina_Larimus breviceps;1;15,2
Morrosquillo_Atarraya - Atarraya_Eugerres plumieri;0,2;5,5
Bazurto_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1;26,3
Bellavista_Chinchorro marino - Chinchorro de jala playa_Lutjanus purpureus;0,18;0,18
Pasacaballos_Atarraya - Atarraya_Eugerres plumieri;0,16;4,1
Pasacaballos_Línea de mano - Línea de mano_Elops smithi;0,27;10
Zapata_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;1,55;11,45
Palo Alto_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,5;4
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Penaeus schmitti;0,65;23,2
Playa Necoclí_Red de enmalle - Red de enmalle camaronera_Cynoscion spp.;0,25;2,5
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Polydactylus virginicus;0,2;4,15
Desembarcadero (Juradó)_Línea de mano - Línea de mano_Thunnus spp.;6,05;80,75
Villanueva_Línea de mano - Línea de mano_Ocyurus chrysurus;3,8;19
El Puente_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,52;2,9
El Puente_Atarraya - Atarraya_Ageneiosus pardalis;0,5;2,41
La Boquilla_Chinchorro marino - Chinchorro marino_Trachinotus falcatus;2,02;13,95
La Boquilla_Chinchorro marino - Chinchorro marino_Sphyraena guachancho;2;76,62
La Boquilla_Chinchorro marino - Chinchorro marino_Caranx hippos;2;400
La Boquilla_Chinchorro marino - Chinchorro marino_Sepioteuthis sepioidea;0,6;4,47
La Boquilla_Chinchorro marino - Chinchorro marino_Opisthonema oglinum;2,37;415
La Boquilla_Chinchorro marino - Chinchorro marino_Eugerres plumieri;0,93;38
La Boquilla_Chinchorro marino - Chinchorro marino_Haemulon parra;1;61,12
Casino_Línea de mano - Línea de mano_Trichiurus lepturus;0,24;0,24
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Elagatis bipinnulata;0,6;2,4
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Penaeus monodon;0,2;1,5
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;0,25;3
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Caranx hippos;0,25;3,28
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Acanthurus bahianus;0,24;0,97
Caño Lobo_Buceo - Buceo de peces_Eugerres plumieri;0,5;4,5
Gaira_Línea de mano - Línea de mano_Lutjanus analis;0,89;6,64
Bellavista_Línea de mano - Línea de mano_Lutjanus griseus;0,38;7,4
Bellavista_Línea de mano - Línea de mano_Elagatis bipinnulata;0,43;4,11
