SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;2;14,68
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Mugil liza;0,61;21,8
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Eugerres plumieri;0,5;15
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,66;11,03
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Cynopotamus atratoensis;0,72;6,2
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,5;17,81
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Megalops atlanticus;0,78;9,48
Puerto Chucha_Red de enmalle - Red de enmalle fija continental_Ariopsis canteri;0,81;3,04
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;1,5;16
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Rhizoprionodon porosus;3,12;59,5
Puerto Colorado_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;1;6,27
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus cavalla;1,04;23,25
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Euthynnus alletteratus;1,45;50,18
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Bagre filamentosus;12;12
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Ariopsis canteri;1,9;14,5
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Elops smithi;1,05;3,36
Puerto Chucha_Red de enmalle - Red de enmalle de deriva marina_Cynoscion virescens;0,84;2,41
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,02;27,55
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;0,47;5,4
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;0,39;16,21
Puerto Colorado_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;1,5;8,5
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Chaetodipterus faber;0,82;2,17
Caño Grande_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,32;9,98
Puerto Colorado_Atarraya - Atarraya_Caquetaia kraussii;0,23;2,59
Puerto Colorado_Atarraya - Atarraya_Prochilodus magdalenae;0,45;9
Caño Grande_Atarraya - Atarraya_Prochilodus magdalenae;1,04;14,56
Caño Grande_Atarraya - Atarraya_Cyphocharax magdalenae;0,86;18,83
Caño Grande_Red de enmalle - Red de enmalle fija continental_Megalops atlanticus;0,25;3,15
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,92;21,5
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,36;3,85
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,32;3,91
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,22;2,5
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,1;47,18
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;0,32;8,8
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;0,32;9,55
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;0,5;7,33
Caño Grande_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,23;1,68
Caño Grande_Atarraya - Atarraya_Mugil incilis;0,5;8,88
Caño Grande_Red de enmalle - Red de enmalle fija continental_Ariopsis canteri;0,16;1,3
Caño Grande_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;0,25;3,2
El Puente_Atarraya - Atarraya_Sorubim cuspicaudus;0,5;3,95
El Puente_Red de enmalle - Red de encierro chuchaca_Pseudoplatystoma magdaleniatum;1,5;1,5
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,62;15,4
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,46;4,74
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;1,13;45,49
Belén (San Marcos)_Atarraya - Atarraya_Prochilodus magdalenae;1,4;30
Belén (San Marcos)_Atarraya - Atarraya_Cyphocharax magdalenae;4,53;55,3
San Nicolás (Nechí)_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;1,03;11,43
San Nicolás (Nechí)_Palangre o Espinel - Palangre calandrio_Ageneiosus pardalis;0,82;8,3
Belén (San Marcos)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,07;19,78
Belén (San Marcos)_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;1,03;19,62
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,2;29,99
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,17;3,61
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;0,21;2,9
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;0,15;4
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,37;6,4
San Nicolás (Nechí)_Atarraya - Atarraya_Prochilodus magdalenae;1,42;32,82
San Nicolás (Nechí)_Atarraya - Atarraya_Hoplias malabaricus;0,45;5,08
San Nicolás (Nechí)_Atarraya - Atarraya_Caquetaia kraussii;0,15;4,05
San Nicolás (Nechí)_Atarraya - Atarraya_Ctenolucius hujeta;0,98;2,92
San Nicolás (Nechí)_Atarraya - Atarraya_Oreochromis niloticus;0,49;3,63
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;0,5;10,2
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Prochilodus magdalenae;5,9;53,69
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Hoplias malabaricus;3,28;6
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Pimelodus yuma;2;2,9
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Sorubim cuspicaudus;0,72;2,91
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Cyphocharax magdalenae;8,4;158
Belén (San Marcos)_Trampas o Nasas - Nasas de Peces_Megaleporinus muyscorum;1;8,3
Belén (San Marcos)_Trampas o Nasas - Nasas de Peces_Pimelodus yuma;11,23;35,17
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,26;2,9
San Nicolás (Nechí)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma magdaleniatum;2;22,59
Palo Alto_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3,5;33
Palo Alto_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;1;4,8
Palo Alto_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1;8,1
Palo Alto_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;1;11,9
San Nicolás (Nechí)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,45;21,1
Palo Alto_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;5,45;20,75
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,5;172,18
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;0,37;16,96
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;0,7;19,68
Palo Alto_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;1,3;6,85
Palo Alto_Red de enmalle - Red de encierro chuchaca_Prochilodus magdalenae;7,9;48,65
Palo Alto_Red de enmalle - Red de encierro chuchaca_Megaleporinus muyscorum;2,3;8,8
Palo Alto_Red de enmalle - Red de encierro chuchaca_Sorubim cuspicaudus;0,85;10,43
Palo Alto_Red de enmalle - Red de encierro chuchaca_Pimelodus yuma;4,58;5,92
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,99;17,72
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;0,92;15,05
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,93;16,22
Palo Alto_Red de enmalle - Red de encierro chuchaca_Cyphocharax magdalenae;12;22
Palo Alto_Red de enmalle - Red de encierro chuchaca_Hoplias malabaricus;2,62;5
Santropel - San Sebastián_Atarraya - Atarraya_Hoplias malabaricus;0,11;4,45
Santropel - San Sebastián_Atarraya - Atarraya_Cyphocharax magdalenae;1,19;29,4
Santropel - San Sebastián_Atarraya - Atarraya_Caquetaia kraussii;0,33;15,48
Santropel - San Sebastián_Atarraya - Atarraya_Prochilodus magdalenae;0,61;24,12
Santropel - San Sebastián_Atarraya - Atarraya_Rhamdia guatemalensis;0,21;1,56
Palo Alto_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;0,5;3
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;1,5;59,57
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,4;11,6
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;0,16;4
