SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;10;100;0,07;0,09
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Larimus spp.; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Mugil cephalus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Otros menudo; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Bagre panamensis; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Sciades dowii; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius; ; ; ; 
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus; ; ; ; 
Puente Chambacú - Río Jella_Línea de mano - Línea de mano correteo curricán o trolling_Seriola rivoliana;1;7;6;20,5
El Ferry_Red de enmalle - Red de enmalle fija continental río_Curimata mivartii;8;65;0,07;0,14
El Ferry_Red de enmalle - Red de enmalle fija continental río_Cynopotamus magdalenae;4;29;0,12;0,17
El Ferry_Red de enmalle - Red de enmalle fija continental río_Megaleporinus muyscorum;4;52;0,13;0,19
Bocanegra_Red de enmalle - Red de enmalle fija marina_Mugil incilis;4;55;0,12;0,29
Bocanegra_Red de enmalle - Red de enmalle fija marina_Penaeus monodon;1;11;0,07;0,11
Bocanegra_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;1;13;0,13;6
Bocanegra_Red de enmalle - Red de enmalle fija marina_Chaetodipterus faber;1;1;0,13;0,24
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus peru;1;8;0,5;3
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;16;300;0,06;0,09
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;2;88;0,73;5,95
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;1;26;1;7,56
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Mustelus lunulatus;1;19;0,8;8,55
San Miguel (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma platynemum;1;11;2,56;4,53
La Playa (El Banco)_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;1;5;0,67;4,5
La Playa (El Banco)_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;1;5;0,55;1,25
La Playa (El Banco)_Chinchorro continental - Chinchorra_Ageneiosus pardalis;1;4;0,5;1,5
La Playa (El Banco)_Chinchorro continental - Chinchorra_Prochilodus magdalenae;1;19;0,17;0,55
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;6;263;0,06;0,11
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4;96;0,11;0,18
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;18;410;0,04;0,07
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;4;39;0,07;0,12
El Ferry_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;1;13;0,23;2,81
El Ferry_Chinchorro continental - Chinchorra_Prochilodus magdalenae;4;288;0,12;0,41
El Ferry_Chinchorro continental - Chinchorra_Megaleporinus muyscorum;8;93;0,13;0,19
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;6;120;0,12;0,28
Poportín_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;13;60;0,16;0,29
Poportín_Red de enmalle - Red de enmalle fija marina_Caranx crysos;3;23;0,18;0,5
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4;115;0,15;0,39
El Ferry_Chinchorro continental - Chinchorra_Plagioscion magdalenae;1;25;0,17;1,5
El Ferry_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;1;9;0,25;1,26
El Ferry_Chinchorro continental - Chinchorra_Pimelodus yuma;8;169;0,05;0,11
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Sciades proops;1;26;0,29;3,5
La Punta_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;11;67;0,09;0,14
La Punta_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;1;16;0,14;3,48
La Punta_Red de enmalle - Red de enmalle fija marina_Mugil incilis;3;33;0,12;0,44
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;6;49;0,06;0,1
Bocanegra_Red de enmalle - Red de enmalle de encierro marina_Eugerres plumieri;1;39;0,06;0,25
La Mata_Red de enmalle - Red de enmalle fija continental ciénaga_Curimata mivartii;3;16;0,12;0,18
La Punta_Buceo - Buceo de caracol_Melongena melongena;118;283;0,06;0,1
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;12;204;0,06;0,09
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;7;110;0,13;0,22
Santropel - San Sebastián_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;16;247;0,05;0,07
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;1;8;2,5;5,25
La Punta_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;1;8;0,36;2
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;1;2;0,5;2,5
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Seriola rivoliana;1;13;3,08;19,22
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Caranx caninus;1;21;1,55;6
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Plagioscion magdalenae;1;2;0,5;2
Caño Grande_Atarraya - Atarraya_Prochilodus magdalenae;5;72;0,14;0,29
El Ferry_Chinchorro continental - Chinchorra_Curimata mivartii;4;47;0,07;0,14
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;3;23;0,25;0,36
