SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Balistes vetula;159;159;0,33;0,33
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Calamus penna;5;49;0,24;0,47
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Haemulon plumieri;5;170;0,2;0,34
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Lachnolaimus maximus;1;7;0,5;2,03
Puerto Abajo (Dibulla)_Trampas o Nasas - Nasas de Peces_Ocyurus chrysurus;5;7;0,32;0,62
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;9;75;0,06;0,08
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;2;2;0,88;0,88
Mayapo_Red de enmalle - Red de enmalle fija marina_Elops smithi;2;5;0,59;1,6
Mayapo_Red de enmalle - Red de enmalle fija marina_Lutjanus griseus;2;7;0,3;0,95
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Caranx hippos;3;39;0,09;0,35
Rincón del Mar_Línea de mano - Línea de mano fija marina_Mycteroperca rubra;1;1;0,34;1,91
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Kyphosus sectatrix;4;61;0,39;0,61
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Caranx latus;4;263;0,11;2,34
Rincón del Mar_Línea de mano - Línea de mano fija marina_Haemulon bonariense;8;9;0,13;0,14
Rincón del Mar_Línea de mano - Línea de mano fija marina_Caranx hippos;1;9;0,25;1,89
Rincón del Mar_Buceo - Buceo marino mixto_Lutjanus purpureus;1;10;0,38;2
Rincón del Mar_Buceo - Buceo marino mixto_Scomberomorus cavalla;1;3;0,75;2,19
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Mugil incilis;1;6;0,27;1
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;4;17;0,13;0,3
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Sciades proops;1;3;0,5;5
Morrosquillo_Línea de mano - Línea de mano correteo curricán o trolling_Scomberomorus brasiliensis;1;14;0,25;3,87
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Sphyraena guachancho;2;13;0,3;0,76
Morrosquillo_Línea de mano - Línea de mano fija marina_Bairdiella ronchus;1;9;0,15;0,75
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Caranx hippos;1;6;0,64;8,49
Las Flores_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;2;16;0,74;1,71
Las Flores_Palangre o Espinel - Palangre o espinel de fondo_Notarius grandicassis;1;5;1,44;5,85
Mayapo_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;2;14;0,14;0,92
Dorada_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;1;3;0,23;0,32
Mayapo_Trampas o Nasas - Nasas de Peces_Hyporthodus nigritus;1;2;1,02;2,64
Mayapo_Trampas o Nasas - Nasas de Peces_Eucinostomus melanopterus;4;13;0,21;0,31
Yaguará_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;1;12;0,18;0,6
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Lutjanus synagris;1;2;0,54;1,41
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Acanthocybium solandri;1;1;8,6;15,67
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Istiophorus platypterus;1;4;15,6;21,6
Jodedor_Red de enmalle - Red de enmalle fija marina_Micropogonias furnieri;8;133;0,14;0,43
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Curimata mivartii;3;128;0,14;0,26
Milagros de la Mar_Red de enmalle - Red de enmalle fija marina_Macrodon mordax; ; ; ; 
Milagros de la Mar_Red de enmalle - Red de enmalle fija marina_Sphyraena idiastes;7;7;0,29;0,29
Milagros de la Mar_Red de enmalle - Red de enmalle fija marina_Scomberomorus sierra;2;2;1,5;1,5
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;1;20;0,11;0,17
La Punta_Red de enmalle - Red de enmalle fija marina_Micropogonias furnieri;5;28;0,07;0,22
La Punta_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;2;10;0,97;1,66
La Punta_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus griseus;1;2;0,94;3,63
La Punta_Buceo - Buceo marino mixto_Lobotes surinamensis;1;3;1,36;3,2
Puerto Chaparro_Atarraya - Atarraya_Brycon moorei;1;2;1,8;2,45
Guineal_Palangre o Espinel - Palangre o espinel de fondo_Hypanus dipterurus;1;1;15;15
Puerto Abajo (Dibulla)_Chinchorro marino - Chinchorro camaronero_Penaeus monodon;7;30;0,04;0,13
Puerto del Cerrito_Red de enmalle - Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;25;435;0,05;0,08
Puerto de Gamarra_Atarraya - Atarraya_Pimelodus yuma;618;696;0,05;0,08
Puerto de Gamarra_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;2;18;0,77;2
Santuario_Atarraya - Atarraya_Pimelodus albofasciatus;50;50;0,15;0,15
Santuario_Atarraya - Atarraya_Ageneiosus inermis; ; ; ; 
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;1;94;0,13;0,23
Puerto de Gamarra_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;15;1,51;10,59
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii; ; ; ; 
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus; ; ; ; 
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus; ; ; ; 
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Kyphosus sectatrix;2;2;0,12;0,12
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Centropomus undecimalis;1;5;0,5;6,5
Barrio Chino_Atarraya - Atarraya_Hoplias malabaricus;1;12;0,22;0,7
Barrio Chino_Atarraya - Atarraya_Cynopotamus magdalenae;1;7;0,12;0,28
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Lutjanus synagris;2;253;0,05;0,39
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Chaetodipterus faber;2;45;0,12;0,75
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;6;0,4;1,52
Barrio Chino_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;10;0,36;6,92
Las Delicias_Red de enmalle - Red de enmalle de deriva marina_Istiophorus platypterus;2;2;16;16
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Harengula humeralis;424;3300;0,02;0,02
Mapiripán_Red de enmalle - Red de enmalle de deriva continental_Panaque nigrolineatus;2;3;1,58;2,07
Puerto López_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;3;27;0,1;0,12
Caño Grande_Red de enmalle - Red de enmalle fija continental_Mugil incilis;1;10;0,13;0,42
Bahía de Cispatá_Palangre o Espinel - Palangre o espinel de fondo_Rachycentron canadum;1;4;0,62;4,5
Comercializadores independientes (Guapi)_Red de enmalle - Red de enmalle fija marina_Mugil cephalus; ; ; ; 
Comercializadores independientes (Guapi)_Red de enmalle - Red de enmalle fija marina_Chaetodipterus zonatus; ; ; ; 
Comercializadores independientes (Guapi)_Red de enmalle - Red de enmalle fija marina_Bagre panamensis; ; ; ; 
Clarinetero_Atarraya - Atarraya_Pseudopimelodus sp. 4;14;249;0,18;0,25
Chicopez_Red de enmalle - Red de enmalle fija marina_Cynoscion albus; ; ; ; 
Punta Bonita_Palangre o Espinel - Palangre o espinel de fondo_Sphyraena ensis; ; ; ; 
Caño Mina_Red de enmalle - Red de enmalle de deriva continental_Sorubimichthys planiceps;1;1;4,78;14,05
Punta Bonita_Chinchorro marino - Chinchorro marino_Cynoscion phoxocephalus; ; ; ; 
El Puerto (Puerto Carreño)_Palangre o Espinel - Palangre calandrio_Plagioscion squamosissimus;1;11;1,2;1,43
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Haemulon steindachneri;126;222;0,14;0,17
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Haemulon plumieri;68;240;0,25;0,25
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;1;3;1,91;11,82
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Exallodontus aguanai;16;21;0,11;0,14
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Pimelodina flavipinnis;7;7;0,36;0,36
La T_Red de enmalle - Red de enmalle de encierro marina_Acanthurus chirurgus; ; ; ; 
La T_Red de enmalle - Red de enmalle de encierro marina_Seriola zonata;1;13;0,33;2,27
La T_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;1;6;0,51;1,85
La T_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus cavalla;1;6;1,05;9,7
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Istiophorus platypterus;1;2;9,38;25,5
La T_Red de enmalle - Red de enmalle de encierro marina_Opisthonema oglinum; ; ; ; 
La T_Red de enmalle - Red de enmalle de encierro marina_Haemulon aurolineatum; ; ; ; 
La T_Red de enmalle - Red de enmalle de encierro marina_Lutjanus synagris;4;19;0,16;1,36
Playa de Arusí_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;1;4;1,25;7,05
Playa de Arusí_Línea de mano - Línea de mano fija marina_Trachinotus paitensis;2;6;0,67;2,17
Cangrejito_Red de enmalle - Red de enmalle fija marina_Haemulon flavolineatum;6;6;0,28;0,28
Cangrejito_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;1;3;0,5;1
Playa Pescadores - Capurganá_Línea de mano - Línea de mano fija marina_Lutjanus analis;1;10;1;11,75
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Mycteroperca bonaci;1;2;4;25,5
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Acanthocybium solandri;1;1;9,15;23,1
Cangrejito_Línea de mano - Línea de mano fija marina_Caranx crysos;4;15;0,18;0,4
Muelle Principal (Puerto Leguízamo)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma punctifer;1;5;2,52;9,3
Muelle Principal (Puerto Leguízamo)_Palangre o Espinel - Palangre calandrio_Ageneiosus inermis; ; ; ; 
Muelle Principal (Puerto Leguízamo)_Palangre o Espinel - Palangre calandrio_Mylossoma albiscopum; ; ; ; 
Muelle Principal (Puerto Leguízamo)_Palangre o Espinel - Palangre calandrio_Plagioscion squamosissimus; ; ; ; 
Muelle Principal (Puerto Leguízamo)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma punctifer;1;3;2,15;10,17
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Cynopotamus magdalenae;4;32;0,12;0,19
Taganga_Chinchorro marino - Chinchorro velao_Decapterus macarellus; ; ; ; 
Desembarcadero (Murindó)_Red de enmalle - Red de enmalle fija continental_Sternopygus aequilabiatus;2;8;0,56;0,71
Puerto López_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;4;154;0,11;0,14
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Epinephelus spp.;1;12;6,74;23,8
Muelle Hong Kong_Línea de mano - Línea de mano fija continental_Pseudoplatystoma tigrinum;2;2;8;8
Muelle Hong Kong_Línea de mano - Línea de mano fija continental_Brachyplatystoma juruense;1;4;2,47;4,14
Santa Clara_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;11;0,26;1
La Tagua_Palangre o Espinel - Palangre calandrio_Leiarius marmoratus;1;2;1,31;4,09
Puente Chambacú - Río Jella_Línea de mano - Línea de mano correteo curricán o trolling_Carcharhinus falciformis;1;1;39;39
Codis_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;5;1,37;6,1
Codis_Atarraya - Atarraya_Selene setapinnis;14;42;0,13;0,21
La Tagua_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma tigrinum;1;4;4,37;14,23
La Tagua_Palangre o Espinel - Palangre calandrio_Aguarunichthys inpai;1;2;1,53;3,56
Codis_Línea de mano - Línea de mano fija marina_Centropomus undecimalis;1;7;0,54;4,41
Codis_Línea de mano - Línea de mano fija marina_Sciades proops;1;7;0,54;6,48
Codis_Línea de mano - Línea de mano fija marina_Caranx latus;2;13;0,28;2,73
Codis_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;2;33;0,09;0,82
Codis_Atarraya - Atarraya_Megalops atlanticus;1;4;0,9;7,45
Codis_Atarraya - Atarraya_Centropomus ensiferus;3;3;0,67;0,67
Puerto de desembarco (Mitú)_Línea de mano - Línea de mano fija continental_Cichla monoculus;1;8;0,46;3
Puerto de desembarco (Mitú)_Línea de mano - Línea de mano fija continental_Ageneiosus inermis;4;14;0,16;0,9
Puerto de desembarco (Mitú)_Arpón - Arpón_Plagioscion squamosissimus;1;4;0,5;0,88
Puerto de desembarco (Mitú)_Arpón - Arpón_Hoplias malabaricus;8;30;0,15;0,4
Mayapo_Línea de mano - Línea de mano fija marina_Haemulon aurolineatum; ; ; ; 
Puerto de desembarco (Mitú)_Arpón - Arpón_Cichla orinocensis;1;3;0,66;2,37
Puerto de desembarco (Mitú)_Arpón - Arpón_Leporinus agassizii;8;62;0,18;0,35
Pesquera Aspabab_Red de enmalle - Red de enmalle fija marina_Lobotes pacifica;1;6;2;11,19
Pesquera Aspabab_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;1;28;0,47;2,25
Pesquera Aspabab_Red de enmalle - Red de enmalle fija marina_Bagre pinnimaculatus;1;19;2,19;4
Locadía_Línea de mano - Línea de mano fija marina_Sciades proops;1;4;0,17;4,15
Arquimedes_Atarraya - Atarraya_Centropomus undecimalis;2;20;0,12;0,43
Isla Fuerte_Línea de mano - Línea de mano fija marina_Sparisoma chrysopterum;2;7;0,28;0,66
Isla Fuerte_Línea de mano - Línea de mano fija marina_Scomberomorus regalis;1;6;0,65;1,66
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Lutjanus analis;1;6;0,42;4,89
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Caranx bartholomaei; ; ; ; 
Galería (Guapi)_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus; ; ; ; 
La Sierpe - Bahía Málaga_Línea de mano - Línea de mano fija marina_Lutjanus colorado; ; ; ; 
La Sierpe - Bahía Málaga_Línea de mano - Línea de mano fija marina_Lutjanus argentiventris; ; ; ; 
La Sierpe - Bahía Málaga_Línea de mano - Línea de mano fija marina_Centropomus medius; ; ; ; 
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Haemulon aurolineatum; ; ; ; 
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Orthopristis ruber;4;6;0,2;0,25
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Sturisomatichthys panamensis;1;7;0,25;0,37
Chamón_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae; ; ; ; 
Chamón_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius; ; ; ; 
Chamón_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis; ; ; ; 
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Pseudocurimata lineopunctata;1;5;0,08;0,15
San Antonio de Padua_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;1;2,59;11,7
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Oligoplites saurus;3;8;0,16;0,41
Las Delicias_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus brasiliensis; ; ; ; 
Las Delicias_Red de enmalle - Red de enmalle fija marina_Haemulopsis corvinaeformis;7;28;0,09;0,16
Las Delicias_Red de enmalle - Red de enmalle fija marina_Larimus breviceps;7;19;0,1;0,18
Taganga_Buceo - Buceo de peces_Caranx latus; ; ; ; 
Taganga_Buceo - Buceo de peces_Euthynnus alletteratus; ; ; ; 
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Seriola rivoliana;4;7;0,23;0,81
El Llanito_Atarraya - Atarraya_Curimata mivartii;8;51;0,12;0,19
El Llanito_Atarraya - Atarraya_Plagioscion magdalenae;1;11;0,74;2,67
Milagros de la Mar_Palangre o Espinel - Palangre o espinel de fondo_Otros pescadilla; ; ; ; 
Milagros de la Mar_Palangre o Espinel - Palangre o espinel de fondo_Lepophidium negropinna;8;10;0,63;0,79
Timbiquí_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;13;60;0,58;1,31
Timbiquí_Red de enmalle - Red de enmalle fija marina_Bagre pinnimaculatus;13;49;0,59;1,25
Timbiquí_Red de enmalle - Red de enmalle fija marina_Mugil cephalus;25;88;0,39;0,54
Timbiquí_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;14;51;0,52;0,69
Timbiquí_Red de enmalle - Red de enmalle fija marina_Larimus spp.;18;58;0,39;0,62
Puerto Real - Saloa_Red de enmalle - Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;41;573;0,05;0,06
Chacón_Red de enmalle - Red de enmalle fija marina_Centropomus armatus;14;45;0,45;0,8
Chacón_Red de enmalle - Red de enmalle fija marina_Centropomus medius;12;52;0,48;0,77
Chacón_Red de enmalle - Red de enmalle fija marina_Notarius troschelii;11;57;0,58;1,33
Chacón_Red de enmalle - Red de enmalle fija marina_Mugil cephalus;24;78;0,41;0,72
Pizarro_Red de enmalle - Red de enmalle camaronera_Caranx caninus;1;41;0,18;2,6
Milagros de la Mar_Palangre o Espinel - Palangre o espinel de fondo_Hemanthias signifer; ; ; ; 
Vigía_Red de enmalle - Red de enmalle zangarreo_Cynoscion albus; ; ; ; 
Vigía_Red de enmalle - Red de enmalle zangarreo_Lobotes pacifica; ; ; ; 
Doña Ana_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;8;0,3;2,05
Timbiquí_Red de enmalle - Red de enmalle fija marina_Lutjanus peru;32;32;0,69;0,69
Timbiquí_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus;14;56;0,54;0,65
Pizarro_Red de enmalle - Red de enmalle camaronera_Polydactylus approximans;4;109;0,23;0,38
Pizarro_Red de enmalle - Red de enmalle camaronera_Umbrina xanti;2;26;0,25;0,5
Pizarro_Red de enmalle - Red de enmalle camaronera_Centropomus armatus;2;2;0,5;0,5
Pizarro_Red de enmalle - Red de enmalle camaronera_Paralonchurus dumerilii;24;24;0,25;0,25
Milagros de la Mar_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;1;3;1;6,95
Milagros de la Mar_Palangre o Espinel - Palangre o espinel de fondo_Pontinus sierra; ; ; ; 
Mulatos_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;2;3,7;31,3
Costilla_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1;16;0,15;0,5
La Raya_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;3;0,4;2
Santa Clara_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;8;9;0,11;0,12
La Casa del Pescador_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus; ; ; ; 
La Casa del Pescador_Red de enmalle - Red de enmalle fija marina_Lutjanus guttatus; ; ; ; 
Zapata_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;1;3;1,68;16,05
San Luis_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;1;16;0,12;0,27
Casco urbano Roma_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;1;42;0,07;0,11
La Raya_Red de enmalle - Red de enmalle de deriva continental_Ichthyoelephas longirostris;1;2;0,53;0,95
Aparca_Atarraya - Atarraya_Prochilodus rubrotaeniatus;8;40;0,13;0,39
Aparca_Atarraya - Atarraya_Salminus hilarii;3;14;0,23;0,55
Aparca_Atarraya - Atarraya_Hypostomus oculeus;3;21;0,15;0,27
Aparca_Atarraya - Atarraya_Brycon hilarii;1;5;0,7;2,05
Puerto de las Canoas (Puerto Berrío)_Atarraya - Atarraya rastra_Brycon moorei;1;3;1,53;2,32
Puerto de las Canoas (Puerto Berrío)_Atarraya - Atarraya rastra_Panaque cochliodon;4;25;0,34;0,57
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Mugil cephalus; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Anisotremus spp.; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Caranx caninus; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Ariopsis seemanni; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Lutjanus argentiventris; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Kyphosus elegans; ; ; ; 
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Stellifer microps;1500;1500;0,01;0,01
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra_Salminus affinis;1;8;0,97;2,3
La Raya_Red de enmalle - Red de enmalle fija continental_Brycon moorei;1;1;0,4;3,09
Campo alegre_Red de enmalle - Red de enmalle fija continental_Trachelyopterus insignis;1;12;0,14;0,2
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus argentiventris; ; ; ; 
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Balistes polylepis; ; ; ; 
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii; ; ; ; 
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus spp.; ; ; ; 
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Anisotremus spp.; ; ; ; 
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Notarius troschelii; ; ; ; 
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Oligoplites spp.; ; ; ; 
Bocas de Seheve_Atarraya - Atarraya_Ageneiosus pardalis;1;4;0,29;0,42
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Mugil cephalus; ; ; ; 
Miramar - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Anisotremus spp.; ; ; ; 
Villanueva_Red de enmalle - Red de enmalle de encierro continental_Plagioscion magdalenae;2;10;0,37;0,84
Villanueva_Red de enmalle - Red de enmalle de encierro continental_Pseudoplatystoma magdaleniatum;2;37;0,32;1,25
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Ariopsis seemanni; ; ; ; 
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius; ; ; ; 
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii; ; ; ; 
La Sierpe - Bahía Málaga_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado; ; ; ; 
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Menticirrhus spp.; ; ; ; 
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Mugil cephalus; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Lutjanus argentiventris; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Caranx caninus; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Ablennes hians; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Kyphosus elegans; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle fija marina_Lutjanus colorado; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Polydactylus opercularis; ; ; ; 
La Sierpe - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Ablennes hians; ; ; ; 
Puerto Barrio El Progreso_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;12;0,58;1,74
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Ariopsis seemanni; ; ; ; 
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius; ; ; ; 
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Lutjanus argentiventris; ; ; ; 
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Caranx caninus; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Cynoscion squamipinnis; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Carcharhinus leucas; ; ; ; 
La Plata - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Lutjanus colorado; ; ; ; 
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus; ; ; ; 
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii; ; ; ; 
Mangaña - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus; ; ; ; 
Mangaña - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Ablennes hians; ; ; ; 
Mangaña - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Diapterus brevirostris; ; ; ; 
Mangaña - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Anisotremus spp.; ; ; ; 
Mangaña - Bahía Málaga_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii; ; ; ; 
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus; ; ; ; 
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii; ; ; ; 
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus; ; ; ; 
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion phoxocephalus; ; ; ; 
La Raya_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;1;4;0,38;4,67
Barrio La Unión_Trampas o Nasas - Nasa de jaibas_Callinectes sapidus;80;90;0,12;0,15
Mercado (Lorica)_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;2;38;0,05;0,09
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Sciades dowii; ; ; ; 
San Nicolás (Nechí)_Palangre o Espinel - Palangre calandrio_Ageneiosus pardalis;1;7;0,62;1,71
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Elops smithi;1;7;1,42;4
Mercado (Lorica)_Atarraya - Atarraya_Sternopygus aequilabiatus;1;2;0,2;0,46
San Nicolás (Nechí)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma magdaleniatum;1;7;1,03;6,86
Isla Fuerte_Línea de mano - Línea de mano fija marina_Caranx ruber;5;8;0,35;0,37
