SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Curillo_ Palangre calandrio_Pimelodus ornatus;0,34000001;0,687999988
Curillo_ Palangre calandrio_Calophysus macropterus;0,767500004;2,159999961
Pesquera Aspabab_ Red de enmalle de deriva marina_Lutjanus guttatus;0,316257911;0,79375
Pesquera Aspabab_ Red de enmalle de deriva marina_Umbrina xanti;0,360917879;0,505210511
Pesquera Aspabab_ Red de enmalle de deriva marina_Macrodon mordax;0,375078951;0,749583316
Pesquera Aspabab_ Red de enmalle de deriva marina_Nebris occidentalis;0,2625;0,456043956
Pesquera Aspabab_ Red de enmalle de deriva marina_Sphyraena ensis;0,25;1
Pesquera Aspabab_ Red de enmalle de deriva marina_Peprilus spp.;0,118571429;0,290133934
Pesquera Aspabab_ Red de enmalle de deriva marina_Larimus argenteus;0,246428575;0,513157895
Pesquera Aspabab_ Red de enmalle de deriva marina_Polydactylus opercularis;0,315625;0,537379808
Pesquera Aspabab_ Red de enmalle de deriva marina_Centropomus viridis;5,002499914;8,915
Pesquera Aspabab_ Red de enmalle de deriva marina_Caranx caninus;0,18833333;3,326666689
Pesquera Aspabab_ Red de enmalle de deriva marina_Oligoplites altus;0,406666664;1,726666621
Pesquera Aspabab_ Red de enmalle de deriva marina_Parapsettus panamensis;0,304945055;0,637499988
Cangrejito_ Palangre o espinel de fondo_Lutjanus synagris;0,30625;0,620833327
Cangrejito_ Palangre o espinel de fondo_Conodon nobilis;0,2;0,329142851
Cangrejito_ Palangre o espinel de fondo_Lutjanus analis;0,358749996;4,441666667
Punta de blanco_ Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,220000005;1,200000048
Punta de blanco_ Red de enmalle fija continental_Triportheus magdalenae;0,111985714;0,133333335
El Llanito_ Palangre calandrio_Prochilodus magdalenae;0,235000001;1,038051292
Doña Ana_ Palangre calandrio_Sorubim cuspicaudus;0,387750014;0,937499998
Doña Ana_ Palangre calandrio_Hoplias malabaricus;0,267333339;0,318666673
El Puente_ Red de encierro rastra_Ageneiosus pardalis;0,354999994;0,442499991
Santa Clara_ Red de enmalle fija continental_Curimata mivartii;0,125;0,20846667
Macurutú - Saloa_ Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;0,05;0,082103825
La Boquilla_ Chinchorro marino_Conodon nobilis;0,145758929;0,25
Caño Mina_ Red de enmalle de deriva continental_Leiarius marmoratus;2,04375;3,325
Puerto Colorado_ Red de enmalle de deriva continental_Megaleporinus muyscorum;0,269842071;0,389766661
Puerto Colorado_ Red de enmalle de deriva continental_Cynopotamus magdalenae;0,203812495;0,239675929
Santuario_ Atarraya_Pseudoplatystoma punctifer;3,13499999;8,019999981
Berrugas_ Línea de mano fija marina_Caranx ruber;0,2;0,2
Río San Miguel_ Línea de mano fija continental_Piaractus brachypomus;0,599999984;0,599999984
Margento_ Red de enmalle de deriva continental_Prochilodus magdalenae;0,262828127;0,34359091
Margento_ Red de enmalle de deriva continental_Megaleporinus muyscorum;0,314999998;0,314999998
Berrugas_ Chinchorro marino_Selene setapinnis;0,333333333;0,333333333
Clarinetero_ Red de enmalle de deriva continental_Leiarius marmoratus;3,214285714;3,214285714
Clarinetero_ Red de enmalle de deriva continental_Piaractus orinoquensis;3,19047619;3,19047619
Bahía de Santa Marta_ Línea de mano correteo curricán o trolling_Caranx hippos;0,996833356;2,799833425
Bahía de Santa Marta_ Línea de mano correteo curricán o trolling_Caranx latus;0,180749996;1,283749968
Champaché_ Línea de mano fija marina_Selar crumenophthalmus;0,110044646;0,16542208
Barrio Chino_ Red de enmalle de deriva continental_Sternopygus aequilabiatus;0,716666667;1,37749998
Río San Miguel_ Red de enmalle fija continental_Schizodon fasciatus;0,361666655;0,875
Barrio Chino_ Red de enmalle de deriva continental_Ageneiosus pardalis;0,341499999;2,200000048
Barrio Chino_ Chinchorro continental_Brycon moorei;1,399999976;1,399999976
San Miguel (Puerto Gaitán)_ Red de enmalle de deriva continental_Zungaro zungaro;3,425;41,57249928
San Miguel (Puerto Gaitán)_ Red de enmalle de deriva continental_Phractocephalus hemioliopterus;6,5;9,625
Morrosquillo_ Línea de mano fija marina_Trichiurus lepturus;0,266662019;0,725543478
Morrosquillo_ Línea de mano fija marina_Haemulon plumieri;0,116764706;0,254166667
Berrugas_ Red de enmalle de encierro marina_Selene setapinnis;0,318181818;0,318181818
Berrugas_ Red de enmalle de encierro marina_Lutjanus apodus;0,166666667;0,166666667
Barrio Chino_ Red de enmalle fija continental_Colossoma macropomum;0,315892861;1,284999967
Barrio La Unión_ Palangre o espinel de fondo_Ariopsis canteri;0,4375;1,9
Pizarro_ Palangre o espinel de fondo_Lutjanus peru;4;4
Pizarro_ Palangre o espinel de fondo_Lutjanus guttatus;0,438538817;1,634028892
Pizarro_ Palangre o espinel de fondo_Carcharhinus falciformis;2,555555556;2,555555556
El Muelle (Puerto López)_ Chinchorro continental_Pimelodus blochii;0,125;0,143336237
El Muelle (Puerto López)_ Chinchorro continental_Prochilodus mariae;0,333333333;1
El Muelle (Puerto López)_ Chinchorro continental_Hemisorubim platyrhynchos;0,224104478;0,676666657
Barrio Chino_ Palangre calandrio_Hoplias malabaricus;0,324999988;0,324999988
Villanueva_ Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,300000012;0,590000021
Nueva Colonia_ Red de enmalle fija marina_Epinephelus itajara;4,275;10,35
Barrio La Unión_ Red de enmalle fija marina_Caranx crysos;0,083333333;0,190750916
Puerto Rico [Meta]_ Atarraya_Mylossoma albiscopum;0,407692322;0,407692322
Yaguará_ Red de enmalle fija continental_Prochilodus magdalenae;0,300000012;0,75
Yaguará_ Chinchorra_Prochilodus magdalenae;0,265;0,441000007
La Mata_ Red de enmalle fija continental ciénaga_Caquetaia kraussii;0,064516129;0,083333333
Guazo_ Red de enmalle de deriva continental_Triportheus magdalenae;0,061356249;0,148000002
La Mata_ Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;0,05285524;0,071008403
La Mata_ Red de enmalle fija continental ciénaga_Pimelodus yuma;0,067567568;0,073529412
El Roto_ Red de enmalle fija marina_Mycteroperca bonaci;1,992000002;9,75
Mayapo_ Nasas de Peces_Eucinostomus melanopterus;0,214285714;0,30952381
La Raya_ Red de enmalle de deriva continental_Salminus affinis;0,304000008;1,279999971
Pizarro_ Red de enmalle de deriva marina_Rhencus macracanthus;0,229059829;0,42
El Roto_ Red de enmalle fija marina_Bagre filamentosus;0,4;1,28
Mayapo_ Red de enmalle fija marina_Bothus lunatus;0,5;1,5
Taburetera_ Red de enmalle fija continental_Oreochromis niloticus;0,263416674;1,232000017
La Raya_ Atarraya_Curimata mivartii;0,164058438;0,221749996
Cartagena del Chairá_ Palangre calandrio_Brachyplatystoma filamentosum;8,05;40,75
Cartagena del Chairá_ Palangre calandrio_Pseudoplatystoma punctifer;2;9,519999886
Manaure Centro_ Red de enmalle de encierro marina_Chloroscombrus chrysurus;0,142857143;0,142857143
Las Delicias_ Palangre o espinel de fondo_Epinephelus adscensionis;4,20625;27
Las Delicias_ Palangre o espinel de fondo_Lutjanus analis;1,62;6,5
El Roto_ Red de enmalle fija marina_Haemulopsis corvinaeformis;1,809999943;1,809999943
El Roto_ Red de enmalle fija marina_Joturus pichardi;1,870500004;2,746499932
Puerto Bello_ Red de enmalle fija continental_Colossoma macropomum;0,38875;6
Barrio Abajo (Ciénaga)_ Red de enmalle fija marina_Menticirrhus americanus;0,111458333;0,228125
Manaure Centro_ Red de enmalle de encierro marina_Sphyraena barracuda;4,546428571;7,87406015
Caño Lobo_ Atarraya_Lutjanus purpureus;0,285714286;1,5625
Caño Lobo_ Red de enmalle de encierro marina_Cathorops mapale;0,1;0,124137931
Nueva Colonia_ Red de enmalle fija marina_Colossoma macropomum;4;5,9
Puerto Principal (Leticia)_ Red de enmalle fija continental_Pinirampus pirinampu;0,490540541;1,308333333
Puerto Principal (Leticia)_ Red de enmalle fija continental_Semaprochilodus insignis;0,209455554;0,295166976
Puerto Asure_ Palangre calandrio_Sorubim cuspicaudus;0,269769238;0,625
Puerto Asure_ Palangre calandrio_Pseudoplatystoma magdaleniatum;0,289499992;0,905000015
Playa Necoclí_ Red de enmalle fija marina campaña_Cynoscion virescens;0,352941176;0,7
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Brotula ordwayi;0,723689397;4,310526316
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Coryphaena hippurus;2,175;8,65
Cangrejito_ Red de enmalle fija marina_Archosargus rhomboidalis;0,132500002;0,214285714
Arrimadero La Unión_ Palangre o espinel de fondo_Caranx caninus;0,487276786;4,658333333
Arrimadero La Unión_ Red de enmalle fija marina_Kyphosus ocyurus;0,311097874;0,654166667
Arrimadero La Unión_ Red de enmalle fija marina_Caranx sexfasciatus;0,413189799;1,419777895
Arrimadero La Unión_ Línea de mano fija marina_Nematistius pectoralis;0,9125;8,175
Arrimadero La Unión_ Línea de mano fija marina_Tylosurus fodiator;0,788031915;3,65
Jodedor_ Red de enmalle fija marina_Megalops atlanticus;4;4
Jodedor_ Línea de mano fija marina_Sphyraena guachancho;0,401136364;0,565357133
Belén (San Marcos)_ Red de enmalle fija continental_Sorubim cuspicaudus;0,345833329;1,042499959
Belén (San Marcos)_ Red de enmalle fija continental_Oreochromis niloticus;0,200000003;0,425000012
Bocas de Seheve_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,394499992;3,55
Caño Lobo_ Red de enmalle fija marina_Centropomus ensiferus;0,12125;0,197916667
San Nicolás (Nechí)_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,419999981;4,8
Bocas de Seheve_ Red de enmalle de deriva continental_Oreochromis niloticus;0,123499998;0,195500003
San Nicolás (Nechí)_ Línea de mano fija continental_Ageneiosus pardalis;0,64549998;1,600000024
Bocas de Seheve_ Chinchorro continental_Oreochromis niloticus;0,150000006;0,150000006
Barrio La Unión_ Red de enmalle fija marina_Panulirus argus;0,5;0,5
Puerto Barrio El Progreso_ Red de enmalle de deriva continental_Megaleporinus muyscorum;0,341666667;0,491666667
Bocas de Seheve_ Red de enmalle de deriva continental_Plagioscion magdalenae;0,222000003;0,879999995
Bahía de Cispatá_ Red de enmalle de encierro marina_Caranx latus;0,060344828;0,103888889
Muelle Hong Kong_ Línea de mano fija continental_Brachyplatystoma juruense;2,473333319;4,139999866
Bahía de Cispatá_ Chinchorro marino_Cynoscion acoupa;0,05;0,05
Muelle Hong Kong_ Línea de mano fija continental_Zungaro zungaro;8,2;54,06666667
San José_ Atarraya_Sorubim cuspicaudus;0,29000001;0,415000002
Malecón (Puerto Gaitán)_ Palangre calandrio_Semaprochilodus laticeps;0,896666644;3,678333394
Bahía de Cispatá_ Chinchorro marino_Archosargus probatocephalus;0,085;0,16
Bahía de Cispatá_ Chinchorro marino_Strongylura marina;0,283333333;3,45
Bahía de Cispatá_ Red de enmalle fija marina_Cynoscion virescens;0,720833333;1,666666667
Monserrate_ Atarraya_Pseudopimelodus sp. 4;0,241124795;0,292999997
Monserrate_ Red de enmalle fija continental_Pseudoplatystoma orinocoense;1,511111153;5,25
Monserrate_ Red de enmalle fija continental_Plagioscion squamosissimus;0,778827751;0,888636364
Monserrate_ Red de enmalle fija continental_Piaractus orinoquensis;2,343333333;6,339999991
San José_ Chinchorra_Hoplias malabaricus;0,182205877;0,313638202
San José_ Chinchorra_Oreochromis niloticus;0,178525837;0,50683255
San José_ Chinchorra_Caquetaia kraussii;0,177333333;0,196296303
Puerto de Bolombolo_ Atarraya_Hypostomus hondae;0,125454549;0,245556916
Puerto de Gamarra_ Chinchorro continental_Colossoma macropomum;2,125;11,75
Puerto de Gamarra_ Chinchorra_Pseudoplatystoma magdaleniatum;1;8
Puerto de Bolombolo_ Palangre calandrio_Megaleporinus muyscorum;0,32349999;1,093000031
Puerto de Bolombolo_ Palangre calandrio_Sternopygus aequilabiatus;0,162333331;1
Puerto de Gamarra_ Chinchorra_Colossoma macropomum;4,75;13,1
Las Flores_ Palangre o espinel de fondo_Hypanus americanus;55,29999924;55,29999924
Belén (San Marcos)_ Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,349999987;1,435000026
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Caranx caninus;2,613333305;7,8
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Seriola peruana;2,19;4,38
Bahía de Cispatá_ Red de enmalle fija marina_Panulirus argus;0,25;1,075
Guazo_ Red de enmalle fija continental_Triportheus magdalenae;0,062;0,107142857
Bocanegra_ Red de enmalle fija marina_Cathorops mapale;0,108797554;0,176416672
Puerto Serviez_ Atarraya_Pimelodus yuma;0,09045188;0,101161926
Monserrate_ Red de enmalle fija continental_Phractocephalus hemioliopterus;5,45;17,85
Monserrate_ Red de enmalle fija continental_Prochilodus mariae;0,458479532;0,64195122
Palomar_ Red de enmalle de deriva continental_Salminus affinis;0,347999996;1,375999975
Monserrate_ Chinchorro continental_Phractocephalus hemioliopterus;5,223333232;14,6
Monserrate_ Chinchorro continental_Pseudoplatystoma orinocoense;2,289999978;8,679999733
Monserrate_ Chinchorro continental_Mylossoma albiscopum;0,352027273;0,382102273
Bocanegra_ Red de enmalle de encierro marina_Callinectes bocourti;0,085491742;0,117788462
Monserrate_ Atarraya_Plagioscion squamosissimus;0,6;0,6
La Pedrera_ Arpón_Pseudoplatystoma punctifer;2,05711538;7,199999866
La Pedrera_ Arpón_Brachyplatystoma vaillantii;1,412173966;2,141647597
La Pedrera_ Arpón_Leiarius marmoratus;1,570208355;2,480526284
La Pedrera_ Arpón_Mylossoma aureum;0,306489368;0,491304348
La Pedrera_ Arpón_Cichla monoculus;0,448811364;0,679380248
La Pedrera_ Arpón_Brycon melanopterus;0,271796218;0,471862348
La Pedrera_ Arpón_Brycon amazonicus;0,397073579;1,35036458
Barrio Abajo (Ciénaga)_ Red de enmalle fija marina_Sphyrna lewini;2,5;2,5
Barrio Abajo (Ciénaga)_ Red de enmalle de encierro marina_Trichiurus lepturus;0,497727273;1,942708333
Puerto de las Canoas (Puerto Berrío)_ Chinchorra_Brycon moorei;1;3
Puerto Montecristo_ Red de enmalle fija continental_Trichopodus pectoralis;0,104888889;0,171428578
San Antonio de Padua_ Red de enmalle fija continental_Ctenolucius beani;0,168299996;0,238499996
Mercado (Lorica)_ Línea de mano fija continental_Sternopygus aequilabiatus;0,310000002;0,479666654
Casco Urbano (Arauca)_ Red de enmalle fija continental_Pseudoplatystoma metaense;2,969999933;7,493333181
Casco Urbano (Arauca)_ Red de enmalle fija continental_Piaractus orinoquensis;1,8;3,279999971
La Grande_ Red de enmalle fija continental_Pimelodus punctatus;0,284000002;0,356000014
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Pimelodus punctatus;0,136300001;0,249879992
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Prochilodus magdalenae;0,210000007;0,320000013
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Hoplias malabaricus;0,308999991;1,168499964
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Brycon moorei;1,24800005;5,213999844
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Megaleporinus muyscorum;0,28999999;0,484333348
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Ageneiosus pardalis;0,288999998;1,993999982
Policía fluvial (Quibdó)_ Línea de mano fija continental_Cynopotamus atratoensis;0,319999993;0,319999993
Casco Urbano (Arauca)_ Palangre calandrio_Brachyplatystoma juruense;2,333333333;2,333333333
Casco Urbano (Arauca)_ Palangre calandrio_Pseudoplatystoma orinocoense;2,407857125;6,015000017
Casco Urbano (Arauca)_ Palangre calandrio_Phractocephalus hemioliopterus;6,747499943;19,61000042
Policía fluvial (Quibdó)_ Línea de mano fija continental_Ancistrus centrolepis;0,160000006;0,160000006
Tasajera La Playa_ Red de enmalle de encierro marina_Scomberomorus brasiliensis;0,339130435;1,334285695
Puerto Antequera_ Red de enmalle fija continental ciénaga_Sorubim cuspicaudus;0,180000007;0,942499986
Casco Urbano (Arauca)_ Atarraya_Leporinus friderici;0,590833328;0,865833354
Casco Urbano (Arauca)_ Línea de mano fija continental_Phractocephalus hemioliopterus;5,657500005;17,76749973
Casco Urbano (Arauca)_ Línea de mano fija continental_Pseudoplatystoma orinocoense;1,886249989;8,300000191
Casco Urbano (Arauca)_ Línea de mano fija continental_Zungaro zungaro;5,779166667;18,4050005
Casco Urbano (Arauca)_ Línea de mano fija continental_Piaractus orinoquensis;2,04000001;2,49000001
San Nicolás (Santa Cruz De Mompox)_ Red de enmalle fija continental_Pimelodus yuma;0,066199999;0,270000011
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Dasyloricaria latuira;0,084250001;0,200499997
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Sternopygus aequilabiatus;0,365000004;0,755999994
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Ctenolucius beani;0,134999996;0,269000009
Policía fluvial (Quibdó)_ Red de enmalle fija continental_Pseudopimelodus sp. 1;0,6096774;3,573749924
Puerto (Orocué)_ Palangre calandrio_Brachyplatystoma platynemum;2,274999952;9,239999962
Puerto Boquillas_ Chinchorro continental_Prochilodus magdalenae;0,110249997;0,214483335
Casco Urbano (Arauca)_ Atarraya_Ageneiosus inermis;0,477877238;0,818344156
Puerto Boquillas_ Chinchorro continental_Pseudoplatystoma magdaleniatum;0,155000001;1,255000003
Puerto Boquillas_ Chinchorro continental_Sorubim cuspicaudus;0,258750001;0,416250011
Puerto Boquillas_ Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,147547613;0,994799995
Isla Fuerte_ Línea de mano fija marina_Lutjanus purpureus;0,40530303;1,62999994
Costilla_ Red de enmalle fija continental_Pimelodus yuma;0,069504831;0,166666667
San Nicolás (Santa Cruz De Mompox)_ Red de enmalle fija continental_Cyphocharax magdalenae;0,059999999;0,095583336
San Nicolás (Santa Cruz De Mompox)_ Red de enmalle fija continental_Trichopodus pectoralis;0,080500002;0,158500004
Puerto Montecristo_ Flecha_Prochilodus magdalenae;0,22804879;0,22804879
Puerto Montecristo_ Flecha_Sorubim cuspicaudus;0,437749992;0,847250004
Puerto Montecristo_ Flecha_Pseudoplatystoma magdaleniatum;0,395000011;0,395000011
La Raya_ Atarraya_Sorubim cuspicaudus;0,377999997;1,600000024
Puerto Cabuyaro_ Atarraya_Pseudoplatystoma metaense;2,829999959;16,58125
Puerto Cabuyaro_ Atarraya_Brachyplatystoma platynemum;3,010000002;3,190000045
Puerto Cabuyaro_ Atarraya_Piaractus orinoquensis;2,1;3,45
La Boquilla_ Red de enmalle fija marina_Tylosurus spp.;0,25;0,25
La Boquilla_ Red de enmalle fija marina_Elops smithi;0,211586539;2,5
La Boquilla_ Red de enmalle fija marina_Cathorops mapale;0,100446429;0,170454545
Puerto Cabuyaro_ Chinchorro continental_Leiarius marmoratus;0,690000027;2,425
Rincón del Mar_ Nasa de langostas_Panulirus argus;0,153846154;0,577777757
La Boquilla_ Chinchorro marino_Mugil liza;0,4125;2,229166667
Puerto Miraflores_ Red de enmalle fija marina_Peprilus spp.;0,0990625;0,597849462
Puerto Miraflores_ Red de enmalle fija marina_Thunnus albacares;0,925595238;4,75
Puerto Miraflores_ Red de enmalle fija marina_Scomberomorus sierra;0,281690141;2,5
Puerto Miraflores_ Línea de mano fija marina_Kyphosus ocyurus;0,300918367;1
Puerto Miraflores_ Línea de mano fija marina_Lutjanus argentiventris;0,25;2
Puerto Miraflores_ Red de enmalle fija marina_Selar crumenophthalmus;0,078750003;0,157727273
Puerto Miraflores_ Línea de mano fija marina_Elagatis bipinnulata;0,542000002;2,5
Isla Fuerte_ Línea de mano correteo curricán o trolling_Carcharhinus falciformis;6,13125;10,74375
San Alejandro_ Red de enmalle fija continental_Prochilodus magdalenae;0,259310875;0,419999998
San Alejandro_ Red de enmalle fija continental_Megaleporinus muyscorum;0,345249998;0,64949999
San Alejandro_ Red de enmalle fija continental_Hoplias malabaricus;0,45000001;0,670000017
San Alejandro_ Red de enmalle fija continental_Rhamdia guatemalensis;0,213446434;0,444916661
San Alejandro_ Red de enmalle fija continental_Ageneiosus pardalis;0,229999996;1,126999998
Puerto Simití_ Atarraya_Pimelodus yuma;0,071577381;0,128629032
Muelle Hong Kong_ Palangre calandrio_Sorubimichthys planiceps;3,5;4,519999838
Muelle Hong Kong_ Red de enmalle fija continental_Panaque titan;1,45999999;3,959999847
La Punta_ Red de enmalle fija marina_Trachinotus falcatus;0,466666659;1,750000033
Corozal_ Red de enmalle fija marina_Notarius troschelii;0,583333333;1,5
Corozal_ Red de enmalle fija marina_Bagre pinnimaculatus;0,655251142;1,547348485
Corozal_ Red de enmalle fija marina_Cynoscion phoxocephalus;0,403988604;0,747942755
Corozal_ Red de enmalle fija marina_Larimus spp.;0,406792453;0,569967267
Timbiquí_ Red de enmalle fija marina_Nebris occidentalis;0,397575251;0,613003096
Timbiquí_ Red de enmalle fija marina_Polydactylus opercularis;0,34375;0,449632353
Taburetera_ Red de enmalle fija continental_Megaleporinus muyscorum;0,266000009;0,446750012
Orejero_ Red de enmalle fija continental_Oreochromis niloticus;0,224113884;0,422999991
Caño Lobo_ Línea de mano fija marina_Megalops atlanticus;0,2;2,5
Puerto Abajo (Dibulla)_ Nasas de Peces_Epinephelus itajara;1,653571429;9,560714286
Sivirú_ Línea de mano fija marina_Caranx caninus;0,098181818;4,7
Betania (Montecristo)_ Red de enmalle fija continental_Curimata mivartii;0,209999993;0,262499988
La Mata_ Chinchorra_Oreochromis niloticus;0,142301744;0,295728578
La Mata_ Chinchorra_Megaleporinus muyscorum;0,14816992;0,151963177
Cecilia_ Atarraya_Pimelodus yuma;0,1018;0,198333339
Lamas_ Red de enmalle de encierro continental_Cyphocharax magdalenae;0,040325835;0,05
Lamas_ Red de enmalle de encierro continental_Oreochromis niloticus;0,127867649;0,272226101
La Boquilla_ Línea de mano fija marina_Caranx hippos;0,37625;6,5
Barrio La Unión_ Palangre o espinel de fondo_Caranx hippos;0,427857134;5,412500143
Barrio La Unión_ Palangre o espinel de fondo_Lutjanus jocu;1,5;1,5
Barrio La Unión_ Palangre o espinel de fondo_Lutjanus griseus;0,75;0,75
Sempegua_ Red de enmalle fija continental ciénaga_Colossoma macropomum;1,625;3,875
La Boquilla_ Red de enmalle fija marina_Caranx hippos;0,133928571;1,375
Pizarro_ Red de enmalle fija marina_Centropomus medius;1;3,799999952
La Boquilla_ Línea de mano fija marina_Panulirus argus;1,775;2
Puerto Arriba (Dibulla)_ Red de enmalle fija marina_Lobotes surinamensis;0,693333308;6,639999962
Puerto Arriba (Dibulla)_ Red de enmalle fija marina_Anisotremus surinamensis;0,5;2,1
Puerto Arriba (Dibulla)_ Red de enmalle de encierro marina_Hypanus guttatus;1,1;11,25
San José de la Calle_ Red de enmalle fija continental_Geophagus pellegrini;0,129999998;0,349999994
San José de la Calle_ Red de enmalle fija continental_Sternopygus aequilabiatus;0,301000011;0,824833337
Playa Necoclí_ Red de enmalle de encierro marina_Centropomus undecimalis;1;4,275
Playa Necoclí_ Red de enmalle fija marina campaña_Scomberomorus cavalla;1,37375;7,65125
Arquimedes_ Atarraya_Mugil liza;0,25;1,370000029
Robles_ Red de enmalle de encierro continental_Cyphocharax magdalenae;0,03995762;0,049984636
Palomar_ Red de enmalle de deriva continental_Cynopotamus magdalenae;0,211833328;0,433551147
Arquimedes_ Atarraya_Trichiurus lepturus;0,153181814;0,256854839
Puerto (Orocué)_ Red de enmalle fija continental_Brachyplatystoma platynemum;2,164166681;4,668750095
Puerto (Orocué)_ Red de enmalle fija continental_Pseudoplatystoma orinocoense;2,537666639;6,315000153
Puerto (Orocué)_ Red de enmalle fija continental_Pseudoplatystoma metaense;2,350454524;8,280000114
Clarinetero_ Red de enmalle de deriva continental_Brachyplatystoma rousseauxii;5,25;5,25
Isla Fuerte_ Línea de mano correteo curricán o trolling_Lutjanus purpureus;0,293055556;1,213333317
Doña Ana_ Red de enmalle fija continental_Megalops atlanticus;1,2;3,1
Casino_ Línea de mano fija marina_Sciades proops;1,016499996;4,35
Isla Fuerte_ Línea de mano fija marina_Haemulon plumieri;0,166666667;0,387301591
El Pájaro_ Red de enmalle fija marina_Lachnolaimus maximus;0,35;0,666666667
Malecón (Puerto Gaitán)_ Red de enmalle fija continental_Semaprochilodus laticeps;0,9125;3,117499983
Malecón (Puerto Gaitán)_ Red de enmalle fija continental_Pseudoplatystoma orinocoense;1,177083333;9,466666857
Malecón (Puerto Gaitán)_ Red de enmalle fija continental_Plagioscion squamosissimus;0,590769233;3,322499967
Puerto Chaparro_ Red de enmalle de deriva continental_Plagioscion magdalenae;0,703999996;2,211333402
Armenia_ Red de enmalle fija continental_Sorubim cuspicaudus;0,400000006;1
Puerto Ciénaga de Paredes_ Red de enmalle fija continental_Caquetaia kraussii;0,097647059;0,2625
Río San Miguel_ Red de enmalle fija continental_Pseudoplatystoma punctifer;1,561000001;13,77999973
Río San Miguel_ Red de enmalle fija continental_Piaractus brachypomus;0,287000003;2,25
Río San Miguel_ Red de enmalle fija continental_Pimelodus blochii;0,127500001;0,232499994
Usaragá_ Línea de mano fija marina_Centropomus medius;0,564444444;3,333333333
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Acanthocybium solandri;5,216666667;18,03888889
Puente Chambacú - Río Jella_ Línea de mano correteo curricán o trolling_Tylosurus spp.;0,630769231;6,45
Usaragá_ Línea de mano fija marina_Lutjanus jordani;0,149450549;5
Usaragá_ Línea de mano fija marina_Centropomus armatus;0,2;0,75
Usaragá_ Línea de mano fija marina_Caranx caninus;0,285714286;6,666666667
El Ferry_ Chinchorra_Cynopotamus magdalenae;0,109895833;0,16557971
Puente Chambacú - Río Jella_ Línea de mano fija marina_Hoplopagrus guentherii;1,825;7
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Cynoscion albus;4,8;4,8
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Epinephelus spp.;11,2;46,5
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Lutjanus novemfasciatus;3;8,59
Puente Chambacú - Río Jella_ Palangre o espinel de fondo_Seriola rivoliana;4,910000086;18,51999931
Carrizal_ Red de enmalle fija marina_Sarda sarda;1,100000024;1,100000024
Champaché_ Atarraya_Eugerres plumieri;0,222230776;0,332384605
La Mata_ Chinchorra_Prochilodus magdalenae;0,154761905;0,160081585
El Muelle (Puerto López)_ Chinchorro continental_Sorubim lima;0,25;0,505555556
El Muelle (Puerto López)_ Chinchorro continental_Exallodontus aguanai;0,105578206;0,148026316
El Muelle (Puerto López)_ Chinchorro continental_Pimelodina flavipinnis;0,330033333;0,365
La Mata_ Chinchorro continental_Oreochromis niloticus;0,145184446;0,295601173
Isla Fuerte_ Buceo marino mixto_Scomberomorus brasiliensis;1,230000019;2,030000067
Manaure Abajo_ Red de enmalle de encierro marina_Rhomboplites aurorubens;0,2;0,854765938
Bahía de Cispatá_ Línea de mano fija marina_Bairdiella ronchus;0,045454545;0,11125
Bahía de Cispatá_ Línea de mano fija marina_Centropomus ensiferus;0,069272727;0,200000001
Playa de Arusí_ Línea de mano fija marina_Caranx caballus;0,114399999;0,9875
Playa de Arusí_ Línea de mano fija marina_Trachinotus kennedyi;0,7875;2,775
Playa de Arusí_ Línea de mano fija marina_Gnathanodon speciosus;0,240453704;8,525
Bahía de Cispatá_ Buceo de peces_Epinephelus itajara;1,125;13,5
Bahía de Cispatá_ Buceo de peces_Chaetodipterus faber;0,308333333;1
Bahía de Cispatá_ Buceo de peces_Lutjanus purpureus;0,704166667;2,8875
Bahía de Cispatá_ Atarraya_Lutjanus jocu;0,065249998;0,495
Bahía de Cispatá_ Atarraya_Megalops atlanticus;0,205;6,95
