SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Chapinero_Atarraya - Atarraya_Sorubim cuspicaudus;2575;69250
Marriaga_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;8680;116200
Marriaga_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1200;31000
Chapinero_Atarraya - Atarraya_Sternopygus aequilabiatus;800;10000
Sivirú_Línea de mano - Línea de mano fija marina_Lutjanus jordani;6000;46800
Sivirú_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;18600;171100
Belén (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Pimelodus yuma;39000;194550
Belén (El Banco)_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;13120;36000
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;3000;51850
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4650;35000
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;3000;21100
Barrio Arriba - Barbosa (Magangué)_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3600;30000
Barrio Arriba - Barbosa (Magangué)_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;3000;22600
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;300;7500
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1500;15975
Bocas de Seheve_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;4000;96000
Villa Venecia_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;6000;68800
Chamuscado - Naya_Red de enmalle - Red de enmalle fija marina_Bagre pinnimaculatus;108300;113700
Chamuscado - Naya_Red de enmalle - Red de enmalle fija marina_Sciades dowii;30000;150000
Chamuscado - Naya_Red de enmalle - Red de enmalle fija marina_Cynoscion phoxocephalus;17000;17000
