SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Elops smithi;6000;85100
Bocas del Atrato_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;69550;265050
Nueva Ola_Red de enmalle - Red de enmalle de deriva continental_Trachelyopterus insignis;220;580
Puerto de las Canoas (Puerto Berrío)_Chinchorro continental - Chinchorra_Cynopotamus magdalenae;4670;17000
Puerto Maco/Puerto Momico_Atarraya - Atarraya_Oreochromis niloticus;118120;311680
Bocas del Atrato_Red de enmalle - Red de enmalle fija marina_Sciades proops;25400;73550
Ciénaga de Mesolandia_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;3000;16050
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Haemulon plumieri;5000;23800
Puerto Maco/Puerto Momico_Atarraya - Atarraya_Prochilodus magdalenae;10000;39250
Mantequera_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;4000;35000
Puerto Maco/Puerto Momico_Atarraya - Atarraya_Oreochromis spp.;8860;45800
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Caranx hippos;84600;1748400
Puerto Maco/Puerto Momico_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;37325;126500
Puerto Maco/Puerto Momico_Red de enmalle - Red de enmalle fija continental_Pimelodus grosskopfii;64500;205920
Puerto Maco/Puerto Momico_Palangre o Espinel - Palangre calandrio_Pimelodus grosskopfii;98840;227800
Mantequera_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1925;21150
Puerto Maco/Puerto Momico_Atarraya - Atarraya_Pimelodus grosskopfii;85410;222800
Bocanegra_Atarraya - Atarraya_Mugil incilis;10000;87000
Bocanegra_Atarraya - Atarraya_Chaetodipterus faber;2550;9750
Bocanegra_Atarraya - Atarraya_Eugerres plumieri;4000;18500
Pizarro_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;20000;453600
Pizarro_Red de enmalle - Red de enmalle camaronera_Macrodon mordax;9100;107600
Pizarro_Red de enmalle - Red de enmalle camaronera_Larimus argenteus;8000;60560
Pizarro_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;8000;118375
Pizarro_Red de enmalle - Red de enmalle camaronera_Nebris occidentalis;4000;31200
Pizarro_Red de enmalle - Red de enmalle camaronera_Notarius troschelii;5000;52000
Ciénaga de Mesolandia_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3000;8000
San Luis_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;1460;6350
Bocanegra_Chinchorro marino - Chinchorro marino_Lobotes surinamensis;10700;71500
Bocanegra_Chinchorro marino - Chinchorro marino_Cynoscion leiarchus;7000;7000
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;2000;72000
Bocanegra_Atarraya - Atarraya_Centropomus undecimalis;5000;23200
Bocanegra_Chinchorro marino - Chinchorro marino_Penaeus schmitti;10000;160000
Muelles del Camarón_Changa - Red de arrastre artesanal o changa_Protrachypene precipua;47000;723000
Muelles del Camarón_Changa - Red de arrastre artesanal o changa_Xiphopenaeus riveti;12000;323500
Muelles del Camarón_Changa - Red de arrastre artesanal o changa_Trachypenaeus spp.;20500;190600
Mantequera_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;3000;20900
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Penaeus occidentalis;25000;353750
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Larimus argenteus;7000;109900
Pomeño_Red de enmalle - Red de enmalle de deriva marina_Bagre panamensis;6250;24500
Codis_Línea de mano - Línea de mano fija marina_Caranx latus;13700;77250
Muelles del Camarón_Changa - Red de arrastre artesanal o changa_Melongena patula;4500;99000
Mantequera_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;5000;90300
La Boquilla_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;5000;50000
Bocanegra_Atarraya - Atarraya_Centropomus ensiferus;3200;12000
Guazo_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;5000;100300
Las Brisas_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;6000;102450
Las Brisas_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;800;12000
Las Brisas_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;300;2790
Las Brisas_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;3445;107100
Mantequera_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;4520;32100
Mantequera_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;10500;200600
Puerto Principal (Puerto Lleras)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma metaense;85000;85000
Isla Fuerte_Trampas o Nasas - Nasa de langostas_Panulirus argus;163400;1611750
Puerto Principal (Puerto Lleras)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma orinocoense;91000;343800
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma orinocoense;71370;662900
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Phractocephalus hemioliopterus;55405;622810
Casco Urbano (Arauca)_Línea de mano - Línea de mano fija continental_Pseudoplatystoma metaense;100520;185300
Las Brisas_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;2710;37125
Casco Urbano (Arauca)_Recolección manual - Recolección manual de mota_Calophysus macropterus;148125;563250
Las Brisas_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;5000;48370
Las Brisas_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;400;2800
Las Brisas_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;820;10000
La Pedrera_Palangre o Espinel - Palangre calandrio_Brachyplatystoma vaillantii;124000;268000
La Pedrera_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;161600;301600
La Pedrera_Palangre o Espinel - Palangre calandrio_Brachyplatystoma platynemum;115200;180000
La Pedrera_Palangre o Espinel - Palangre calandrio_Brachyplatystoma juruense;96000;141600
La Pedrera_Arpón - Arpón_Pseudoplatystoma punctifer;110800;396800
La Pedrera_Arpón - Arpón_Leiarius marmoratus;124200;327200
La Pedrera_Arpón - Arpón_Brycon amazonicus;132800;396800
La Pedrera_Arpón - Arpón_Mylossoma aureum;59200;116800
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis seemanni;10000;151050
La Pedrera_Red de enmalle - Red de enmalle fija continental_Zungaro zungaro;122850;314400
La Pedrera_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma filamentosum;137700;271800
La Pedrera_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma platynemum;96000;96000
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus quinquefasciatus;19050;186690
La Pedrera_Red de enmalle - Red de enmalle fija continental_Brycon amazonicus;137200;527600
La Pedrera_Red de enmalle - Red de enmalle fija continental_Brycon melanopterus;89600;225600
La Pedrera_Red de enmalle - Red de enmalle fija continental_Leporinus friderici;63000;168000
La Pedrera_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;106800;228400
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis;11500;73500
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Elops smithi;15000;57900
Purricha_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;47700;88200
Purricha_Red de enmalle - Red de enmalle camaronera_Larimus argenteus;20640;31800
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;3680;15180
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Triportheus magdalenae;815;5865
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;5360;21440
Purricha_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus sierra;21480;388640
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Lutjanus synagris;30420;166080
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Umbrina coroides;4125;33500
Piedras Blancas_Buceo - Buceo marino mixto_Panulirus argus;20650;162800
Piedras Blancas_Buceo - Buceo marino mixto_Lachnolaimus maximus;45100;185000
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Kyphosus elegans;9580;50260
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Stellifer scierus;12100;13900
Codis_Red de enmalle - Red de enmalle fija marina_Caranx hippos;50000;555250
Codis_Red de enmalle - Red de enmalle fija marina_Gerres cinereus;50250;84250
Codis_Red de enmalle - Red de enmalle fija marina_Cynoscion acoupa;65000;65000
Codis_Red de enmalle - Red de enmalle fija marina_Megalops atlanticus;47000;119000
El Roto_Red de enmalle - Red de enmalle fija continental_Mugil incilis;4260;13500
Las Flores_Línea de mano - Línea de mano fija marina_Megalops atlanticus;27200;176190
Piedras Blancas_Buceo - Buceo marino mixto_Octopus vulgaris;15000;120000
El Roto_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;6535;64140
El Porvenir_Buceo - Buceo marino mixto_Panulirus guttatus;10600;49600
El Porvenir_Línea de mano - Línea de mano fija marina_Caranx bartholomaei;7000;86600
Las Flores_Línea de mano - Línea de mano fija marina_Mugil liza;21200;38280
Piedras Blancas_Buceo - Buceo marino mixto_Mycteroperca bonaci;30300;69900
Arquimedes_Atarraya - Atarraya_Trichiurus lepturus;11650;55100
Piedras Blancas_Buceo - Buceo de langosta_Panulirus guttatus;56300;85100
El Roto_Red de enmalle - Red de enmalle fija marina_Lutjanus buccanella;34700;101250
Bazurto_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;15400;184550
El Roto_Red de enmalle - Red de enmalle fija marina_Ariopsis canteri;4110;29650
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2000;22275
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;220;400
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;200;1200
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;500;4000
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma juruense;49400;180000
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma platynemum;51300;270000
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma punctifer;64310;233700
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;100;5210
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Sorubimichthys planiceps;44325;224100
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;41000;106450
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Mylossoma albiscopum;6000;18400
Muelle Hong Kong_Red de enmalle - Red de enmalle fija continental_Prochilodus rubrotaeniatus;12000;92400
Desembarcadero (Juradó)_Línea de mano - Línea de mano fija marina_Scomberomorus sierra;157950;972900
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;2400;8390
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1620;15480
Barrio Pambelé_Red de enmalle - Red de enmalle fija marina_Nebris microps;30000;677000
Dorada_Atarraya - Atarraya_Sorubim cuspicaudus;1810;10540
La Peinada_Atarraya - Atarraya_Caquetaia kraussii;3500;3500
Usaragá_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius;30400;457600
Usaragá_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;8400;36080
Usaragá_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;8980;35350
Usaragá_Red de enmalle - Red de enmalle de deriva marina_Kyphosus elegans;14000;14000
Usaragá_Línea de mano - Línea de mano fija marina_Centropomus medius;14000;34000
Usaragá_Línea de mano - Línea de mano fija marina_Menticirrhus panamensis;7050;7950
Usaragá_Línea de mano - Línea de mano fija marina_Centropomus armatus;9600;41600
Taganga_Línea de mano - Línea de mano fija marina_Lutjanus analis;33000;312000
Curillo_Línea de mano - Línea de mano fija continental_Pseudoplatystoma tigrinum;146300;356400
Sapzurro_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;125400;1104600
Taganga_Línea de mano - Línea de mano - Ballestilla_Seriola rivoliana;48125;241200
Villanueva_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3000;15000
Villanueva_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1000;7350
Villanueva_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;400;2200
Guazo_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;8750;56250
Cabo de la Vela_Red de enmalle - Red de enmalle langostera_Lutjanus analis;13250;133000
Villanueva_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1600;9595
Cabo de la Vela_Línea de mano - Línea de mano fija marina_Haemulon plumieri;9200;26350
Cabo de la Vela_Línea de mano - Línea de mano fija marina_Archosargus rhomboidalis;8000;40000
Puerto (Orocué)_Red de enmalle - Red de enmalle fija continental_Ageneiosus dentatus;122000;122000
Taganga_Chinchorro marino - Chinchorro velao_Caranx hippos;78080;34731600
Villanueva_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1920;5300
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;2500;33795
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1300;16855
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;2160;33360
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;3440;40330
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;2460;20840
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;15650;126825
Morrosquillo_Línea de mano - Línea de mano fija marina_Caranx crysos;4000;564000
Villanueva_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1000;4000
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1430;19240
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;660;4200
Morrosquillo_Línea de mano - Línea de mano fija marina_Caranx hippos;8000;234400
Villanueva_Chinchorro continental - Chinchorro continental_Oreochromis niloticus;23655;172440
Villanueva_Chinchorro continental - Chinchorro continental_Sorubim cuspicaudus;9265;28435
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;690;8400
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;500;3000
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus;32500;360100
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius;46150;340650
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;23550;168000
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Caranx caninus;91350;148050
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Diapterus brevirostris;12400;84000
Puerto de Gamarra_Chinchorro continental - Chinchorra_Megaleporinus muyscorum;10050;114000
Puerto de Gamarra_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;17500;357500
Puerto de Gamarra_Chinchorro continental - Chinchorra_Plagioscion magdalenae;11100;74500
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;500;4000
Villanueva_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1600;4770
Palanca_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3000;57300
Puerto de Gamarra_Chinchorro continental - Chinchorra_Prochilodus magdalenae;15000;281200
Puerto de Gamarra_Chinchorro continental - Chinchorra_Pimelodus grosskopfii;10000;74000
Morrosquillo_Atarraya - Atarraya_Mugil incilis;3000;100800
Domingodó_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus sp. 1;8000;8000
Domingodó_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;6350;79500
Domingodó_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;11900;270000
Cecilia_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;670;1800
Muelle Principal (Puerto Leguízamo)_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;30325;101400
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus;52000;545350
Domingodó_Red de enmalle - Red de enmalle fija continental_Centropomus undecimalis;90000;199300
Villanueva_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;400;1600
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Caranx crysos;39600;320400
Palanca_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;500;3000
Domingodó_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;1650;121000
Santa Cruz - Naya_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;38900;727400
Santa Cruz - Naya_Red de enmalle - Red de enmalle camaronera_Centropomus armatus;38220;321900
Puerto Boca_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;9000;170000
Puerto Boca_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;4450;28250
Santa Cruz - Naya_Red de enmalle - Red de enmalle de deriva marina_Sciades dowii;40050;314675
Villanueva_Chinchorro continental - Chinchorro continental_Pseudoplatystoma magdaleniatum;7595;17630
Villanueva_Chinchorro continental - Chinchorro continental_Plagioscion magdalenae;13730;21440
Palanca_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;500;4520
Palanca_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;5030;17905
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;600;11310
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Notarius troschelii;122550;458160
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre panamensis;46740;84000
Betania - Naya_Palangre o Espinel - Palangre o espinel de fondo_Bagre pinnimaculatus;10870;56410
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Centropomus armatus;11700;345600
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;39500;1086250
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Centropomus medius;8000;547950
Carrizal_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;126650;450000
Domingodó_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;14500;145500
Betania - Naya_Palangre o Espinel - Palangre o espinel de superficie_Callinectes toxotes;338500;1060820
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus medius;36000;408375
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Sciades dowii;29000;151100
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;16650;193050
Cispataca_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1715;13400
Desembarcadero (Supía)_Atarraya - Atarraya_Pimelodus grosskopfii;38150;68625
Desembarcadero (Supía)_Atarraya - Atarraya_Prochilodus magdalenae;25200;54400
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus;19725;310450
Desembarcadero (Supía)_Atarraya - Atarraya_Pseudopimelodus magnus;15080;44880
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Scomberomorus sierra;36300;541560
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Larimus argenteus;13650;373175
Betania - Naya_Red de enmalle - Red de enmalle camaronera_Cynoscion phoxocephalus;9300;104225
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;24750;336950
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Scomberomorus brasiliensis;21060;796500
Betania - Naya_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus;36000;282900
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Caranx crysos;19000;2,00E+06
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Lutjanus synagris;6000;186000
Ica-Copipa_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;59600;264400
Ica-Copipa_Línea de mano - Línea de mano fija marina_Scomberomorus brasiliensis;45360;364000
Vigía_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;64000;223360
Berrugas_Chinchorro marino - Chinchorro marino_Megalops atlanticus;13000;158400
Purricha_Red de enmalle - Red de enmalle camaronera_Macrodon mordax;24000;24000
Palanca_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;455;4780
Vigía_Red de enmalle - Red de enmalle de deriva marina_Cynoscion albus;126000;448000
Vigía_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;21700;108500
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Megalops atlanticus;294400;2891000
Purricha_Red de enmalle - Red de enmalle de deriva marina_Larimus argenteus;25900;319300
Purricha_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;27800;190200
El Malecón (Neiva)_Atarraya - Atarraya_Pimelodus yuma;2020;20260
Mayapo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus analis;42000;72750
Mayapo_Palangre o Espinel - Palangre o espinel de fondo_Bagre filamentosus;52000;52000
El Muelle (Barrancabermeja)_Atarraya - Atarraya rastra_Sorubim cuspicaudus;207950;243050
El Muelle (Barrancabermeja)_Atarraya - Atarraya rastra_Panaque cochliodon;21500;51200
Punta de blanco_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;3300;76170
Punta de blanco_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;2450;37000
Isla Fuerte_Línea de mano - Línea de mano fija marina_Seriola dumerili;88600;221800
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;62500;444500
Isla Fuerte_Línea de mano - Línea de mano fija marina_Rhomboplites aurorubens;53300;190700
Isla Fuerte_Línea de mano - Línea de mano fija marina_Etelis oculatus;66250;117000
El Muelle (Barrancabermeja)_Atarraya - Atarraya_Prochilodus magdalenae;125600;819400
Purricha_Palangre o Espinel - Palangre o espinel de fondo_Sciades dowii;32700;155000
Providencia o Caimancito_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;500;3295
Punta de blanco_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3970;42200
Punta de blanco_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;3610;45800
Mayapo_Trampas o Nasas - Nasas de Peces_Balistes capriscus;21800;105200
Mayapo_Trampas o Nasas - Nasas de Peces_Haemulon plumieri;81600;322800
El Muelle (Barrancabermeja)_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;95700;465400
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Kyphosus ocyurus;36750;496300
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Scomberomorus sierra;63000;1190000
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;45225;1537275
El Muelle (Barrancabermeja)_Atarraya - Atarraya_Triportheus magdalenae;81000;189000
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Seriola rivoliana;9760;18240
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Sphyraena ensis;429450;4011000
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Polydactylus opercularis;18550;100450
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Pimelodus punctatus;4720;81660
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Pseudopimelodus sp. 1;7410;202240
Policía fluvial (Quibdó)_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;5450;65500
Virudó_Red de enmalle - Red de enmalle de deriva marina_Bagre pinnimaculatus;10500;84500
Barrio Chino_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;7405;34770
Barrio Chino_Línea de mano - Línea de mano fija continental_Pseudoplatystoma magdaleniatum;1775;66950
El Muelle (Barrancabermeja)_Chinchorro continental - Chinchorra_Sorubim cuspicaudus;60500;605800
El Muelle (Barrancabermeja)_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;143100;1001600
Buchadó_Línea de mano - Línea de mano fija continental_Brycon moorei;14880;47660
Buchadó_Línea de mano - Línea de mano fija continental_Colossoma macropomum;43100;122900
Buchadó_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;1000;3975
Buchadó_Línea de mano - Línea de mano fija continental_Pseudopimelodus sp. 1;6735;95090
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus novemfasciatus;188000;784000
Chamuscado - Naya_Red de enmalle - Red de enmalle de deriva marina_Notarius troschelii;8500;403000
Virudó_Red de enmalle - Red de enmalle de deriva marina_Bairdiella ensifera;24000;24000
Virudó_Red de enmalle - Red de enmalle de deriva marina_Centropomus armatus;12000;82800
Virudó_Red de enmalle - Red de enmalle de deriva marina_Lutjanus peru;12000;147000
Virudó_Red de enmalle - Red de enmalle de deriva marina_Caranx caninus;12000;72000
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Seriola peruana;25550;1426250
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus aratus;33600;203850
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus colorado;40400;1176000
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;69200;747400
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;1000;5420
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Thunnus albacares;119000;5799850
Betania (Montecristo)_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;1000;8500
Casco urbano (Puerto Escondido)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;9500;265000
Tribugá_Línea de mano - Línea de mano fija marina_Sphyraena ensis;7000;528500
Tribugá_Línea de mano - Línea de mano fija marina_Tylosurus fodiator;10150;177100
Palenquito_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;19600;176430
Puerto Ciénaga de Paredes_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;3450;17860
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Coryphaena hippurus;349800;1030200
San José de la Calle_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;2295;44480
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Dasyloricaria latuira;975;14475
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Rhamdia guatemalensis;1160;7260
San José de la Calle_Red de enmalle - Red de enmalle fija continental_Sternopygus aequilabiatus;1820;6700
Punta Bonita_Red de cerco - Red de cerco_Scomberomorus sierra;2128000;18870000
Punta Bonita_Red de cerco - Red de cerco_Selene peruviana;820000;7,00E+06
Punta Bonita_Chinchorro marino - Chinchorro marino_Otros pescadilla;357000;1552250
La Playa (El Banco)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;5500;28835
Punta Bonita_Red de cerco - Red de cerco_Caranx caninus;157750;969500
Punta Bonita_Red de cerco - Red de cerco_Tylosurus fodiator;358500;4140000
Ciénaga de Mesolandia_Red de enmalle - Red de enmalle fija continental_Trichopodus pectoralis;2000;19450
Puerto Principal (Leticia)_Palangre o Espinel - Palangre calandrio_Pimelodus blochii;151250;173750
Guineal_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;12250;31400
Ica-Copipa_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;3000;64800
